prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B9834531-6023-4571-9667-DF025E16CC69,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362928,MAS AL FAIZIN,20362928,Desa Guyangan,GUYANGAN,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Wk/5.a/PP/.032.2/1875.f/2002,03-08-2002,Wk/5.a/PP/.032.2/1875.f/2002,03-08-2002,Lihat SK Operasional,2017-12-05 08,B,0,,2.,,,,,,-6.563700000000,110.756700000000,0,49,74,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A7385CF7-2E2F-4F5E-93CA-B80F777F4622,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69727831,MAS AMTSILATI,69727831,Desa Bangsri RT. 03 RW. 12,BANGSRI,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,D/Kw/MA/619/2012,06-11-2012,Kw.11.2/2PP.03.2/1435/2012,06-11-2012,Lihat SK Operasional,2016-08-31 09,C,0,,2.,,,,,,-6.522900000000,110.760400000000,0,495,279,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A8E528DE-5111-4FF0-842A-E0B613DE2A1C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362926,MAS DARUL ULUM,20362926,Desa Srikandang RT. 01 RW. 02,SRIKANDANG,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Wk/5.a/PP.03.2/222/001/2001,25-01-2001,Wk/5.a/PP.03.2/222/001/2001,25-01-2001,Lihat SK Operasional,2017-03-29 11,B,0,,2.,,,,,,-6.541200000000,110.804600000000,0,44,39,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C7A4FC36-EFA3-4C83-8C13-8054DC0EC945,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362925,MAS HASYIM ASY`ARI,20362925,Desa Bangsri,BANGSRI,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,SK/3C/34/Ijin MA/1980,19-03-1979,SK/3C/34/Ijin MA/1980,19-03-1979,Lihat SK Operasional,2016-08-31 09,A,0,,2.,,,,,,-6.522800000000,110.767500000000,0,302,530,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90B6B4B7-54B5-4CB1-8714-92710A703539,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362927,MAS MATHOLIUL ULUM,20362927,Desa Banjar Agung RT. 02 RW. 05,BANJAR AGUNG,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Wk/5.a/PP 03.2/438304/2001,01-07-2020,Wk/5.a/PP 03.2/438304/2001,18-09-2001,Lihat SK Operasional,2021-05-29 13,B,0,,2.,,,,,,-6.517900000000,110.792700000000,0,28,68,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A467C192-AE34-4F2A-8260-34079BF4DD51,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362930,MAS NAHDLATUL ULAMA,20362930,Desa Tengguli RT. 02 RW. 06,TENGGULI,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,D/Kw/MA/494/2006,31-07-2006,Kw.11.4/4/PP.03.2/4302/2006,31-07-2006,Lihat SK Operasional,2016-09-06 10,A,0,,2.,,,,,,-6.540200000000,110.770100000000,0,85,133,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D4AA833-1BF8-425C-9D3A-E5B4381FA2DC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362929,MAS WAHID HASYIM,20362929,Desa Bangsri,BANGSRI,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,D/W.k/MA/424/2003,06-05-2003,D/W.k/MA/424/2003,06-05-2003,Lihat SK Operasional,2017-01-12 10,B,0,,2.,,,,,,-6.519756600000,110.769411900000,0,54,56,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/787E1651-DA93-40F5-8C57-95C3E1B5C767,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69964425,SMA ISLAM NUSANTARA,69964425,Desa Tengguli RT. 07 RW. 07,TENGGULI,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN DOKTOR FAUZAN,AA8288,420/4831/2017,24-05-2017,420/4831/2017,24-05-2017,Lihat SK Operasional,2017-07-25 12,B,588,1. Lainnya,2. Telkom Speedy,PLN,,02917701046,smainusjepara20@gmail.com,http,-6.542300000000,110.771600000000,12,33,51,3,Pagi/6 hari,,2022/2023-2,"7,700",3,0,1,1,0,0,11,2,12,0,0,0,2,10,0,8,4,6,3,1,1,0,0,1,3,9,SMA 2013 MIPA,Lainnya,1,1,1,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F94296A9-46DB-4FFF-8A7F-8FB0463A88F4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20318344,SMA NEGERI 1 BANGSRI,20318344,Desa Jerukwangi RT. 04 RW. 05,JERUKWANGI,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0298/C/1982,09-10-1982,0298/C/1982,09-10-1982,Lihat SK Operasional,2019-05-23 05,A,"20,216",1. Telkom Astinet,2. Telkom Speedy,PLN,0291772217,0291771186,sman1bangsri@gmail.com,http,-6.513189500000,110.757338700000,57,435,625,30,Sehari Penuh/5 hari,,2022/2023-2,"33,000",30,4,1,7,24,19,0,14,35,0,14,8,34,23,0,53,4,9,12,11,7,5,6,7,21,36,SMA 2013 IPS,Telkom Astinet,10,10,10,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/408D4F2E-296B-403F-8995-3A3CA4A62AAF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20318319,SMAS MUHAMMADIYAH 1 BANGSRI,20318319,Desa Bangsri RT. 01 RW. 09,BANGSRI,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Tengah,AO5350,2096/I03/I-87,28-11-1987,2096/I03/I-87,28-11-1987,Lihat SK Operasional,2020-08-24 19,A,"2,592",1. Telkom Speedy,2. Telkom Speedy,PLN,0291771112,0291771112,smamuhbangsri@yahoo.com,http,-6.517700000000,110.766800000000,14,80,71,7,Sehari Penuh/5 hari,,2022/2023-2,"7,700",10,1,1,10,3,0,11,1,11,0,3,0,11,3,0,13,1,4,1,1,2,0,3,3,6,8,SMA 2013 MIPA,Telkom Speedy,2,3,2,
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F5A67BBE-309F-48F3-8BD9-E3EA175C4ADA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20360443,SMK KHOLILIYAH BANGSRI,20360443,Desa Wedelan RT. 03 RW. 04,WEDELAN,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Kholiliyah Bangsri,AE0332,421.5 / 5638,12-05-2010,421.5 / 5638,12-05-2010,Lihat SK Operasional,2020-08-24 19,C,"7,689",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,0291771897,0291771897,smkikholiliyah@yahoo.com,http,-6.517162600000,110.770681300000,14,82,133,9,Sehari Penuh/5 hari,,2022/2023-2,"11,000",9,1,1,2,0,0,16,1,14,0,0,0,3,11,0,13,1,0,8,1,2,2,1,0,7,7,SMK 2013 REV.  Tata Busana,Lainnya (Serat Optik),3,3,3,0
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6F578841-780B-482C-AB3D-A61410E67753,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20360586,SMK NEGERI 1 BANGSRI,20360586,Desa Bangsri RT. 05 RW. 16,BANGSRI,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,29 TAHUN 2008,20-11-2008,29 TAHUN 2008,20-11-2008,Lihat SK Operasional,2015-05-22 10,A,"588,991",1. Lainnya,2. Telkom Speedy,PLN,0291772322,0291772321,smkn1bangsri@yahoo.co.id,http,-6.527600000000,110.750900000000,59,444,708,33,Sehari Penuh/5 hari,,2022/2023-2,"5,300",26,1,1,2,19,27,0,13,42,0,16,1,36,23,0,51,8,12,19,9,6,7,2,4,30,29,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Lainnya,11,11,11,0
Jawa Tengah,Kab. Jepara,Bangsri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BACC43CC-73A8-4ACA-9A3A-F36F47EDF261,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20318336,SMKS 17 AGUSTUS BANGSRI,20318336,Desa Bangsri RT. 02 RW. 07,BANGSRI,KEC. BANGSRI,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN SEKOLAH LANJUTAN,AE0308,626/103/I/89,03-04-1989,626/103/I/89,03-04-1989,Lihat SK Operasional,2020-10-05 06,B,"10,000",1. -,2. Telkom Speedy,PLN,,,smk_17_bangsri@yahoo.com,,-6.522944000000,110.765758000000,14,151,74,9,Pagi/6 hari,,2022/2023-2,"5,499",10,0,1,2,0,0,13,5,14,0,0,0,5,9,0,12,2,6,2,2,0,2,0,2,7,7,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Tidak Ada,3,3,3,0
