prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5BF1252F-F7E8-4ABE-A523-0C0F01D89F7B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69725507,MAS AL-MUSTAQIM,69725507,JL. KETINDAN NO. 15 RT 04/RW 04,KETINDAN,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS/07.0054/2016,04-04-2016,470 Tahun 2016,04-04-2016,Lihat SK Operasional,2017-02-10 07,C,0,,2.,,,,,,-7.902614000000,112.725877000000,0,24,30,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B204DC59-1919-46EA-BD39-568B4D299094,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584202,MAS ASH-SHIDDIQY,20584202,JL. ANJASMORO NO.45 LAWANG,TURIREJO,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS/07.0022/2016,16-04-2016,MAS/07.0022/2016,16-04-2015,Silakan Upload SK (link file tidak valid) => [755774-413817--],2023-01-16 09,C,0,,2.,,,,,,-7.820900000000,112.677300000000,0,20,17,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C06E6ABB-8C18-E111-9EFD-314732F77EC4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20566413,SLB PANCARAN KASIH,20566413,JALAN SUMBER WARAS TIMUR NO 50,KALIREJO,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PANCARAN KASIH,AK1951,3483/I.04/I/1995,18-08-2010,420/2352/421.101/2013,18-08-2010,Silakan Upload SK,,B,"2,080",,2.,,,,,,-7.850100000000,112.690200000000,2,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,,Pendidikan Khusus SMALB 2013,,,,,,,,,,,,,,
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E01D69BB-8C18-E111-9392-1FF8D6D4D53A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20517808,SLBN PEMBINA TINGKAT NASIONAL BAGIAN C MALANG,20517808,Jl. Dr. Cipto VIII/32,BEDALI,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0848/O/1986,04-12-1986,0848/O/1986,04-12-1986,Silakan Upload SK,,A,"45,300",1.,2.,PLN,,,,,-7.856900000000,112.684900000000,47,120,68,53,Sehari Penuh/5 hari,,2022/2023-2,"48,098",31,1,1,1,29,9,0,9,19,1,11,16,35,12,0,44,3,4,6,6,4,1,11,15,19,28,"TKLB, SDLB, SMPLB,  dan SMLB",PAUD Merdeka,6,5,5,4,6,4,4,3,4,4,4,4,Telkom Speedy,
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5C502EF-4A72-441C-A4DB-3EBA8C41E8B1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69963113,SMA AISYIYAH BOARDING SCHOOL,69963113,"JL. ANJASMORO NO. 34, TURIREJO, LAWANG, MALANG",TURIREJO,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Timur,AB4667,188.4/1620/101.2/2017,13-03-2017,100/18.02.10/02/III/2022,24-03-2022,Lihat SK Operasional,2022-03-31 14,B,"1,658",1. Lainnya (Serat Optik),2. Telkom Speedy,PLN & Diesel,,03414301225,sma.absm@gmail.com,http,-7.826000000000,112.696000000000,14,0,40,3,Sehari Penuh/6 hari,,2022/2023-2,"5,500",3,1,1,3,0,0,11,4,14,0,0,0,5,9,0,13,1,6,3,0,1,1,1,2,1,13,,SMA 2013 MIPA,,,,,,,,,,1,1,1,Lainnya (Serat Optik),
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AA5F9EF4-B549-465C-BDCB-C4E8108F4022,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20517739,SMAN 1 LAWANG,20517739,JL. PRAMUKA NO. 152,KALIREJO,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,180/1643/IMB/KEP/421.012/2005,27-10-2005,180/1643/IMB/KEP/421.012/2005,27-10-2005,Lihat SK Operasional,2022-10-05 08,A,"12,779",1. Telkom Astinet,2. Telkom Speedy,PLN,0341426265,0341426265,smanegeri1lawang@gmail.com,http,-7.841900000000,112.700200000000,74,413,852,36,Sehari Penuh/5 hari,,2022/2023-2,"7,700",36,7,1,3,41,17,0,16,38,0,17,19,36,38,0,66,8,10,14,6,9,4,10,21,24,50,,SMA 2013 MIPA,,,,,,,,,,12,12,12,Telkom Astinet,
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A7528731-D50F-427F-8FD8-85DC2E44A2FF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20517830,SMAS MAARIF LAWANG,20517830,JL. MH. THAMRIN NO. 8 LAWANG,LAWANG,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ALMAARIF LAWANG,AX1269,103,15-01-1986,60/18.02.10/02/II/2022,18-02-2022,Lihat SK Operasional,2022-06-30 13,A,"6,666",1. Lainnya (Wavelan),2. Lainnya (Wavelan),PLN,,0341422122,aremasmamalayes@yahoo.com,http,-7.839000000000,112.698600000000,22,138,180,12,Pagi/6 hari,,2022/2023-2,"12,000",12,1,1,2,2,0,28,1,20,0,0,2,12,10,0,17,5,7,3,2,4,1,1,4,9,13,,SMA 2013 Bhs&Budaya,,,,,,,,,,4,4,4,Lainnya (Wavelan),
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA61AD33-2341-4077-8E5E-D629D064B929,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20517822,SMAS PGRI LAWANG,20517822,JL. Indrokilo Selatan No.1A Desa Bedali,BEDALI,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perwakilan YPLP PGRI Provinsi Jawa Timur,AB4825,203/PA/PMU/7902/79,14-05-1980,19.03/1250/01/X/2020,19-10-2020,Lihat SK Operasional,2023-03-02 09,A,"3,060",1. Telkom Astinet,2. Telkom Speedy,PLN,,426581,smaprila79@gmail.com,http,-7.852600000000,112.692300000000,13,37,41,4,Pagi/6 hari,,2022/2023-2,"5,000",19,3,1,2,2,0,12,0,11,0,1,1,10,3,0,12,1,0,2,1,2,1,0,7,7,6,,SMA 2013 MIPA,,,,,,,,,,1,1,2,Telkom Astinet,
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F8C2E10B-5059-4EDB-AF3C-EF2D21386E8D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20517826,SMAS PLUS DARUSSALAM,20517826,"JL. ANJASMORO III C/7 RT,02 RW.05",TURIREJO,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN DARUSSALAM,AK1964,241/356/429.127/2002,05-07-2002,P2T/495/19.03/01/XI/2018,05-11-2018,Lihat SK Operasional,2021-07-27 12,B,"6,200",1. Smartfren,2. Telkom Speedy,PLN,,0341422098,smadarussalam@ymail.com,http,-7.821900000000,112.690000000000,12,18,54,6,Pagi/6 hari,,2022/2023-2,"3,500",6,0,1,2,0,1,12,0,12,0,0,0,7,5,0,9,3,1,2,2,4,2,1,0,8,4,,SMA 2013 IPS,,,,,,,,,,2,2,2,Smartfren,
Jawa Timur,Kab. Malang,Lawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9C05E2C0-08DE-4759-A5DC-1A00FB175019,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69930569,SMK MUTIARA HARAPAN LAWANG,69930569,Jl. Argotirto RT.02 RW.06 Ketindan Lawang,KETINDAN,KEC. LAWANG,KAB. MALANG,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Mutiara Harapan,AK1996,503/0002/IPLSM/421.302/20,30-03-2015,158/18.05/02/X/2021,04-10-2021,Lihat SK Operasional,2021-12-03 04,B,"1,638",1. Telkom Speedy,2. Telkom Speedy,PLN,0341428575,0341428575,smk.mutiaraharapan.lawang@gmail.com,http,-7.835900000000,112.684900000000,8,35,36,9,Pagi/6 hari,,2022/2023-2,"2,200",3,1,1,2,0,0,5,4,8,0,0,0,1,7,0,8,0,2,3,3,0,0,0,0,3,5,,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,,,,,,,,,,3,3,3,Telkom Speedy,0
