prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,akses_internet_sekolah_kita
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69870E07-E8BA-42F2-98C6-CBE60E4A4FD5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70026894,KB AL-HUSEIN,70026894,"Jl. Setapak Desa Goro-Goro Kec, Bacan Timur",GORO GORO,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,13,17-11-2020,420.1/12/IO.PAUD/DIKBUD/2022,09-02-2022,Lihat SK Operasional,2022-03-16 22,,0,,2.,,,,alhusein66paud@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,2,1,0,0,0,0,0,0,3,
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/752FC7A1-F9E5-4018-94FD-2FEC2A3136A9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69972457,KB Cempaka Putih,69972457,Desa Wayamiga,WAYAMIGA,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AH8652,420./04/2013,07-05-2013,420.1/65a/2017,09-01-2018,Lihat SK Operasional,2018-01-30 15,,100,1. -,2. Telkomsel Flash,PLN,,,,,-.627485000000,127.537988000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,2,Tidak Ada
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E08BB6F1-7723-4E0D-B5A0-DB35A7A1EAE4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69960254,Kb kasih Abadi,69960254,jln pelbhan Veri,SAYOANG,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AH8650,420.1/03/2015,14-04-2015,420.1/13431/2016,14-07-2016,Lihat SK Operasional,2017-03-06 14,,300,1. -,2. -,PLN,,,paudkasihabadi@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,3,0,0,1,0,0,0,2,2,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,2,Tidak Ada
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AA631689-B935-41B6-9193-D16BF5FD09F2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969767,Kb Melati,69969767,jln siswa,BORI,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,420./09/paud/mi/2016,09-02-2016,420.1/101/2016,07-01-2016,Lihat SK Operasional,2017-11-16 15,,15,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06325301-9CC4-4E82-9C5E-9BB29784AEB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69970532,KB Melati Indah,69970532,jln Raya Bori,BORI,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AH8647,420.1/03/2015,07-04-2015,420/10/2016,07-01-2015,Lihat SK Operasional,2017-12-05 16,B,300,1. -,2. -,PLN,,,paudmelatiindahbori@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,2,0,0,1,0,0,0,2,2,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,2,Tidak Ada
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CCB0CA49-4F51-4A43-B257-450C3E425303,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69985052,KB Nurul Hasan,69985052,Goro- Goro,GORO GORO,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,420./25/P.N.H/2013,16-04-2013,420.1/2677/2018,16-05-2017,Lihat SK Operasional,2019-01-31 10,,72,1. -,2. -,Tidak Ada,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,Tidak Ada
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00E8829D-C1C0-4CC1-87C6-E7F5E2C8B0F4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69962101,KB Permata,69962101,jln siswa,SAYOANG,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,420.1/04/2103,28-05-2013,420.1/622/2013,30-05-2017,Lihat SK Operasional,2017-04-22 02,,200,,2.,,,,paudpermata10@yahoo.com,,.000000000000,.000000000000,2,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,2,
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF3F6C8F-AAE5-4D17-811E-F0D8A7FC662C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969771,Kb Tunas Muda,69969771,Jln angur,BORI,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AH8649,421/09/paud.Tm/2016,09-02-2015,420/102/2016,02-01-2017,Lihat SK Operasional,2017-11-16 15,B,300,1. -,2. -,PLN,,,,,.000000000000,.000000000000,4,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,1,0,3,4,0,0,0,0,4,0,1,3,0,0,2,1,1,0,0,0,4,Tidak Ada
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/811B329B-C3B1-45DB-80D6-55415BA86017,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69934088,NURUL HASAN,69934088,DESA SEBATANG,SABATANG,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,900/3048/2013,04-11-2013,900/3048/2013,04-11-2013,Lihat SK Operasional,2016-02-12 14,,72,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,paudnurulhasansabatang@yahoo.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,Telkomsel Flash
Maluku Utara,Kab. Halmahera Selatan,Bacan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EF3C5BCC-74B0-493A-9618-5F6CDA0BE77A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70004904,PAUD BABANG PRATAMA,70004904,Jl. Kantor Desa Babang,BABANG,KEC. BACAN TIMUR,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,09,20-08-2019,420.1/27/2019,11-03-2020,Lihat SK Operasional,2020-10-06 14,B,0,1. -,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,2,Tidak Ada
