prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/02A8DB27-6D77-45F8-AC95-1A95159C8686,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69921669,KB PANCAR KASIH LATDALAM,69921669,DESA LATDALAM,LATDALAM,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan KB PANCAR KASIH,AC6631,421.9/Dikbud-1891/X/2015,06-10-2015,421.9/Dikbud-1891/X/2015,06-10-2015,Lihat SK Operasional,2015-11-30 00,,200,,2.,,,,kbpancakasih@gmail.com,http,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5EB0453C-6D83-4E51-8BE9-D47302D3B551,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69975231,KB PAUD TERPADU ANGGREK PUTIH,69975231,SAUMLAKI,SAUMLAKI,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,12-04-2016,421.9/Dikbud-468/IV/2016,12-04-2016,Lihat SK Operasional,2018-04-14 23,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/12E20F8B-2D39-4AD4-822B-130635B205E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69961475,KB PAUD WERMASE BOMAKI,69961475,DESA BOMAKI,BOMAKI,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,03-05-2016,421.9/Dikbud-660/V/2016,03-05-2016,Lihat SK Operasional,2017-04-04 07,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A2BFDFE-6A7A-423F-B314-C551F3666014,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69905878,PAUD MATILDA BATLYARE,69905878,SIFNANA,SIFNANA,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/DIKPORA-677/VI/2013,25-06-2013,421.9/DIKPORA-677/VI/2013,25-06-2013,Lihat SK Operasional,2015-10-02 13,B,500,,2.,,,,,,.000000000000,.000000000000,1,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,,
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FF6EA676-1ADC-40CF-A0C5-C680515E365B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69905616,PAUD MELATI CHILDREN CENTRE,69905616,"Jl. BUKIT DURI, SAUMLAKI",SAUMLAKI,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Dharma Wanita Persatuan KAB.MTB,AC6648,421/06/2007,04-07-2007,Nomor,29-12-2020,Lihat SK Operasional,2021-02-28 10,B,0,,2.,,,,paud.mcc2021@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2013,
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8C7787CD-C8E6-4A48-B336-F34BD91EDA33,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69905950,PAUD PROVIDENSIA SAUMLAKI,69905950,"KAMPUNG BABAR, SAUMLAKI",SAUMLAKI,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/DIKPORA-1290/VI/201,19-06-2012,421.9/DIKPORA-1290/VI/201,19-06-2012,Lihat SK Operasional,2015-10-02 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DF8DB0D1-A382-4539-9A0B-1ADE7A00780E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69938472,PAUD TERPADU EL SHADAI,69938472,"GUNUNG NONA, SAUMLAKI",SAUMLAKI,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ELSHADAI,AC6644,,21-12-2015,421.9/Dikbud-2781/XI/2015,21-12-2015,Lihat SK Operasional,2016-03-09 23,,200,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2FA1574C-808A-4FF9-BF1C-5E6C9BEC390A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69947479,PAUD TERPADU MUTIARA IBU,69947479,SAUMLAKI,SAUMLAKI,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,21-06-2016,421.9/Dikbud-1087/VI/2016,21-06-2016,Lihat SK Operasional,2016-08-16 09,,530,1. -,2. -,PLN,,,,,.000000000000,.000000000000,4,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,"1,200",2,0,0,0,0,0,4,0,4,0,0,0,0,4,0,1,3,1,0,0,1,1,1,0,0,4,2013,Tidak Ada
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0B807E5C-A17E-48FC-98B3-948BFC3ABC09,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69935474,PAUD TERPADU TEMAN RAKYAT,69935474,DESA LATDALAM,LATDALAM,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan SATU ATAP TEMAN RAKYAT,AC6638,,28-09-2015,421.9/Dikbud-1718/IX/2015,28-09-2015,Lihat SK Operasional,2016-02-23 11,,126,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Maluku,Kab. Kepulauan Tanimbar,Tanimbar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/155E9961-5C93-4899-8D54-F0B1F8C03A8A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69935470,PAUD TERPADU TEMMAR WOWONDA,69935470,DESA WOWONDA,WOWONDA,KEC. TANIMBAR SELATAN,KAB. KEPULAUAN TANIMBAR,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PEMDES WOWONDA,AC6660,,30-11-2015,421.9/Dikbud-2799/X/2015,30-11-2015,Lihat SK Operasional,2016-02-23 01,B,126,,2.,,,,paud.temmar.wowonda@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
