prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9157BE29-C195-42BB-BA2C-D646EA157B6A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69911586,KB Bawarani,69911586,Jl. Poros Rantetayo,KELURAHAN RANTETAYO,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PKBM,AN5694,1008/DP.TR/LO.1.2014,07-05-2014,2080/DP.TT/PNFI.2/X/2015,15-10-2015,Lihat SK Operasional,2015-10-21 08,,120,1. -,2. -,Tidak Ada,,,bawarani123@gmail.com,,.000000000000,.000000000000,4,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,1,0,0,0,0,2,0,2,4,0,0,0,0,4,0,3,1,0,1,0,2,0,1,0,0,4
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E3FE3D3-CA02-4463-8E35-341BD4D0A7A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69986980,KB HOSANA KIDS,69986980,JL POROS MAKALE - RANTETAYO,KELURAHAN RANTETAYO,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1932/DP.TT/PNFI.1/VI/2016,21-06-2015,1943/DP.TT/PNFI.2/VI/2016,21-06-2016,Lihat SK Operasional,2019-04-09 13,,60,1. Telkomsel Flash,2. Lainnya (Kabel),PLN,,,hosanakids19@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",3,0,0,0,0,0,3,0,3,0,0,0,0,3,0,1,2,0,1,1,0,0,0,1,0,3
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B688D85B-5196-430B-AC56-36706DF23618,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69992007,KB MUTIARA KASIH,69992007,Leppangan,LEMBANG TAPPARAN UTARA,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,076/DP-TT/PNFI.2/III/2016,17-03-2016,077/DP-TT/PNFI.2/III/2016,17-03-2016,Lihat SK Operasional,2019-11-05 08,,200,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/81714B31-55BC-4951-973D-5354CB510789,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69977476,KB RANNUAN,69977476,RT Tanete Kelurahan Padangiring,KELURAHAN PADANG IRING,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Imanuel Dende',AJ2790,031/DP-TT/PAUD.PNF/VI/2017,14-06-2017,1590/DP.TT/PAUD-PNF/XI/2017,23-11-2017,Lihat SK Operasional,2018-05-30 13,B,0,1. -,2. Telkomsel Flash,PLN,,,kbrannuan@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CC5AE97E-F4C8-4844-8FCF-F816BBFB928F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69908016,KB Tonglo Tapparan,69908016,Jl. Tonglo-Tapparan,KELURAHAN TAPPARAN,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,331/DP.TR/LO.1/2013,21-08-2013,2009/DP.TT/PNFI.2/X/2015,05-10-2015,Lihat SK Operasional,2015-10-11 20,,240,1. -,2. -,Tidak Ada,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,2,0,0,0,0,1,2,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,1,1
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9CF6A10-7910-4827-A1DA-F252677047A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70024502,KB TUNAS HARAPAN,70024502,Jl. Poros Sariong - Tumonga,LEMBANG TONGLO,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,046/DP.TT/PAUD-PNF/XI/2021,20-11-2021,001/DP.TT/PAUD-PNF/I/2022,04-01-2022,Lihat SK Operasional,2022-01-13 14,,0,1. -,2. Telkomsel Flash,Menumpang,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,2
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/63F29DC6-C268-4C35-B350-FD87A31E9817,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69854714,RA Nurul Huda Rantetayo,69854714,Kompleks Masjid Nurul Huda Rantetayo,LEMBANG MADANDAN,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,RA,Kementerian Agama,Lainnya,,Kd.21.06/4-a/PP.00/1543/2010,18-08-2010,Kd.21.06/4-a/PP.00/1543/2010,18-08-2010,Lihat SK Operasional,2021-11-18 17,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B82373E6-1057-439E-839E-B8CC7ABAE97A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69844903,TK Berlian Rantetayo,69844903,Rantetayo,KELURAHAN PADANG IRING,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,,880/DP.TR/LO.1.2012,,Silakan Upload SK,,B,60,1. -,2. -,PLN,,,berlian@yahoo.co.id,,-5.444525000000,114.426041000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,3,0,0,1,2,2,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,2
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F86C6211-1CE4-4A37-B90C-957C47ABA87C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69844902,TK Katolik Santo Agustinus,69844902,Bandar Udara Pongtiku,KELURAHAN RANTETAYO,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PKBM BAWARANI,AN5695,1012/DP.TR/LO.1.2011,31-08-2012,1491/DP.TT/PAUD.PNF/XI/2017,08-11-2017,Lihat SK Operasional,2021-06-06 11,C,450,,2.,,,,tk_santopaulus@gmail.com,,-3.041139000000,119.820616000000,1,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Sulawesi Selatan,Kab. Tana Toraja,Rantetayo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F519D3B-F2C4-4824-8674-2423E8E1CDB2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69909645,TK Kristen Dulang,69909645,Jl. Poros Madandan Rantetayo,LEMBANG MADANDAN,KEC. RANTETAYO,KAB. TANA TORAJA,PROV. SULAWESI SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perguruan Kristen Toraja,AN5692,517/DP.TR/LO.1.2010,12-06-2010,2060/DP.TT/PNFI.2/X/2015,05-10-2015,Lihat SK Operasional,2015-10-15 13,B,88,1. Telkomsel Flash,2. -,PLN,,,tkkristendulang@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",1,0,0,2,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
