prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/303C7050-DCA6-43AC-8A0B-40BCFAB4851E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69814765,KB AL FAIZIN,69814765,"Jalan A Yani Pincuran Tujuh Batusangkar, Jorong Lantai Batu",BARINGIN,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,420/11/WNBRG-2016,02-03-2016,0220307833613,04-09-2020,Lihat SK Operasional,2020-09-29 11,C,500,1. -,2. -,PLN,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,200",1,0,0,2,0,0,2,0,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,2
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9ABE1CF0-0FB2-479B-B858-0930B24350EC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969379,KB HARAPAN BANGSA,69969379,Jorong Silabuk Nagari Parambahan,PARAMBAHAN,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan HARAPAN BANGSA,AK4988,01/SK/WN/PRB-2016,23-11-2016,27/IO-PAUD/PMPTSP-NAKER/X-2017,20-10-2017,Lihat SK Operasional,2017-11-08 18,,400,,2.,,,,Haliahadis@gmail.com,,.000000000000,.000000000000,0,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9EC400A8-9296-4C3B-B8E4-73D9324C81BD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69814680,KB PERMATA BUNDA,69814680,RAYA BATUSANGKAR-PANDANG PANJANG KM 6,CUBADAK,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AM0694,,,421.1/036/2007,,Silakan Upload SK,,B,340,1. -,2. Telkom Speedy,PLN,,,indri_yeny@yahoo.co.id,,-5.443757000000,114.421127000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/701C1CCA-A765-4552-80D3-D4BB95606EC1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69983763,KB QURAN AL FITYAN,69983763,Jorong Balai Jumat,LIMA KAUM,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN WAKAF ALFITYAN,AM0691,02/AL-FITYAN/VI/2017,15-05-2017,98/IO-PAUD/PMPTSP-NAKER/X-2018,19-10-2018,Lihat SK Operasional,2018-12-12 08,B,0,,2.,,,,KBQURANALFITYAN@GMAIL.COM,http,.000000000000,.000000000000,3,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,2,1,3,0,0,0,0,0,0,0,3
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF3924AD-F875-4635-BCDE-6B9F58D8B18D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69910909,KELOMPOK BERMAIN ANAK KU,69910909,JLN. MT HARYONO NO 1 BATUSANGKAR JORONG DIPONEGORO,BARINGIN,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PKK KABUPATEN TANANH DATAR,AM0689,12/Sekr/PKK-Kab/III-2004,10-04-2004,33/IO-PAUD/PMPTSP-NAKER/IV-2018,19-04-2018,Lihat SK Operasional,2020-06-11 11,B,600,1. -,2. Telkomsel Flash,PLN,,,anakku_paud@yahoo.com,,.000000000000,.000000000000,3,0,0,0,2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,900,5,0,1,0,0,0,0,3,3,0,0,0,0,3,0,1,2,0,1,0,1,1,0,0,0,3
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D7A3C8B-2338-4481-9604-820221C86D8A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69918469,PAUD CINTA SEHAT,69918469,JORONG TIGA BATUR,PARAMBAHAN,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,15/SK/WN/PRB-2004,01-12-2004,421.1/027/DIKNAKER-2007,07-05-2007,Lihat SK Operasional,2015-11-10 15,,200,,2.,,,,yollanofriana@yahoo.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D5042F3-3759-4673-8EA0-ADB61B2D6665,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69918908,PAUD HARAPAN BUNDA,69918908,JORONGN BARINGN,BARINGIN,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AK4989,64/SK/WN-BRG/LK-2010,20-04-2010,421.1/021/DISDIK-2010,16-04-2010,Lihat SK Operasional,2015-11-12 08,C,0,1. Telkomsel Flash,2. -,PLN,,,paudharapanbunda70@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AA21D52A-2F1B-4A19-858F-DE1DAB02437B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70003996,PAUD INKLUSI CAHAYA PELANGI,70003996,Jorong Balai Batu Kec. Lima Kaum,LIMA KAUM,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Care Education Centre,AM0704,AHU-0022335.AH.01.04,09-11-2015,0220004891903,10-08-2020,Lihat SK Operasional,2020-12-16 09,,0,1. -,2. -,PLN,,,,,.000000000000,.000000000000,4,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,3,0,0,2,0,0,6,0,4,0,0,0,0,4,0,1,3,3,1,0,0,0,0,0,0,4
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80B393FB-B692-4352-BB93-095C0541DCBD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69926284,PAUD-QU TAHFIDZ MUTIARA QURAN,69926284,Jalan M Yamin Jorong Malana,BARINGIN,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PAUD-QU TAHFIDZ MUTIARA QUR'AN,AK4990,01/PAUD-QU/MQ/IX/2015,10-12-2015,0220003651679,04-09-2020,Silakan Upload SK (link file tidak valid) => [509845-874144--],2021-09-01 20,C,0,,2.,,,,kbtahfidzmutiarquran@gmail.com,,.000000000000,.000000000000,4,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,3,1,4,0,0,0,0,4,0,2,2,4,0,0,0,0,0,0,0,4
Sumatera Barat,Kab. Tanah Datar,Lima Kaum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8A3F36A-DEDE-4E41-AE37-FEF16624384C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69730528,RA/BA/TA AL-IKHLAS BATUSANGKAR,69730528,JLN. PASAR BATUSANGKAR,LABUH,KEC. LIMA KAUM,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,RA,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-.475001000000,100.583500000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
