prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8C690E9E-356A-44BB-9D68-8BCEDCBCAB53,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69877505,KB AISYIYAH TITANG,69877505,TITANG,SIMO,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,AJ9196,,,893.2/0406/14/2013,,Silakan Upload SK,,,276,,2.,,,,,,-7.420866700000,110.736595400000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2E03116E-9AE7-4799-AB1D-FF936D24C2C2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69810575,KB AL FALAAH,69810575,JL.SIMO-KLEGO KM 01,SIMO,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AA6841,,,1893.22/1717/2008,,Silakan Upload SK,,B,500,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,kbitalfalaahsimo@gmail.com,,-7.426092000000,110.701418000000,11,0,0,0,Pagi/6 hari,,2022/2023-2,"1,500",7,0,0,2,0,0,12,0,11,0,0,0,0,11,2,1,8,2,3,4,2,0,0,0,0,11,2013,Telkomsel Flash
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4C617A8-794B-4009-BC77-24E54E448EF0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69923147,KB HARAPAN KITA,69923147,"DK. RINGINANOM RT 13/06 PENTUR, SIMO, BOYOLALI",PENTUR,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PKBM,AA6850,893.2/3886/14/2014,23-10-2014,893.2/3886/14/2014,23-10-2014,Lihat SK Operasional,2015-12-07 18,C,0,1. Telkomsel Flash,2. -,PLN,,,harapankitakb@gmail.com,,-7.443454000000,110.634127000000,3,0,0,0,Pagi/6 hari,,2022/2023-2,"2,200",3,0,0,2,0,0,0,3,3,0,0,0,0,3,1,0,2,0,1,1,1,0,0,0,0,3,2013,Telkomsel Flash
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4CBA3B27-47C0-4F84-9CC0-3CC52B330A2A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69877506,KB ISLAM UMMAHAT,69877506,Jl. Tambak Segaran,SIMO,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,893.2/2152/14/2012,21-05-2012,893.2/2152/14/2012,21-05-2012,Lihat SK Operasional,2019-04-10 15,,152,1. Telkom Speedy,2. Telkom Speedy,PLN,,,kbitummahat@gmail.com,,-7.438731000000,110.678802000000,1,0,0,0,Siang/6 hari,,2022/2023-2,"1,300",1,0,0,2,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2013,Telkom Speedy
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A8B02377-0F6B-41C4-A874-B453A1E3F645,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69877509,KB KENANGA MANDIRI,69877509,PONCOWIDODO,BLAGUNG,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,,893.2/0405/14/2013,,Silakan Upload SK,,,50,,2.,,,,,,-7.427283000000,110.709743000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C3C55F82-6F3C-4516-849E-53F45B9EA9E2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69923195,KB MAISITHOH,69923195,"KEMEL, KEDUNGLENGKONG, SIMO, BOYOLALI",KEDUNGLENGKONG,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PKK MARGO MULYO,AA6848,893.3/0784/20/2005,15-03-2007,893.3/0784/20/2005,15-03-2007,Lihat SK Operasional,2015-12-07 23,,0,1. -,2. Telkomsel Flash,PLN,,,kbmaisithoh@gmail.com,,-7.410452000000,110.696547000000,1,0,0,0,Pagi/6 hari,,2022/2023-2,900,2,0,0,2,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2013,Tidak Ada
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DF815134-11D8-4C27-A324-8B5C430272DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69877508,KB PELANGI,69877508,CANDI,GUNUNG,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,893.2/0524/14/2012,17-02-2012,893.2/0524/14/2012,17-02-2012,Lihat SK Operasional,2019-04-29 07,,96,,2.,,,,,,-7.431326000000,110.628376000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/14BC3124-440B-4780-9CDA-DB110CC6132D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69877507,KB PERMATA HATI,69877507,,SIMO,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,AA6836,,,893 3/0349/20/2005,,Silakan Upload SK,,,250,,2.,,,,permatahatikb1@gmail.com,,-7.418357800000,110.694970600000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5A6FCC2D-0FD4-48FE-BC2B-80337C3FD91F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69810520,KB RAMAH ANAK DAHLIA,69810520,GUNUNG,GUNUNG,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,,8932./0522/14/2012,,Silakan Upload SK,,,0,,2.,,,,,,-7.419257000000,110.636357500000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Tengah,Kab. Boyolali,Simo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D3F8B37-9817-4FBA-93FB-FDC19A0E06DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69810563,KB RIYADLUL JANNAH,69810563,Ngreni RT 05 RW 02,SIMO,KEC. SIMO,KAB. BOYOLALI,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Boyolali,AJ9196,893.3/2285/20/2005,21-06-2006,893.3/2285/20/2005,21-06-2006,Lihat SK Operasional,2021-12-14 11,,880,1. Telkomsel Flash,2. Smartfren,PLN,,,riyadluljannahkb@gmail.com,,-7.435486000000,110.685861000000,2,0,0,0,Sehari Penuh/6 hari,,2022/2023-2,900,1,0,0,1,0,0,3,0,2,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,2,2013,Telkomsel Flash
