prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3DE12B4E-4FC1-4879-9915-BC9252D553C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69809903,KB AD-ZIKRA,69809903,RT.02/RW.01,SUNGAI BULUH,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AM1226,447/30 Maret 2017,04-04-2017,50/DPMPTSP-PNP/2.02.01.02.2/2021,03-05-2021,Lihat SK Operasional,2023-02-16 06,B,"12,000",1. -,2. -,PLN,,,paud.adzikra02@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,0,0,0,4,0,3,0,0,0,0,3,0,1,2,1,0,1,0,0,0,1,0,3
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2396F660-5FE4-4C10-8CC4-E627E4D9D431,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69970888,KB AZZAHRA,69970888,Tanjung Pauh,TANJUNG PAUH,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan KB AZZAHRA,AM1235,21 Tahun 2016,13-03-2016,44/BPTPM-PER/2016,27-07-2016,Lihat SK Operasional,2017-12-13 14,B,"2,337",1. -,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4FE6ACCF-1C61-4FFE-9A05-C844DD9ABB58,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69959394,KB CAHAYA BUNDA,69959394,Jl. Jend. Sudirman,BERINGIN JAYA,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan DHARMAWANITA UPTD KESEHATAN BERINGIN JAYA,AM1215,11/2016,17-09-2016,10/DPMPTSPTK-PER/2017,08-02-2017,Lihat SK Operasional,2017-02-16 11,,0,1. -,2. -,PLN,,,kbcahayabunda12@gmail.com,,-.135819000000,101.465470000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,0,0,0,2,1,3,0,0,0,0,3,0,1,2,0,1,1,1,0,0,0,0,3
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/085F33CB-B86D-44CE-8382-5DBD81CC995B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69809886,KB CAHAYA BUNDA,69809886,JL. POROS DUSUN BULUH JAYA,SUNGAI BULUH,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,AM1241,09.II/IPL-KB/SB-2011/664,11-07-2011,421.1/BPTPM/2015/24,26-03-2015,Lihat SK Operasional,2017-11-02 20,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FDE98475-BFAC-4575-BDF1-2C189B023565,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69809950,KB HARAPAN BANGSA,69809950,GAJAH MADA,MUARA BAHAN,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN TUNAS HARAPAN,AM1216,140/MB-Pemdes/VI/2011/172,01-07-2011,126/DPMPTSPTK-PNP/2.02.01.02.2/2020,17-11-2020,Lihat SK Operasional,2021-10-08 01,,"2,500",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,kbharapanbangsa21@gmail.com,,-1.842100000000,115.109500000000,1,0,0,0,2013,Siang/6 hari,,2022/2023-2,Telkomsel Flash,900,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ECD52D65-2F1C-4078-93F8-C1AEEA6C3366,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69809916,KB HARAPAN BUNDA,69809916,JL. Pemuda No. 3,BUKIT RAYA,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN TUNAS HARAPAN,AM1216,KPTS.03/BR/KB-HB/III/2013,05-03-2013,421.1/DISDIK/2014/48,03-02-2014,Silakan Upload SK (link file tidak valid) => [605348-38870--],2022-03-22 13,B,900,1. -,2. Telkomsel Flash,PLN,,,kbharapanbundabr@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,2,0,0,0,0,0,3,0,2,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,2
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9CBA67F3-AB33-4A9B-BB64-6F423EE67DD6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69821243,KB HARAPAN IBU,69821243,Jl. Pembangunan,SUMBER JAYA,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PENDIDIKAN HABILITAS CENTRE,AM1234,09/SJ/VII/2007,30-07-2007,421.1/DISDIK/2014/46,03-02-2014,Lihat SK Operasional,2017-11-02 10,B,30,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,harapanibu23@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,2,0,0,0,0,0,3,1,3,0,0,0,0,3,0,0,3,1,0,2,0,0,0,0,0,3
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1D20E007-C955-42EA-9926-90C106565793,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69809951,KB KASIH IBU,69809951,Jl. RA. KARTINI,SIMPANG RAYA,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PKK SIMPANG RAYA,AM1231,KPTS.421.1/Y.PKK/SR/VII/2010/03,10-07-2010,04/BPTPM-PER/2016,28-03-2016,Lihat SK Operasional,2017-11-01 10,C,300,1. XL (GSM),2. Telkomsel Flash,PLN,,,kasihkb7@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,XL (GSM),898,1,0,0,1,0,0,4,0,3,0,0,0,0,3,0,0,3,1,1,1,0,0,0,0,0,3
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F5ECA36A-5BA4-4861-8090-DF8816C9681E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69858153,KB KIDS CERIA,69858153,JL. PEMUDA,PETAI,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Islam,AM1218,422/Y.PKK/PT-SH/X/2013/08,10-10-2013,421.1/BPTPM/2014/05,13-10-2014,Lihat SK Operasional,2017-11-02 18,C,600,1. -,2. Telkomsel Flash,PLN,,,rilasusanti@yahoo.com,,-5.443757000000,114.421127000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,2,0,0,0,0,0,3,1,3,0,0,0,0,3,0,0,3,2,1,0,0,0,0,0,0,3
Riau,Kab. Kuantan Singingi,Singingi Hilir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B6F90798-BAF1-496F-9CAF-80DE59A0C065,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69809883,KB MUTIARA BUNDA,69809883,Jl. Jend. Sudirman,BERINGIN JAYA,KEC. SINGINGI HILIR,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PKK DESA,AM1225,470/06/BJ-SH/SKPP/VII2017/668,01-07-2017,421.1/BPTPM/2015/48,28-07-2015,Lihat SK Operasional,2017-11-24 20,,789,1. -,2. Telkomsel Flash,PLN,,,paudmutiarabundabj@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,2,0,0,0,0,0,3,0,2,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,2
