prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EC4D432B-65C7-4B08-9F39-B81D210A0B43,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990017,LKP ADI,K9990017,Dusun Telabah Geres,MONTONG ARE,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,001/LKP-KDRI/2019,01-07-2019,821/499/PAUDPNF/DIKBUD/2019,23-12-2019,Silakan Upload SK,,,300,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/49A47A72-4634-4BA2-9E47-CBB1094E3C48,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990455,LKP ANNISA,K9990455,"Jln. Tgh. M. Daud, Dusun Gersik",GELOGOR,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,001/LKP-KDRI/2016,05-12-2016,821/3123/PAUDDANDIKMAS/DIKBUD/2017,01-09-2017,Lihat SK Operasional,2020-07-08 20,,250,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A817F4DD-FD6C-495C-9B50-F5B00AEB471F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990145,LKP KAGAYAKU ABADI,K9990145,"Jln. Tgh. Abdul Hafids, Kediri Selatan",KEDIRI,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,001/LKP-Kdr/2018,03-12-2018,821/522/PAUDPNF/DIKBUD/2019,18-11-2019,Lihat SK Operasional,2020-02-18 10,,200,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/314D5583-CFD5-48F7-A93E-7279FB880127,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9981130,LKP KHIARA SALON,K9981130,Dusun Nyiur Gading,MONTONG ARE,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,001/SK-LKP-KS/IX/2017,11-09-2017,821/310/PAUDPNF/DIKBUD/2018,01-11-2018,Lihat SK Operasional,2019-03-04 08,,200,,2.,,,,khiarasalon032@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Kesehatan,
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3BE7986-BCFE-43A0-A222-AD54E89F98AF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997923,LKP SALON KECANTIKAN KLARA,K9997923,"Jl. TGH. Ibrahim Al-Khalidy, Perkantoran Pasar Kediri",KEDIRI,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,01/KLARA/01/2019,09-03-2019,821/45/PAUDPNF DAN DIKMAS/DIKBUD/2022,03-01-2022,Lihat SK Operasional,2022-03-24 16,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF59D8E4-5722-47BF-A931-63D6068F5EDD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997574,PKBM AKMALUL INSAN SEJAHTERA,P9997574,"Dusun Batu Tumpeng 1, Desa Jagaraga Indah",JAGARAGA INDAH,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,11/YAS.AIS/XII/2020,10-12-2020,821/186-PAUDPNF/DIKBUD/2021,01-02-2021,Lihat SK Operasional,2022-12-21 17,,200,1. Telkom Astinet,2. Lainnya (Wavelan),PLN & Diesel,,,,,-8.656100000000,116.156200000000,3,0,0,5,Sehari Penuh/3 hari,,2022/2023-2,900,1,0,0,0,0,0,4,0,3,0,0,0,0,3,0,2,1,1,1,1,0,0,0,0,2,1,2013,Telkom Astinet
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6CC323FC-61C2-4780-8000-8D93B0B91E68,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2966918,PKBM AKSARA MUDA,P2966918,JL. TGH. ABDUL HAFIZD,JAGARAGA INDAH,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN AKSARA MUDA MANDIRI,AX6251,C-401.HT.03.01-TH.2006,12-05-2009,821/02/PAUDNI/DIKBUD/2016,18-05-2016,Lihat SK Operasional,2022-05-30 08,B,735,1. Smartfren,2. Telkomsel Flash,PLN,,,pkbm.aksaramuda@gmail.com,,-8.646200000000,116.157000000000,11,0,0,10,Sore/6 hari,,2022/2023-2,"1,300",6,0,1,1,0,0,3,10,11,0,0,0,0,11,0,7,4,5,1,3,1,1,0,0,6,5,2013,Smartfren
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D8D43161-5578-4F6C-8AB4-F4F3CB77947C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997403,PKBM AL ISHLAHUSSIBYAN,P9997403,"Dusun Telabah Geres, Desa Montong Are, Kecamatan Kediri, Kabupaten Lombok Barat",MONTONG ARE,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,01/YAY.ISHLAH/I/2021,01-01-2021,821/104-PAUDPNF/DIKBUD/2020,06-01-2021,Lihat SK Operasional,2021-05-25 14,,200,1. Linknet,2. Telkom Astinet,PLN,,,,,.000000000000,.000000000000,4,0,0,5,Sore/6 hari,,2022/2023-2,900,3,0,0,0,0,2,3,0,4,0,0,0,0,4,0,4,0,1,1,1,1,0,0,0,4,0,Paket C IPS 2013,Linknet
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0A9AD5F-DCF4-4CE5-BA36-65A95ECFD3F2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2966919,PKBM AL-HUSNA,P2966919,Jln. Tgh. M. Daud Muksin Gersik,GELOGOR,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,09/PKBM/5/V/2007,31-05-2007,821/189-PAUD-PNF/DIKBUD/2019,14-05-2019,Lihat SK Operasional,2019-03-25 14,A,450,1. XL (GSM),2. XL (GSM),PLN,,,pkbmalhusna07@gmail.com,,-8.634500000000,116.141400000000,6,0,0,6,Siang/6 hari,,2022/2023-2,"3,500",11,0,0,2,1,1,10,1,5,1,0,0,0,6,0,3,3,0,3,2,0,0,1,0,3,3,2013,XL (GSM)
Nusa Tenggara Barat,Kab. Lombok Barat,Kediri,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1AD24512-A646-4F49-BFEC-990985AA2F48,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998603,PKBM BARU MEKAR,P9998603,Jl. Taruna Ombe Rerot Timur,OMBE BARU,KEC. KEDIRI,KAB. LOMBOK BARAT,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,001/ PKBM-BM/III/2021,03-03-2021,821/6627 - PAUDPNF & DIKMAS/DIKBUD/2022,30-11-2022,Lihat SK Operasional,2022-12-12 05,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
