prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/181CDB5C-569D-4B2A-9835-D15992D001B9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997451,PKBM AL-ARKHAN,P9997451,Kp. Pair Luhur RT. 03 RW. 08,JAYAGIRI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/521/PAUDNI-K/KAB/2021,30-04-2021,421.9/521/PAUDNI-K/KAB/2021,30-04-2021,Lihat SK Operasional,2021-06-11 16,,"3,750",1. -,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,0,0,0,6,2013,Siang/6 hari,,2022/2023-2,Tidak Ada,900,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7DB0E256-87E6-4807-AB5D-53865D086533,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997441,PKBM AL-KALAM,P9997441,Kp. Jatisari RT. 01 RW. 01,JATISARI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/520a/PAUDNI-K/KAB/2021,28-05-2021,421.9/520a/PAUDNI-K/KAB/2021,28-05-2021,Lihat SK Operasional,2021-06-09 23,,400,1. Lainnya (Wavelan),2. Lainnya (Wavelan),PLN,,,pkbmalkalam2021@gmail.com,,.000000000000,.000000000000,10,0,0,6,2013,Sehari Penuh/3 hari,,2022/2023-2,Lainnya (Wavelan),450,3,0,0,0,0,0,12,0,10,0,0,0,0,10,0,0,10,7,2,1,0,0,0,0,5,5
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51148CAA-F27A-4E2A-B2AC-3C8783FFB914,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998097,PKBM AL-MUNAWAROH,P9998097,Kp. Cinyalindung Rt. 002 Rw. 002,KERTASARI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN ATSANAWIAYAH BUDIMAN ALMUNAWAR,AI0886,013/S.Ket/YP.YABA/123/2022,08-03-2022,421.9/ 165 /PAUDNI/KAB/2022,22-02-2022,Lihat SK Operasional,2022-04-09 23,,"2,400",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,2,0,0,6,Paket C IPS 2013,Sehari Penuh/3 hari,,2022/2023-2,Telkomsel Flash,900,2,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,2,0
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/377F61AD-C78C-44A2-969B-05D8D9A7F844,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9985109,PKBM Al-PIN,P9985109,Kp. Cipunaga,KERTAMUKTI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,07/008/VIII/2019,07-01-2020,421.9/087.a/PAUDNI-K/Kab/2019,04-02-2020,Lihat SK Operasional,2020-02-19 21,,0,1. Indosat Mentari,2. XL (GSM),PLN,,,pkbmalpi01@gmail.com,,-7.456636000000,107.132983500000,6,0,0,14,Paket C IPS 2013,Siang/6 hari,,2022/2023-2,Indosat Mentari,450,16,0,0,1,0,0,5,2,6,0,0,0,0,6,0,1,5,4,2,0,0,0,0,0,4,2
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4103B56B-AE0F-4FE0-93B1-79EDC4FB7C75,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998623,PKBM ALSHAKI,P9998623,Jl. Raya Girimukti - Cianjur,GIRIMUKTI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Darul Ilmi Cianjur,AX6895,SK/PKBM-ALSHAKI/V/2022,10-11-2022,421.9/ 1498 /PAUDNI/KAB/2022,11-11-2022,Lihat SK Operasional,2023-04-18 05,,"160,000",1. Indosat IM2,2. Telkom Speedy,PLN,,,,,.000000000000,.000000000000,0,0,0,3,2013,Siang/6 hari,,2022/2023-2,Indosat IM2,900,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C7626A4-3546-49A1-B17E-546E1660AF0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996720,PKBM ANNASIRIYAH SINDANGBARANG,P9996720,Kp. Batu Seuneu Rt. 004 Rw. 001,MUARACIKADU,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,474/345-SKD/VII/2020,29-08-2020,421.9/ 1080 / PAUDNI-K/KAB/2020,21-07-2020,Lihat SK Operasional,2020-09-08 16,,0,1. Smartfren,2. -,PLN,,,pkbmannasiriyahsindangbarang@gmail.com,,-7.388608200000,107.164684800000,7,0,0,6,Paket C IPS 2013,Sehari Penuh/3 hari,,2022/2023-2,Smartfren,450,6,0,0,0,0,0,7,1,7,0,0,0,0,7,0,2,5,4,1,0,1,0,1,0,3,4
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A36EC5A1-2694-4F7C-8AEB-E0591679A13F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996706,PKBM AZZAHRA,P9996706,Kp. Cikawung RT. 02 RW. 02,TALAGASARI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/292/PAUDNI/KAB/2023,10-03-2023,421.9/292/PAUDNI/KAB/2023,08-03-2023,Lihat SK Operasional,2023-04-13 03,,"1,260",1. Indosat IM3,2. Indosat IM3,PLN,,,pkbmazzahra00@gmail.com,,-7.415540000000,107.007744100000,7,0,0,4,Paket C IPS 2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,800,2,0,0,0,0,0,4,4,7,0,0,0,0,7,0,1,6,4,2,1,0,0,0,0,2,5
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6B74E4B3-E87E-4B45-B15B-5511CC8A8EBB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998710,PKBM BAITURRAHMAN SINDANGBARANG,P9998710,Kp. Ciburuy  Rt. 04 Rw. 06,SIRNAGALIH,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,014/YN-DM/I/2022,20-08-2022,421.9/ 1147 /PAUDNI/KAB/2022,26-09-2022,Lihat SK Operasional,2023-02-09 10,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9F784E25-8E8C-4E82-B610-21A0F3A4AD8F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997418,PKBM DAARUL MU`MIN,P9997418,Kp. Batu Korsi,SIRNAGALIH,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/111b/PAUDNI-K/KAB/2020,29-12-2020,421.9/111b/PAUDNI-K/KAB/2020,29-12-2020,Lihat SK Operasional,2021-05-29 17,,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,1,0,0,6,Paket C IPS 2013,Sehari Penuh/3 hari,,2022/2023-2,Telkomsel Flash,900,2,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C42024B5-1E05-4900-926E-2E24C1D050CD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996747,PKBM DARUL ILMI,P9996747,Kp. CIkawung,MUARACIKADU,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Darul Ilmi Cianjur,AX6895,002/SK-YPDIC/VIII/2020,27-08-2020,421.9/831/PAUDNI/KAB/2022,18-07-2022,Lihat SK Operasional,2022-10-28 08,,"2,500",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,,,-7.391339700000,106.990138400000,7,0,0,8,Paket C IPS 2013,Siang/6 hari,,2022/2023-2,Telkomsel Flash,900,5,0,0,0,0,0,7,1,7,0,0,0,0,7,0,2,5,5,0,1,0,1,0,0,4,3
