prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/11CDA354-A927-47AA-9EE5-69CF114A7050,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69958368,Al Bahjah,69958368,Kelurahan Sendang Kec. Sumber Kabupaten Cirebon,KENANGA,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/965CE544-271F-4EE7-A4E9-AF656F7D2700,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669295,LKP D LOGIC CIREBON,K5669295,Wanakerta Kidul RT 01 RW 09,TUKMUDAL,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AA3668,421.10/1490/Disdik,11-07-2018,421.10/1490/Disdik,11-07-2018,Lihat SK Operasional,2018-07-19 09,B,150,,2.,,,,lkpdlogic67@gmail.com,,-6.755708700000,108.472657500000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Kesehatan,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2CA3E9BD-C7C0-4A14-8802-C29E5D87FCEF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652457,LKP Kangaroo Language Program,K5652457,Jl. P. Kejaksaan no.13,SUMBER,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.10/2643/Disdik,22-09-2017,421.10/2643/Disdik,22-09-2017,Silakan Upload SK,,C,0,,2.,,,,,,-6.765400000000,108.485300000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Bahasa,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0CB710D0-6434-4140-B772-1E5167FC8F7D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9981301,LKP KUMON GRAND DUTA KEMANTREN SUMBER,K9981301,Jl. P Cakrabuana Perumahan Grand Duta Blok B6,KEMANTREN,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.10/584/Disdik,20-03-2019,421.10/584/Disdik,20-03-2019,Lihat SK Operasional,2019-04-22 09,,150,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9AFCFC8B-BB45-47C6-8AC2-BAAF4249C60D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652523,LKP Oto 98,K5652523,"Jl. Pangeran Cakrabuana, Taman Kemantren D2 No.1",KEMANTREN,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,"ViscaKemalaDewi, S.H./No.11",06-11-2013,420.10/1590/Disdik,24-07-2018,Lihat SK Operasional,2019-07-03 14,C,0,,2.,,,0231-8308857,,www.oto-98.com,-6.758816500000,108.496237100000,0,0,0,2,,,2022/2023-2,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KKNI Level 2,KBK Teknologi dan Rekayasa,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7FFCB956-4182-4C70-8D64-8D73E38FFFC6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668269,LKP PRIMATARI,K5668269,Blok Pelinggihan RT 21 RW 05,SENDANG,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,32,24-12-2010,421.10/2034/Disdik,18-09-2018,Lihat SK Operasional,2019-10-07 09,C,200,,2.,,,,primataricirebon@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Seni Pertunjukan,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1438156A-0B6E-493E-B16E-5731213964BF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998256,LKP RIDHO JAYA MANDIRI,K9998256,Jln. Sultan Agung No 45,SUMBER,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.10/1533/Disdik,08-04-2022,421.10/1533/Disdik,08-04-2022,Lihat SK Operasional,2022-09-20 09,,200,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51F06B0E-DF87-42AB-A775-23604B5AF028,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998573,LKP RUMAH CANTIK AZZAHRA,K9998573,Jl Raya Ki Ageng Tapa No11,PEJAMBON,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,4210.10/1105/Disdik,13-03-2023,4210.10/1105/Disdik,13-03-2023,Lihat SK Operasional,2023-03-21 15,,250,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D412E729-C488-426F-9A46-1A27335498D2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652494,LKP Wisma Erwina,K5652494,"Jl.Melati III/No.1 Rt.03/04,Kelurahan Sumber",SUMBER,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.10/592/Disdik,21-03-2019,421.10/592/Disdik,21-03-2019,Lihat SK Operasional,2020-06-29 12,,400,,2.,,,,lkpwismaerwina@gmail.com,www.wismaerwina.com,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Pariwisata,
Jawa Barat,Kab. Cirebon,Sumber,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5842836C-ED71-4C1A-B49D-F08DB7EDB6B1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998605,LKP YANATHA,K9998605,Jl. P Kejaksan Link Kliwon No. 26,SUMBER,KEC. SUMBER,KAB. CIREBON,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.10/1113/PNF,13-03-2023,421.10/1113/PNF,13-03-2023,Lihat SK Operasional,2023-04-10 12,,50,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
