prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5738B7F2-F191-4CBB-869D-7EAAC8D92653,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69957509,Darul Hikmah,69957509,Randutatah,RANDUTATAH,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/645EFD8D-575E-466E-A386-33DDF71012AB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5658400,LKP Excellent,K5658400,Jl. Taman Blok Pesantren Rt.04/Rw.02,PAITON,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,420/726/426.101/2014,28-12-2014,420/2397/426.101/2014,28-12-2014,Lihat SK Operasional,2019-10-17 08,,0,,2.,,,,excellentku@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1D459906-539D-461B-8D1E-AA47DD18B87A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937201,PAKET PP. NURUL FALAH,69937201,PONDOK KELOR,PONDOK KELOR,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B74E7F95-972C-4000-9F57-8A953E8244D3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937200,PAKET PP. NURUL HASYIMI,69937200,DSN PATUKANGAN,PANDEAN,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4FA1F1F9-B710-4EC5-A7A1-CE1F64BB5E59,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69978982,PDF Ulya Nurul Jadid,69978982,Karanganyar,KARANGANYAR,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,Nomor 3151 Tahun 2018,06-06-2018,Nomor 3151 Tahun 2018,06-06-2018,Silakan Upload SK (link file tidak valid) => [-],2018-08-02 07,,0,,2.,,,,,,.000000000000,.000000000000,0,29,68,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0B2E787B-008F-48F3-95FB-31824B6D488E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937226,PDF ULYA NURUL QADIM,69937226,JL. KH HASYIM/KYAI MINO,KALIKAJAR KULON,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,1981/K Tahun 2018,06-04-2018,1981/K Tahun 2018,06-04-2018,Lihat SK Operasional,2022-06-11 13,,0,,2.,,,,,,.000000000000,.000000000000,0,71,137,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6278C410-56C8-4E5C-9F55-A3A34D777A94,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69978981,PDF Wustha Nurul Jadid,69978981,Karanganyar,KARANGANYAR,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,Nomor 3151 Tahun 2018,06-06-2018,Nomor 3151 Tahun 2018,06-06-2018,Silakan Upload SK (link file tidak valid) => [-],2018-08-02 07,,0,,2.,,,,,,.000000000000,.000000000000,0,40,66,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8579338-3AD8-4B62-9D36-B126B11DC59F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69956425,PDF Wustho Nurul Qadim,69956425,Jl. KH Hasyim/Kyai Mino,KALIKAJAR KULON,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,Kd.15.8/3/PS.00/1935/2016,27-06-2016,221357400019,04-05-2016,Lihat SK Operasional,2020-07-27 12,,0,,2.,,,,,,-7.750500000000,113.487000000000,0,94,220,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70FC0020-A1A6-4459-97AA-E1E193A110B1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9959779,PKBM AL FATIH,P9959779,Jl.Raya SMAN 1 No.18,SUKODADI,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.1/917/426.101/2016,27-04-2016,421.3/204/426.116/2020,26-11-2020,Lihat SK Operasional,2021-08-24 17,,"3,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,abdoelrosjid823@gmail.com,,-7.720800000000,113.513100000000,3,0,0,7,Sore/6 hari,,2022/2023-2,900,5,0,0,1,0,0,3,1,3,0,0,0,0,3,0,2,1,0,0,0,2,0,1,0,2,1,Paket B dan Paket C,2013,Telkomsel Flash
Jawa Timur,Kab. Probolinggo,Paiton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C80753C-00A1-428B-B336-B370664E4676,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2961293,PKBM NURUL FALAH,P2961293,Jl. Raya Paiton No.89 Desa Pondok Kelor,PONDOK KELOR,KEC. PAITON,KAB. PROBOLINGGO,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.1/245.12/426.101/2016,12-12-2016,421.3/010/426.116/2020,13-05-2020,Lihat SK Operasional,2023-01-27 10,,"1,600",1. -,2. Telkom Speedy,PLN,,,pkbmnurulfalah9@gmail.com,,-7.711000000000,113.476000000000,0,0,0,7,Sore/6 hari,,2022/2023-2,0,8,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Paket A, Paket B,  dan Paket C",2013,Tidak Ada
