prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E1AB3054-091A-454E-8734-CE695813EACD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997848,LKP ADELIA,K9997848,Jl.Rakutta Sembiring No.150 Pematangsiantar,SIGULANG GULANG,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,02,22-12-2021,503/1/IPYS-PNF/DPMPTSP/II/2022,04-02-2022,Lihat SK Operasional,2022-02-24 09,,0,,2.,,,,lkpadelia2022@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51827E2A-C24A-4C66-8E45-38E4802CC3E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998390,LKP BANE DIMENSI,K9998390,Jl.SM.Raja No.482,BANE,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503/11/IPS-PNF/DPMPTSP/XII/2022,21-12-2022,503/11/IPYS-PNF/DPMPTSP/XII/2022,21-12-2022,Lihat SK Operasional,2022-12-30 07,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C53B6E3F-8F91-4CD3-9E3B-CE39B6925583,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9996880,LKP Bintang Putih,K9996880,Jl.Sekata No.15,SUKA DAME,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,28,17-11-2020,503/560/PK-DPMPTSP/XII/2020,23-12-2020,Lihat SK Operasional,2021-01-06 13,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AE7FE763-381C-48B1-85BC-F39C2E59884E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997064,LKP DEWELL,K9997064,Jl.Sekata No.14 C,SUKA DAME,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,3,14-01-2021,503/50/PK-DPMPTSP/II/2021,09-02-2021,Lihat SK Operasional,2021-03-08 11,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E970A35E-D99E-4C58-A3D1-0F378AEF9D28,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990346,LKP FELICIA SALON,K9990346,Jl.Bah Biak Kiri No.45,SIGULANG GULANG,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503/9/IPS-PNF/DPMPTSP/III/2020,11-03-2020,503/9/IPYS-PNF/DPMPTSP/III/2020,11-03-2020,Lihat SK Operasional,2020-05-18 16,,90,,2.,,,,lkpfeliciasalon@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E02B85A-6F3E-4A2A-940C-4B854CEC873E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668380,LKP INATTA,K5668380,JL.K.S.TUBUN NO.01,SUKA DAME,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,05,05-10-2017,421.9/3074/PNFK/2017,18-10-2017,Lihat SK Operasional,2017-11-17 11,,80,,2.,,,,lkpinatta01@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0B910202-65A3-4AE0-A609-6BC180524696,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998272,LKP KASIH,K9998272,Jl.T.B Simatupang No.156,KAHEAN,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,21,30-03-2017,421.9/2835 PNFK/IX/2022,26-09-2022,Lihat SK Operasional,2022-09-29 06,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E67E4FF4-A194-408E-910B-8BE7F6E6669E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9996879,LKP KITING,K9996879,Jl.Sekata No.14,SUKA DAME,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,27,17-11-2020,503/555/PK-DPMPTSP/XII/2020,22-12-2020,Lihat SK Operasional,2021-01-06 13,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D376A80B-9D6D-40D9-BBB9-0B36EE5DE88D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998166,LKP MARIA RUMAH MODE,K9998166,Jl.Musyawarah No.50 Pematangsiantar,SUKA DAME,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503/3/IPS-PNF/DPMPTSP/VII/2022,13-07-2022,503/3/IPYS-PNF/DPMPTSP/II/2022,13-07-2022,Lihat SK Operasional,2022-07-26 09,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56963761-5E42-4FB2-9591-9658A4423435,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665724,LKP Pradana Salon,K5665724,Jl. SM Raja No. 269,BANE,KEC. SIANTAR UTARA,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,05,17-09-2015,421.9/4357/PNF/2015,25-09-2015,Lihat SK Operasional,2017-05-03 09,Tidak Terakreditasi,120,,2.,,,,lkppradana@yahoo.co.id,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
