prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69F995CF-9EF0-4AE8-9D08-420B8184F565,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5661553,LKP ALIA,K5661553,Jl. Semeru No. 29 Gg. Buntu RT. 03 RW. 10,SISIR,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,01,01-05-2007,421.9/6536/422.101/2015,02-10-2015,Silakan Upload SK,,,250,,2.,,,0341591334,lkpaliakotabatu@yahoo.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8844923C-04F3-4FE8-A5C9-ECA32A0B1CF5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5661559,LKP ANNISA,K5661559,Jl. RIDWAN No. 14,NGAGLIK,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,15,18-04-2007,421.9/1722/422.101/2016,22-03-2016,Silakan Upload SK,,,600,,2.,,0341595895,0341595895,annisalkp@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,KBK Kesehatan,
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7857C6C3-ABF8-4F6E-85DE-0568A362F1BE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668231,LKP d Chef,K5668231,Jalan Sai No. 2 Sisir Kota Batu,SISIR,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,422.9/001/422.105/LKP/2017,14-03-2017,422.9/001/422.105/LKP/2017,14-03-2017,Lihat SK Operasional,2017-10-12 22,,0,,2.,,,,dchef.centre@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,KBK Pariwisata,
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5F730BFB-A856-47BE-AD1B-273631A8E671,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998612,LKP Kharisma Syafalina Mandiri,K9998612,Jl. Suropati No. 116 RT 03 RW 11 Kel. Ngaglik Kec. Batu Kota Batu,NGAGLIK,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,AHU-0003093.AH.01.07.Tahun2022,01-04-2022,503/001/422.105/LKP/2023,06-01-2023,Lihat SK Operasional,2023-04-13 14,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/67E45C4B-67AF-4C24-8880-D381C104E32F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5661554,LKP RIO,K5661554,Jl. IKHWAN HADI GG. XV/128 RT. 06 RW. 08,NGAGLIK,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,06,21-04-2007,421.9/1723/422.101/2016,22-03-2016,Silakan Upload SK,,Terakreditasi,200,,2.,,03415025650,03415025650,mysalonrio@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,KBK Kesehatan,
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4DF40AEE-979D-4D21-AB9C-ADFDC083812E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69930218,Paket PP Badi`atul Huda,69930218,Jl. Terusan Agus Salim,TEMAS,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2E32A598-C4B2-4581-8BB1-31D2D5FDC8D7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2966732,PKBM Tunas Harapan,P2966732,JL. GONDOREJO NO.10 RT. 2 RW.12,ORO-ORO OMBO,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/3206/422.201/2013,01-07-2013,421.9/3206/422.201/2013,01-07-2013,Silakan Upload SK,,B,242,1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,,,tunasharapanpkbm3@gmail.com,,-7.891300000000,112.541600000000,4,0,0,8,Sore/6 hari,,2022/2023-2,"1,300",3,0,1,1,0,0,11,0,3,0,1,0,2,2,0,2,2,1,0,1,0,1,0,1,2,2,2013,Lainnya (Serat Optik)
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D07B3DCB-6865-4B75-AFB8-18A8383CB33B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69930217,PPS Manba`ul Ulum,69930217,Jl. Mawar Merah No. 24,SIDOMULYO,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,,,216/KW.13.3.2/PP.00.8/1/2019,09-01-2019,216/KW.13.3.2/PP.00.8/1/2019,09-01-2019,Lihat SK Operasional,2020-01-13 08,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B81589FC-F650-47E3-9BD3-E8B090660381,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69930158,PPS PP Badi`atul Huda,69930158,Jl. Terusan Agus Salim,TEMAS,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kota Batu,Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FABC0C05-000A-420D-925F-8189D3127188,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69930157,PPS PP Manba`ul Ulum,69930157,Jl. Mawar Merah 124,SIDOMULYO,KEC. BATU,KOTA BATU,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,01/PKPPS/XI/2005,15-06-2005,01/PKPPS/XI/2019,11-11-2019,Lihat SK Operasional,2021-06-04 08,B,0,,2.,,,,,,.000000000000,.000000000000,0,54,46,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
