prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FBE46614-7CF1-4336-9AE6-511F615DBCBF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997917,PKBM ADZIKRI NURUL QOLBI,P9997917,Kp. Mekarbakti RT. 14 RW. 05,CIMASKARA,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Islam Adzikri,AL2332,421.9/1453a/OAUDNI-K/KAB/2021,30-12-2021,421.9/1453a/OAUDNI-K/KAB/2021,30-12-2021,Lihat SK Operasional,2022-10-21 08,,"2,000",1. Indosat IM3,2. Telkomsel Flash,PLN,,,pkbmadzikrinq@gmail.com,,.000000000000,.000000000000,2,0,0,3,2013,Sehari Penuh/3 hari,,2022/2023-2,Indosat IM3,900,1,0,0,0,0,0,1,1,2,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,1,1
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DFD68244-F4D5-40EA-B267-CED0C8AF6DA8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997271,PKBM AL-MUHTAR,P9997271,Kp. Bihbul,WARGALUYU,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/209/PAUDNI-K/KAB/2021,12-03-2021,421.9/209/PAUDNI-K/KAB/2021,12-03-2021,Lihat SK Operasional,2021-03-30 12,,650,1. Indosat IM3,2. Indosat IM3,PLN,,,pkbmalmuhtar089@gmail.com,,-.000400000000,-.003400000000,6,0,0,4,2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,800,3,0,0,0,0,0,7,0,6,0,0,0,0,6,0,3,3,4,1,1,0,0,0,0,3,3
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7049F1E5-9695-4DDB-9CF0-3F8D16C7411B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998398,PKBM AL-ZAM,P9998398,Kp. Cicurug,PAMOYANAN,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,021/S.Ket/YABA.TKMF/V/2022,15-05-2022,421.9/246/PAUDNI/KAB/2022,16-03-2022,Lihat SK Operasional,2022-08-10 14,,"1,200",,2.,,,,,,.000000000000,.000000000000,2,0,0,0,Paket C IPS 2013,,,2022/2023-2,,,0,0,0,0,1,0,5,0,1,0,0,1,0,2,0,1,1,0,0,1,0,0,0,1,1,1
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D88BBFB-5A43-4E32-A3E7-DA0BECD3BAE3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998397,PKBM AS-SIROJ,P9998397,Kp. Sukamanah,CIBURIAL,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,005/S.Ket/YABAH.ASRJ/2021,20-01-2022,421.9/118/PAUDNI/KAB/2022,14-02-2022,Lihat SK Operasional,2022-08-10 14,,"1,200",1. -,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,3,0,0,2,2013,Siang/6 hari,,2022/2023-2,Tidak Ada,900,2,0,0,0,0,0,3,1,3,0,0,0,0,3,0,1,2,1,0,1,0,1,0,0,2,1
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1E0292E2-E859-421D-B78D-BC9CB6FF88CD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9970063,PKBM AURORA 2,P9970063,Jl. Raya Pamoyanan Rt/Rw 001/006,PAMOYANAN,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan REFERENCIA AURORA,AD3535,420/11/IX/2016,07-06-2016,420/1285/PAUDNI-K/KAB/2017,10-10-2017,Lihat SK Operasional,2017-12-29 15,C,100,1. Telkomsel Flash,2. Indosat IM3,PLN,,,,,-7.355156500000,107.124628000000,6,0,0,6,Paket C IPS 2013,Sehari Penuh/3 hari,,2022/2023-2,Telkomsel Flash,450,2,0,0,0,0,0,1,6,6,0,0,0,0,6,0,2,4,0,2,4,0,0,0,0,2,4
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/63862FD2-E5D0-4C7F-9414-0B0DF3F15D8F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997407,PKBM BANGKIT MUNGGARAN,P9997407,Kp. Sadarmanah,PANYINDANGAN,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/1334b/PAUDNI-K/KAB/2020,30-09-2020,421.9/1334b/PAUDNI-K/KAB/2020,30-09-2020,Lihat SK Operasional,2021-05-29 14,,"5,000",1. Telkom Speedy,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,2,0,0,4,Paket C IPS 2013,Siang/6 hari,,2022/2023-2,Telkom Speedy,900,4,0,0,0,0,0,3,1,2,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,1,1
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/603C0FEC-154F-4156-80D6-A793677CA08E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9908720,PKBM BINA INSAN MULIA,P9908720,Kp. KEDUNG RT/RW 001/006,PANYINDANGAN,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan BINA INSAN MULIA,AL2334,07/SK.KEC/III/2015,23-03-2015,421.9/1092.a/PAUDNI-K/KAB/2017,19-07-2017,Lihat SK Operasional,2017-11-29 07,,0,1. -,2. Telkomsel Flash,PLN,,,pkbmbinainsanmulia2015@gmail.com,,-7.179400000000,107.050200000000,14,0,0,8,Paket C IPS 2013,Siang/6 hari,,2022/2023-2,Tidak Ada,900,3,0,0,0,0,1,12,6,14,0,0,0,0,14,0,7,7,5,3,3,1,1,1,0,9,5
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D15BB9E-6E7B-41F7-BFD9-610EC7DD614F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2965496,PKBM BINA REMAJA,P2965496,KP SUKAJADI.,SUKAJADI,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PKBM BINA REMAJA,AL2351,13/SK/IX/2004,02-01-2004,421.9/385/PAUDNI-K/KAB/2021,09-04-2021,Lihat SK Operasional,2022-10-28 18,Tidak Terakreditasi,96,1. -,2. Telkomsel Flash,PLN,,,binaremajacibinong@gmail.com,,-7.304900000000,107.126100000000,14,0,0,9,Paket C IPS 2013,Sehari Penuh/3 hari,,2022/2023-2,Tidak Ada,900,2,0,1,2,0,0,3,3,14,0,0,0,1,13,0,3,11,2,2,4,4,0,0,2,9,5
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5680FC1D-893C-48C5-AAFA-8D087B2F7E05,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2962910,PKBM CERDAS INSANI,P2962910,Jl. Raya Cibinong KM. 92 Kp. Tangsi Rt/Rw 14/04,SUKAJADI,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,01/SK/KEC/2016,04-01-2016,420/2192/PAUDNI PO/KAB/2015,28-12-2015,Lihat SK Operasional,2016-10-24 14,C,500,1. Indosat Mentari,2. Indosat IM3,PLN,,,pkbmcerdasinsani83@gmail.com,,-7.318800000000,107.128400000000,8,0,0,3,Paket C IPS 2013,Sore/6 hari,,2022/2023-2,Indosat Mentari,900,0,0,0,0,0,0,3,6,8,0,0,0,0,8,0,5,3,0,4,2,1,0,1,0,5,3
Jawa Barat,Kab. Cianjur,Cibinong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A9ACDF20-4E5E-497F-8432-E50ED2DFC96D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998168,PKBM DARUL HIKMAH,P9998168,KP. Cinangkerok Rt. 001 Rw. 003,BATULAWANG,KEC. CIBINONG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,02/EP-AN/KAB/2022,02-02-2022,421.9/ 176 /PAUDNI/KAB/2022,07-02-2022,Lihat SK Operasional,2022-05-23 12,,500,1. Telkom Speedy,2. Indosat IM3,PLN,,,pkbmdarulhikmah350@gmail.com,,-7.369600000000,107.142600000000,5,0,0,2,2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"1,200",2,0,0,0,0,0,5,1,5,0,0,0,0,5,0,1,4,3,0,0,0,1,0,1,4,1
