prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/542EB7F2-068C-4034-9E7B-5DF912A5CF87,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69958369,Al Munawir,69958369,"Cikopo ,Ds Cipangramatan",CIPANGRAMATAN,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,06/Sk-Yac/OR-01/2011,23-05-2011,D/Kw.10/MA/0049/2012,02-10-2012,Lihat SK Operasional,2020-01-24 13,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/35469D4E-57C1-4A73-A4C3-8061EDDF6650,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5653006,LKP British Course,K5653006,Jl. Raya Cikajang No. 212 Garut-Jawa Barat,MEKARSARI,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.10/2678-DISDIK,23-05-2016,421.1/2678-DISDIK,23-05-2016,Lihat SK Operasional,2016-10-28 09,,50,,2.,,,,lkpbritishcourse6@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8238A3D9-F83F-4A61-98AF-A13E9F591641,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652992,LKP Madani Komputer,K5652992,Jl. Ngamplang RT.01 RW.01,CIBODAS,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan BINA INSAN MADANI GARUT,AD4207,01,03-06-2013,421.1/3385-disdik,03-08-2016,Lihat SK Operasional,2020-11-02 12,C,280,,2.,,,,lkpmadanigarut@gmail.com,,-7.367300000000,107.812500000000,0,0,0,5,,,2022/2023-2,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KKNI Level 1, KKNI Level 2,  dan KKNI Level 3",KBK Teknologi Informasi dan Komunikasi,
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CEF52AC1-BFA2-4557-97D3-E007355FC6F8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5653054,LKP Nur Salam,K5653054,Jl. Cikandang No.99 Desa Kolot 01/08 Cikandang Cikajang,CIKANDANG,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,18-05-2017,,18-05-2017,Silakan Upload SK,,,0,,2.,,,,irmawan_bd@ymail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E266670C-7938-41AE-8AE5-788CC3081F91,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5653007,LKP Uswatun Hasanah,K5653007,Ngamplang Rt 02 Rw 02 Ds Cibodas Kec. Cikajang Kab.Garut 44171,CIBODAS,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/241-Disdik 2006,19-04-2006,421.9/3601-Disdik 2013,31-10-2013,Lihat SK Operasional,2016-10-24 13,,250,,2.,,,,sopariyahevi@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E1A2163F-76A3-43D4-B54C-5B8C0BFCF432,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997853,PKBM AL INAYAH,P9997853,Kp. Negla RT 01 RW 07,PADASUKA,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,800/1307-Disdik,23-09-2021,800/1307-Disdik,23-09-2021,Lihat SK Operasional,2021-12-09 01,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DE39C1EB-DB6B-469C-8B09-F67A815156C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997880,PKBM DIVA INTAN NUSANTARA,P9997880,Kp. Pengkolan RT 01 RW 12,MARGAMULYA,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,800/1306-Disdik,22-09-2021,800/1306-Disdik,22-09-2021,Lihat SK Operasional,2021-12-24 12,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA9523C9-F61B-4702-8DC9-F58E668C30B0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998103,PKBM LESTARI BUDIMAN,P9998103,Kp. Ciharus Rt. 03 Rw. 04,GIRIJAYA,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,13/SK-P/YBF/VII/2020,01-07-2020,800/2235-Disdik,08-12-2020,Lihat SK Operasional,2022-04-14 04,,400,1. Telkom Speedy,2. Telkom Speedy,PLN,,,,,.000000000000,.000000000000,0,0,0,2,Sehari Penuh/6 hari,,2022/2023-2,900,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paket C,Paket C IPA 2013,Telkom Speedy
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/24F1D27F-8A06-4036-A787-C90244EB192F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997172,PKBM MEKARSARI,P9997172,Kp. Leles,MEKARSARI,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,800/2236-Disdik,08-12-2020,800/2236-Disdik,08-12-2020,Lihat SK Operasional,2021-02-18 17,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Barat,Kab. Garut,Cikajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/04DAA74E-E699-4CE7-996E-49C6EC88270F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997208,PKBM NIRA UTAMA NUSANTARA,P9997208,Kp. Seureuh Jawa RT 05 RW 04,KARAMATWANGI,KEC. CIKAJANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN NIRA UTAMA NUSANTARA,AX0105,800/263-Disdik,24-02-2021,800/263-Disdik,24-02-2021,Lihat SK Operasional,2021-03-02 04,,0,1. Indosat IM3,2. Telkomsel Flash,PLN,,,pkbmnirautamanusantara@gmail.com,http,-7.462300000000,107.834800000000,4,0,0,6,Sehari Penuh/6 hari,,2022/2023-2,"2,300",3,0,0,2,0,0,8,0,4,0,0,0,0,4,0,2,2,2,1,0,0,1,0,0,3,1,Paket B dan Paket C,Paket C IPS 2013,Indosat IM3
