prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0719772E-BC07-49C4-8F76-DE5566647CF5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9989777,LKP MAJESTY COLLEGE,K9989777,Jl. Halim Perdana Kusuma Perum Griya Utama No. 2,BURNEH,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.1/1566/433.107/2016,10-05-2016,421.1/1566/433.107/2016,10-05-2016,Lihat SK Operasional,2020-01-31 13,,250,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,KBK Bahasa,,,2022/2023-2,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4A98FF6-C7A0-48DB-84CF-661265B7AAD0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998236,LKP. ENGLISH QUICK COURSE,K9998236,Jl. Taman Siswa 01-02 Langkap,LANGKAP,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/003/433.114/VIII/2022,04-08-2022,421.9/003/433.114/VIII/2022,04-08-2022,Lihat SK Operasional,2022-09-08 09,,"1,200",,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2DEB024E-724E-4311-BEF6-EB31E634DD0A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69973203,PDF Ulya Al-Kholiliyah Al-Aziziyah Bangkalan Jawa Timur,69973203,Jl. Canti'an,BENANGKAH,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,Nomor 6395 Tahun 2017,17-11-2017,Nomor 6395 Tahun 2017,17-11-2017,Silakan Upload SK (link file tidak valid) => [-],2018-02-20 14,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2AA8E7AD-D40D-44B4-8C58-BD87C6921C88,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951629,PPS Al-Chairuddin,69951629,Jl. Pertanian Trogan,AROK,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,1256,31-12-2019,1256,31-12-2019,Lihat SK Operasional,2022-06-09 11,,0,,2.,,,,,,.000000000000,.000000000000,0,57,21,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/81FCDDCA-30AE-4630-8101-37867A3C9123,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951628,PPS Al-Kholiliyah Al-Aziziyah,69951628,Jl. Canti an Ds. Banangkah,LANGKAP,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5F67EAD7-A4D5-42C7-8660-F11FDD043A70,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951631,PPS Asshomadiyah,69951631,JL. KH. MAKKY SYARBINI NO. 107,ALAS KEMBANG,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8DD019BB-3329-4797-9BCE-CE335CB7F16A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951664,PPS Darul Mustofa,69951664,Jl. KH. Moch. Cholil No. 1 Tunjung Burneh,TONJUNG,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,,,1281,31-12-2019,1281,31-12-2019,Lihat SK Operasional,2022-06-09 12,B,0,,2.,,,,,,.000000000000,.000000000000,0,101,63,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B39613D4-463A-4FFF-A96A-6E0BEAC37E56,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931282,PPS. AL CHAIRUDDIN,69931282,Trogan Arok,TONJUNG,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5CF9F283-5D0C-4A2A-91F6-4737F36F2220,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931280,PPS. AL KHOLILIYAH AL AZIZIYAH,69931280,Canti`an Banangkah,BENANGKAH,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,1257,31-12-2019,1257,31-12-2019,Lihat SK Operasional,2022-06-09 12,,0,,2.,,,,,,.000000000000,.000000000000,0,102,213,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Burneh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AEEA109F-2381-4196-AC87-6559CFC4BC27,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931278,PPS. AS SHOMADIYAH,69931278,Jl. Langgar Raya,LANGKAP,KEC. BURNEH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
