prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E6B10687-4588-4866-A939-403322322D98,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9989773,LEMBAGA PENDIDIKAN SAHABAT CENDIKIA SIGLI,K9989773,GP. LAMPEUDEUE BAROH,LAMPEUDEU BAROH,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/251/2019,22-01-2019,421.9/251/2019,22-01-2019,Lihat SK Operasional,2019-10-08 07,,0,,2.,,,,scs.go4study@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BB689328-E71A-4BAB-8E4C-6BF6168AE879,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997413,LKP AZHARA,K9997413,Gampong Keunire,KEUNIREE,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/280/2021,18-01-2021,421.9/280/2021,18-01-2021,Lihat SK Operasional,2021-10-15 13,,400,,2.,,,,,,5.374600000000,95.952800000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Pariwisata
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6510A886-C592-499F-8758-1731E06C73F1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668257,LKP EDUCATION LEARNING CENTER (ELC),K5668257,Jl. Lingkar - Keuniree,COT TEUNGOH,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/4881/2015,28-12-2015,421.9/4881/2015,28-12-2015,Lihat SK Operasional,2017-10-18 13,C,0,,2.,,,,lkpelc@gmail.com,lkpelc.wordpress.com/,.000000000000,.000000000000,6,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,28,0,6,0,0,0,0,6,0,0,6,5,1,0,0,0,0,0,0,6,KBK Teknologi Informasi dan Komunikasi
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2EA7AAC4-613B-4D1F-81D9-1FAEF881A638,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5658177,LKP Fira Komputer,K5658177,"Jl. Teubeng No.6 Tijue Sigli Pidie, Aceh 24151",PAYA,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421/0319/2018,25-01-2018,421/0319/2018,25-01-2018,Lihat SK Operasional,2019-08-23 10,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/78E0151E-76B0-420C-8FC9-57829FC81FA8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669059,LKP MEKAR,K5669059,"Jalan Medan-Banda Aceh, gampong Cot Glumpang",COT GEULUMPANG,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421/0939/2018,26-03-2018,421/0939/2018,26-03-2018,Lihat SK Operasional,2018-04-16 21,,0,,2.,,,,lkp_mekar@yahoo.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A4FC9905-D2E1-44C1-97EC-82D5E311FDC2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997508,LKP MENTARI,K9997508,jalan Banda Aceh Medan desa Cot Glumpang Kec. Pidie Kab. Pidie,COT GEULUMPANG,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/5995/2021,09-07-2021,421.9/5995/2021,09-07-2021,Lihat SK Operasional,2021-10-12 00,,0,,2.,,082274389870,,lkpmentari75@gmail.com,,5.381300000000,95.918700000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,KBK Pariwisata
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3376B7D-0EB6-4091-A8E7-30D86D6A7007,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997812,LKP NATHASYA,K9997812,Desa Tijue,TIJUE,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/288/2022,28-01-2022,421.9/288/2022,28-01-2022,Lihat SK Operasional,2022-02-09 16,,400,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DC7A5DA3-1E81-4EA3-9C1C-78A9BDDF0CBE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997265,PKBM BINA MEKAR MANDIRI,P9997265,Gampong Cot Glumpang Kab. PIdie,COT GEULUMPANG,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/1245/2021,09-03-2021,421.9/1245/2021,09-03-2021,Lihat SK Operasional,2021-03-24 22,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/61499EAB-6490-4A26-AADB-9859399AADCA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997346,PKBM KEUMANG JAYA,P9997346,Jl. Cot Teungoh No. 165 Gampong Cot Teungoh,COT TEUNGOH,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/1498/2021,31-03-2021,421.9/1498/2021,31-03-2021,Lihat SK Operasional,2021-04-21 16,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aceh,Kab. Pidie,Pidie,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6FCC311C-F35A-4B5D-BC0D-D3E314EF8B37,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996650,PKBM NASYWAH MEUSANEUT,P9996650,Gampong Keuniree,KEUNIREE,KEC. PIDIE,KAB. PIDIE,PROV. ACEH,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.1/708/2020,20-07-2020,421.1/708/2020,20-07-2020,Lihat SK Operasional,2020-08-26 18,,0,,2.,,,,,,5.350774400000,95.939484900000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
