prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0AF930E1-49F3-4001-8725-FEACC0E616DE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937187,PAKET PP. AR RUHAMA`,69937187,JL. PASAR SABE BERRU,LARANGAN PERENG,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-7.094011300000,113.704416500000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/34109BA4-3DB3-47A8-BC97-1EA296246CAF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937188,PAKET PP. BUSTANUL ULUM,69937188,DS. PAKAMBAN DAYA,PAKAMBAN DAYA,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-7.099103500000,113.686235500000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/941C8E82-3D2B-4285-9A1D-46CE4E319E27,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998063,PKBM ESA INSTITUTE,P9998063,KARDULUK,KARDULUK,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421/98.669/435.101.2/2021,20-12-2021,421/98.669/435.101.2/2021,20-12-2021,Lihat SK Operasional,2022-03-23 06,,10,,2.,,,,,,-7.108000000000,113.698500000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Kursus Pariwisata,
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06092A2E-DEA0-4F00-8F97-A1A4E5613C55,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964761,PKBM NASYATUN NAJAH,P2964761,MASJID AT-TAQWA BLAJUD KARDULUK,KARDULUK,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,01-01-1900,,,Silakan Upload SK,,,0,,2.,,,,nasyatunnajahpkbm@gmail.com,,-7.100200000000,113.677700000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2013,
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B7950F34-79B8-4A54-A30F-416CA364B4E6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964763,PKBM NURUL JALI,P2964763,,PAKAMBAN DAYA,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,188.360.7/SK/Disdik/II/2011,14-02-2011,188/30.44/435.101.02/sk/I/2017,17-01-2017,Lihat SK Operasional,2019-12-13 11,,0,1. Lainnya (Wavelan),2. Lainnya (Wavelan),PLN,,,pkbm.nuruljali@gmail.com,,-7.100200000000,113.677700000000,1,0,0,8,Sehari Penuh/3 hari,,2022/2023-2,900,9,0,0,2,0,0,5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,"Paket A, Paket B,  dan Paket C",2013,Lainnya (Wavelan)
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BFCBDD5C-0F98-4EAA-A655-7F8F8D082934,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996681,PKBM PUTRA BANGSA SUMENEP,P9996681,JALAN PASAR SABE NO.99,KARDULUK,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,AHU-0002391.AH.01.07.Tahun 2020,19-03-2020,0220309851209,10-08-2020,Lihat SK Operasional,2020-09-01 16,,"4,624",1. Telkomsel Flash,2. Lainnya (Kabel),PLN,,,,,-7.077313000000,113.654138500000,6,0,0,9,Siang/6 hari,,2022/2023-2,90,9,0,0,1,0,0,8,0,6,0,0,0,0,6,0,4,2,2,2,0,2,0,0,0,2,4,"Paket A, Paket B,  dan Paket C",2013,Telkomsel Flash
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3D08F56-1946-4D2B-9D18-9DD3999DA868,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9945649,PKBM RAUDLATUR RAHMAH,P9945649,DESA PRAGAAN DAYA,PRAGAAN DAYA,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,188.360.8/SK/Disdik/II/20,22-02-2011,188/63/SK/Disdik/I/2014,30-01-2014,Silakan Upload SK (link file tidak valid) => [349838-488063--],2020-08-28 15,,"60,000",1. -,2. -,PLN,,,pkbmraudlaturrahmah@gmail.com,,-7.100200000000,113.677700000000,7,0,0,8,Sore/6 hari,,2022/2023-2,900,9,0,0,1,0,0,9,0,7,0,0,0,0,7,0,6,1,0,1,2,3,1,0,0,7,0,"Paket A, Paket B,  dan Paket C",2013,Tidak Ada
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F85209B-78FE-45CF-90F5-8B777146A9A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964760,PKBM SUKA MAJU,P2964760,,PRENDUAN,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,munirsukamaju@yahoo.com,,-7.100200000000,113.677700000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A95F235E-9F73-47D7-9DFF-54F27C438DBE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951715,PPS Al-Faariqi,69951715,Nongmalang N0.35 Aengpanas,LARANGAN PERENG,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-7.095949300000,113.684816200000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sumenep,Pragaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/53132852-5352-4F5A-B23D-2AD4A75798FE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951698,PPS Ar-Ruhama,69951698,JLN. PASAR SABE BERRU KARDULUK PRAGAAN SUMENEP,KADUARA TIMUR,KEC. PRAGAAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,0004/Kk.13.23/3/PP.00.7/10/2019,16-10-2019,0004/Kk.13.23/3/PP.00.7/10/2019,16-10-2019,Lihat SK Operasional,2022-05-25 09,,0,,2.,,,,,,-7.094022000000,113.704448600000,0,98,86,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
