prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EAC068C7-EE2A-4E7B-B3D5-A8CBCA69FCD9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69990478,Al-Hidayah,69990478,Jl. Raya Hasyim Ashari Km.I,PONDOK JAYA,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,23/KW.28.03.03/PP.01.1/0,24-05-2019,23/KW.28.03.03/PP.01.1/0,24-05-2019,Silakan Upload SK (link file tidak valid) => [397220-105167541-460517838.PDF],2019-09-10 14,,100,,2.,,,,,,.000000000000,.000000000000,0,166,55,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/200B63C2-4EEE-4AB5-B09C-5312B63F2882,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9980868,LKP AZ ZAHRA SEPATAN,K9980868,Jl. Raya Pakuhaji Km.11 Pisangan Sentra Desa Sarakan,SARAKAN,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN WAGIMIN CENTRE,AG1553,No.AHU-0045434.AH.01.04.Tahun 2016,05-12-2016,421.9/Kep.548-Disdik,15-10-2018,Lihat SK Operasional,2018-12-01 19,,"1,800",,2.,,,,revolusion_dedipranata@yahoo.com,,-6.106280000000,106.586140000000,0,0,0,1,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KKNI Level 3,KBK Teknologi Informasi dan Komunikasi,
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EE5DBBA5-51E5-4845-8A29-C7C8C46F040B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990127,LKP CAHAYA PRESTASI,K9990127,JL. RAYA MAUK KM.12 RUKO PERUM SEPATAN RESIDENCE BLOK A NO.16,PISANGAN JAYA,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,NOMOR AHU-11289.50.10.2014,29-12-2014,Nomor,08-01-2020,Lihat SK Operasional,2020-02-14 07,,88,,2.,,,,zulcapres88@gmail.com,,.000000000000,.000000000000,0,0,0,3,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KKNI Level 1 dan KKNI Level 3,KBK Teknologi Informasi dan Komunikasi,
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/17F4D8C5-62E5-43F0-B0A7-9BF481CFCA40,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997851,LKP MAJ TRAINING CENTER,K9997851,KP. GURUDUG RT.004/001,MEKAR JAYA,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,AHU-000318.AH.01.12.TAHUN 2022,05-01-2022,421.5/366-Disdik,28-01-2022,Lihat SK Operasional,2022-02-24 12,,315,1. Telkom Speedy,2. XL (GSM),PLN,,02159376518,majtrainingcenter22@gmail.com,mekaranugerahjaya.org,.000000000000,.000000000000,0,0,0,0,Sehari Penuh/6 hari,,2022/2023-2,"1,300",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Teknologi Informasi dan Komunikasi,Telkom Speedy
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/19A9D2A0-D61D-4140-AF1B-275A02E02511,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2965946,PKBM ASSAFARWADI,P2965946,JL. RAYA PAKUHAJI KM.03,KAYU AGUNG,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Hasan Bulqiyah Assafarwadi,AG1536,421..10/347/dISPENDIK/2010,05-05-2010,421.9/185-Disdik,28-05-2018,Lihat SK Operasional,2020-08-28 15,C,"80,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,educationsafarwadicomunity@gmail.com,http,-6.120300000000,106.591600000000,2,0,0,8,Sehari Penuh/3 hari,,2022/2023-2,"1,300",8,0,0,0,0,0,12,1,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,Paket B dan Paket C,2013,Telkomsel Flash
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9ECB85E2-AC75-420D-8A41-B401F81A738C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2962041,PKBM DIAN HARAPAN,P2962041,Kp. Cadas RT.07 RW.01 Karet Sepatan Kabupaten Tangerang,SEPATAN,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,147.134/241/Dis P dan K/2008,07-04-2008,421.9/209-Disdik,08-10-2018,Lihat SK Operasional,2022-12-22 14,Tidak Terakreditasi,700,1. Smartfren,2. Telkomsel Flash,PLN,,,pkbmdianharapan@gmail.com,http,-6.146600000000,106.586000000000,2,0,0,5,Siang/6 hari,,2022/2023-2,"2,200",2,0,0,2,2,0,2,0,0,1,1,0,1,1,0,2,0,0,0,1,0,0,0,1,2,0,Paket B dan Paket C,2013,Smartfren
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B43F5BCC-2991-4BC4-BC32-B75B6EA7346A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2965854,PKBM PELANGI,P2965854,Gardenia Sepatan Blok A No. 38-40 Kec. Sepatan Kab. Tangerang,PISANGAN JAYA,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PELANGI PUJA KESUMA NUSANTARA,AG1545,25,28-11-2008,421.9/202-Disdik,28-05-2018,Lihat SK Operasional,2023-01-19 13,B,324,1. -,2. Telkom Speedy,PLN,,,pkbmpelangisepatan@yahoo.com,,-6.109100000000,106.584300000000,10,0,0,7,Sehari Penuh/3 hari,,2022/2023-2,"3,500",9,0,0,0,0,0,14,0,10,0,0,0,0,10,0,7,3,3,3,1,0,1,1,1,6,4,"Paket A, Paket B,  dan Paket C",2013,Tidak Ada
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D2C8D6C-EDD8-48D0-BC57-1A958D739614,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997968,PKBM TUNAS MUDA UNGGUL,P9997968,JL. Ahmad Yani Kp. Sarakan RT. 01/08 Ds. Pisangan Jaya Kecamatan Sepatan Kabupat,PISANGAN JAYA,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan TUNAS MUDA UNGGUL,AG1532,10,27-08-2015,421.9/343-Disdik,25-01-2022,Lihat SK Operasional,2022-02-09 12,,800,,2.,,,,,,.000000000000,.000000000000,1,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,,2013,
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F7141F43-41A3-4D61-8DEB-4B4D878EE27C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997909,PKBM UNTUKMU NEGERI,P9997909,Jl. Desa Lingkar Mekar Jaya Kp. Gurudug RT. 04/01,MEKAR JAYA,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1,02-09-2021,421.9/4914-Disdik,07-12-2021,Lihat SK Operasional,2022-01-07 14,,0,1. -,2. Telkom Speedy,PLN,021593376518,021593376518,pkbmuntukmunegeri@gmail.com,http,.000000000000,.000000000000,4,0,0,2,Sehari Penuh/5 hari,,2022/2023-2,"2,000",2,0,0,0,0,0,5,0,4,0,0,0,0,4,0,4,0,3,1,0,0,0,0,0,3,1,Paket B dan Paket C,2013,Tidak Ada
Banten,Kab. Tangerang,Sepatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/347E3DF6-3274-410B-A936-51DB0D09F8EF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69990481,PP Arrahman,69990481,Jl. Raya Mauk Km 12 Kp. Kosambi,PISANGAN JAYA,KEC. SEPATAN,KAB. TANGERANG,PROV. BANTEN,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,015/KW.28.03.03/PP.01.1/,15-05-2019,015/KW.28.03.03/PP.01.1/,15-05-2019,Lihat SK Operasional,2019-09-10 14,,100,,2.,,,,,,.000000000000,.000000000000,0,61,28,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
