prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CFD51865-6114-496D-88F6-7AA7BF7F299B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9989643,"LBB BETA (BE SMART, EDUCATED AND ACTIVE)",K9989643,Jalan Awikoen Madya No. 5 rt. 006 rw. 002,GENDING,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503.2.20/05/437.74/2019,07-08-2019,503.2.20/05/437.74/2019,07-08-2019,Lihat SK Operasional,2019-08-23 15,,403,,2.,,,,lbbbeta@gmail.com,lbb-beta.com,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/494E154A-BC1F-4D85-84E2-807EDA0FA77D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5653296,Lembaga Pembelajaran dan Terapi ABK Pasha,K5653296,Jl. Proklamasi No 57,SIDOMORO,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503.06/10/437.74/2016,02-11-2016,503.06/10/437.74/2016,02-11-2016,Lihat SK Operasional,2017-12-08 13,,0,,2.,,,0313975814,pashaabkcenter@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E2F36079-1B8F-4350-9800-BF7C0F2836D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668217,LKP EF ENGLISH FIRST,K5668217,Jl RA Kartini No. 07 Blok C 5 -6,KEBOMAS,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/1359/437.53/2015,08-09-2015,421.9/1359/437.53/2015,08-09-2015,Lihat SK Operasional,2017-10-09 22,A,200,,2.,,,0315484000,gresik@edukagroup.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EFCF05F1-494C-48C4-B96E-70798A5C594D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5667983,LKP LBB ASME (ARSENTO SARANA MEDIA EDUKASI),K5667983,Jl. Panglima Sudirman No. 181 C,SIDOMORO,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/887/437.53/2015,19-06-2015,421.9/887/437.53/2015,19-06-2015,Lihat SK Operasional,2017-07-25 15,,35,,2.,,,0313989860,riyonoslamet24@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F7684879-6F48-43D0-8851-C58311DCDF3D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668499,LKP LPBII UNIVERSAL,K5668499,Jl. Panglima Sudirman No. 189,SIDOMORO,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,503.2.20/07/437.74/2017,13-04-2017,503.2.20/07/437.74/2017,13-04-2017,Lihat SK Operasional,2017-12-11 15,,72,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/650C3571-282B-4A3A-A826-75ADB17126A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5653183,LKP LPHR,K5653183,Jl. Dr. Wahidin SH Gg. 28 Baru blok G/2,RANDUAGUNG,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/2482/403.53/2006,20-09-2006,421.9/0382/437.53.4/2013,27-05-2013,Lihat SK Operasional,2021-11-24 08,Terakreditasi,0,,2.,,,,lphr_gresik@yahoo.co.id,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/951CA2DD-92FC-4023-8A0C-789D83455034,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5653287,LKP Melisa Handicraft,K5653287,Jl. Cisadea No.9,RANDUAGUNG,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503.67/89/437.74/2021,26-08-2021,503.2.20/07/437.74/2018,08-05-2018,Lihat SK Operasional,2021-11-17 11,,0,,2.,,,,melisahandycraft53@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,KBK Seni Rupa dan Kriya
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5AB14032-2226-4834-B24B-969978BB285C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668338,LKP MERDEKA,K5668338,jl. Wahidin SH Gg LDII Dsn Singopadu RT.04. RW.04,DAHANREJO,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/3549/437.53/2015,12-11-2015,421.9/3549/437.53/2015,12-11-2015,Lihat SK Operasional,2017-11-09 13,,150,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69836EF1-97AA-40A5-BCC9-F311FF95028E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998328,LKP MULTIVERSITAS SEJIWA INDONESIA,K9998328,RUKO KAWASAN INDUSTRI BLOK A NO 28 JL. TRIDHARMA,KEBOMAS,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503.9.2/04/437.74/2022,06-10-2022,503.9.2/04/437.74/2022,06-10-2022,Lihat SK Operasional,2022-10-26 12,,54,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D10D115-0286-4EC4-964F-2108FAD5F893,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5653231,LKP Puspita Indah,K5653231,"Jl. Dr. Wahidin Sudirohusodi No. 34, Desa Randuagung Kec. Kebomas, Gresik-Jawa T",RANDUAGUNG,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,Kursus,KKNI Level 2,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503/06/02/437.74/2016,08-08-2016,503.2.20/04/437.74/2019,15-07-2016,Lihat SK Operasional,2021-11-28 13,Terakreditasi,0,,2.,,,,lkp_puspita.indah@yahoo.co.id,,.000000000000,.000000000000,0,0,0,1,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Kesehatan
