prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/25483145-68B6-43BC-B934-386262E80AC5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652988,LKP  Yani II,K5652988,Jl. Raya Samarang No. 41B Rt 02 RW 08,SAMARANG,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.10/3067-disdik,27-06-2016,421.1/3067-disdik,27-06-2016,Lihat SK Operasional,2017-08-16 14,,0 m2,1.,2.,,,,yayasanyani11@gmail.com,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50557C8C-E9F2-437A-93B9-D703896354A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998129,LKP BANGKIT JAYA,K9998129,Kp. Sindangsari,SAMARANG,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,800/788 - Disdik,28-05-2022,800/788-Disdik,28-05-2022,Lihat SK Operasional,2022-07-06 21,,50 m2,1.,2.,,,,,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/626C4FBE-E674-499A-9F8E-17A91D6EB24E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997274,LKP BHAKTI ANNISA 1987,K9997274,KP. SAWAH SARI RT. 02 RW. 08,SAMARANG,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,KKNI Level 2,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,15/01/LKP/DK/VI/2020,31-03-2021,800/663-Disdik,22-04-2021,Lihat SK Operasional,2021-05-07 13,,100 m2,1.,2.,,,,,,-7.219200000000,107.840600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/42F0AAE9-8E3E-46FB-B33E-45A9E90AD8DD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990307,LKP PUTRI,K9990307,KP. POGOR RT. 04 RW. 06,CINTARASA,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.10/175-DISDIK,05-03-2020,421.10/175-DISDIK,05-03-2020,Lihat SK Operasional,2020-04-15 15,,88 m2,1.,2.,,,,,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/73860CDE-F82B-4B2F-AD00-BF388F57FEE1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998360,LKP ZAHRATUL JANNAH,K9998360,Kp. Panyaweuan,SUKALAKSANA,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,KKNI Level 3,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Zahratul Jannah Akbar,AM8133,DK.01.04/ 2889 Disdik,15-11-2022,DK.01.04/ 2889 Disdik,15-11-2022,Lihat SK Operasional,2022-11-30 08,,50 m2,1.,2.,,,,,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B1B2AAC0-556F-4AC1-867D-239DD9FBF77C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652990,LPK Labit,K5652990,"Kp. Pasirmuncang Rt 02 Rw 07 Ds. Cinta rakyat kec. Samarang,Garut, Jabar 44161",CINTARAKYAT,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/3671-Disdik 2014,30-10-2014,421.9/3671-Disdik 2014,30-10-2014,Lihat SK Operasional,2017-08-16 14,,0 m2,1.,2.,,,,labitxx@gmail.com,www.lpklabit.blogspot.com,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A8331268-A73A-4097-88D3-6DB5FD38EF68,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997559,PKBM AL FATIH,P9997559,Kp. Tengeureung RT 01 RW 06,CINTAKARYA,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,800/975-Disdik,21-07-2021,800/975-Disdik,21-07-2021,Lihat SK Operasional,2021-07-30 15,,240 m2,1. -,2. Lainnya (Serat Optik),PLN,,,pkbmalfatih5@gmail.com,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D8529D9-DD9B-4F94-9F64-47C4400C1883,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9954140,PKBM AL-AMIN,P9954140,Jln. Raya Bongkor Kp. Bongkor RT 03 Rw 08,CINTARAKYAT,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al Aminul Abror,AD4265,421.9/1962-Disdik,31-08-2016,421.1/3744-Disdik,31-08-2016,Lihat SK Operasional,2021-08-28 16,,1.000.000 m2,1. Telkom Speedy,2. Telkomsel Flash,PLN,,,123pkbmalamin321@gmail.com,http,-7.177100000000,107.807600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/687480CF-29E1-4160-8F4D-E9C48CA1D1EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9948374,PKBM AL-IKHWAN,P9948374,Kp.Pogor Rt. 04 Rw. 06,CINTARASA,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PUSAT KEGIATAN BELAJAR MASYARAKAT AL-IKHWAN DARUL FIKRI,AX3522,4219/155-2013,14-06-2013,421/3732-2016,31-08-2016,Lihat SK Operasional,2019-11-05 14,,300 m2,1. Lainnya (Wavelan),2. Lainnya (Serat Optik),PLN,,,alikhwanpkbm@gmail.com,www.pkbmalikhwan.id,-7.191673000000,107.833190000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Samarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/21A5073B-8ECE-415E-B40A-CD001093A7B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9948390,PKBM AMZA,P9948390,Kp. Babakan Caringin RT. 34/09,CISARUA,KEC. SAMARANG,KAB. GARUT,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan AL-MUAWANATUNNAZA,AD4282,01,09-12-2009,421.1/3693-DISDIK,29-08-2016,Lihat SK Operasional,2021-03-28 21,,240 m2,1. Indosat IM3,2. Telkomsel Flash,PLN,,,pkbm.amza.11@gmail.com,,-7.200800000000,107.797100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
