prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B1C5D628-D81B-4995-A468-4AD357850824,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660152,LKP Annisa,K5660152,Jl. Raya Barat No. 16 Ciputri RT/RW 03/07,SINGASARI,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/133/UPTD-Kec.Spa/2005,25-02-2008,421.9/kep. 08 30.b-Disdik/2016,14-03-2016,Lihat SK Operasional,2016-09-08 13,C,0,,2.,,,,lpkanisa@gmail.com,,.000000000000,.000000000000,0,0,0,0,KBK Pariwisata,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FF77A7DE-88E5-4B18-9DA1-11C930903270,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660229,LKP Ar-Rahman,K5660229,Jl. Panyingkiran No. 83/68 RT 03 RW 06,SINGAPARNA,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/kep.2619-Disdik/2013,10-12-2013,421.1/113/PAUDDIKMAS/Disdikbud/2020,08-06-2020,Lihat SK Operasional,2020-06-17 20,,0,,2.,,,,lkparrahman78@gmail.com,,.000000000000,.000000000000,0,0,0,0,KBK Teknologi dan Rekayasa,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/58529876-1ABE-44D5-9425-EDAFD36F57F6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660138,LKP Karya Ayu,K5660138,Jl. Raya Barat Singaparna No. 115 RT/RW 02/08 Kp.Ciputri,SINGASARI,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,415/1.02.10/B/C/89,01-01-1989,421.1/275/PAUDDIKMAS/Disdikbud/2023,02-01-2023,Lihat SK Operasional,2023-03-14 12,C,210,,2.,,0,,karyaayu95@yahoo.com,,.000000000000,.000000000000,0,0,0,0,KBK Kesehatan,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA870A27-B1CD-47EC-A5D3-CEF3D8A59A31,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998473,LKP KREATIF SEJAHTERA,K9998473,Perum Tata Lestari Regensi,CIKADONGDONG,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,PM.05.02/6/IPPNF/DPMPTSPTK/2023,20-01-2023,PM.05.02/6/IPPNF/DPMPTSPTK/2023,20-01-2023,Lihat SK Operasional,2023-01-30 15,,84,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/66F69B3F-FD8B-44C7-A297-8AC6134A6351,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660207,LKP Manarul Irsyad,K5660207,"Jl. KH. Ruhiat Cipasung No.175 Borolong, Cipakat Singaparna,  Kab.Tasikmalaya Ja",SUKAASIH,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,23-05-2017,,23-05-2017,Silakan Upload SK,,,0,,2.,,,,hudaebiusep@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6990B496-EA92-40AA-871B-0207E68525B5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660221,LKP Mr. D,K5660221,Jl. Pasarbaru Gang Kobra No 51 RT 002 RW 016,SINGAPARNA,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/KEP 0974-DISDIK/2014,09-10-2015,421.1/01/PAUDDIKMAS/DisdikBud/2018,29-10-2018,Lihat SK Operasional,2019-06-19 14,B,0,,2.,,,,lkp.mr.d@gmail.com,,.000000000000,.000000000000,0,0,0,0,KBK Bahasa,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/99AB1FD0-D1D3-4102-8A85-0DF194386BD3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660136,LKP Shinta,K5660136,Jl. Raya Timur No.34 Kudang,SINGAPARNA,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,21-05-2007,421.9/kep.2937-Disdik/2016,06-06-2016,Lihat SK Operasional,2016-09-08 14,B,0,,2.,,,,lkpshinta18@gmail.com,,.000000000000,.000000000000,0,0,0,0,KBK Pariwisata,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/34773CAD-8500-4B73-BBED-D1982590E3CA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660129,LKP SPC Singaparna,K5660129,Jl. Raya Timur Kudang No. 24 Singaparna,SUKAMULYA,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,12-11-1992,241.9/kep.33964-Disdik/2015,16-12-2015,Lihat SK Operasional,2016-09-08 13,C,0,,2.,,,,lkpspckomputer@yahoo.co.id,,.000000000000,.000000000000,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9136FA3E-9B26-48DF-B606-F1FEFCE31DF0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660175,LKP. SANNY SALON,K5660175,Jl. Cimacan RT/RW 05/01,CINTARAJA,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/243.a-Disdik/2009,25-07-2009,421.9/5232/Disdik,16-12-2016,Lihat SK Operasional,2019-09-17 13,C,0,,2.,,,,rostini.i@yahoo.com,,.000000000000,.000000000000,0,0,0,0,KBK Pariwisata,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Tasikmalaya,Singaparna,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1615EB9-C153-4A00-A09B-4F556C718BA5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937119,PAKET PP. ATH-THOHARIYAH,69937119,Babakansirna,CIKADONGDONG,KEC. SINGAPARNA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,,Kementerian Agama,,,6133-(Kk.10.06/3/PP.00.8/12/2019,05-09-2019,6133-(Kk.10.06/3/PP.00.8/12/2019,05-09-2019,Lihat SK Operasional,2022-05-23 09,C,0,,2.,,,,,,.000000000000,.000000000000,0,60,40,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
