prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/65D4E20F-9EF3-4BC7-AE34-C4C40F3BA78E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990386,LKP AL-HAFIDZ,K9990386,RT. 002 RW. 002 Ds. Sumber Harjo,SUMBER HARJO,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,18 Tahun 2019,18-12-2019,503/005/PNF.LKP/DPMPTSP/OKUT/III/2020,10-03-2020,Lihat SK Operasional,2020-06-19 14,,70,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/929E46C3-C1B9-486B-94B0-784FA03E8105,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657543,LKP ALFI EDUCATION,K5657543,Rawabening BK.III Buay Madang Timur OKU Timur Sumatera Selatan 32161,SRI KATON,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,420/02/LKP-AE/2007,01-08-2007,421.9/1001/IV.DISDIKNAS.OT/2014,24-04-2014,Lihat SK Operasional,2017-03-12 17,B,75,,2.,,,,ndanzzz@yahoo.co.id,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,KBK Teknologi Informasi dan Komunikasi,
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DABF41B7-7486-4050-A491-806BE8A6F094,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990429,LKP BINA SARANA MANDIRI,K9990429,Dsn. III Ds. Bangun Harjo,BANGUN HARJO,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,11 Tahun 2020,11-05-2020,503/017/PNF.LKP/DPMPTSP/OKUT/VI/2020,25-06-2020,Lihat SK Operasional,2020-06-30 21,,150,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ECDBE5C0-CE9D-4576-814E-4A033B9AA760,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657536,LKP Fajar Insani,K5657536,Rawabening BK. 3 Buay Madang Timur Oku Timur Sumatera Selatan,SRI KATON,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AX5965,422/278/UPTD.DIKNAS.04/2008,28-08-2008,421.9/1196/IV.Disdiknas.OT/2016,09-04-2018,Lihat SK Operasional,2019-04-25 19,B,"2,500",,2.,,,,lkpfajarinsani@gmail.com,http,-4.201300000000,104.566800000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D11053C-3B15-4048-932F-36636A643941,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669431,LKP HARNO SKILL TRAINING CENTER,K5669431,Rawabening,SRI KATON,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN FAJAR INSAN ALFALAH,AX5965,420/01/LKP-HSTC/2018,27-02-2018,421.1/1000/II.DISDIKBUD.OT/2018,09-04-2018,Lihat SK Operasional,2019-10-07 08,B,900,,2.,,,,lkpharnoskilltrainingcenter@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6532B3D1-BE31-4A35-91AC-C8A408C53382,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9989767,LKP KURNIA COMPUTER,K9989767,Jl. Raya Sumber Harjo,SUMBER HARJO,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,420/001/LKP-KC/SBH/VII/2017,17-07-2017,421.1/2529/IV.DISDIK.OT/2017,18-12-2017,Lihat SK Operasional,2019-10-02 20,,24,,2.,,,,computerkurnia7@gmail.com,,-4.225597400000,104.573997900000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C449FF9-6C34-4D08-A49A-DF50D4C0F188,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990068,LKP NUANSA INDAH TAILOR,K9990068,Desa Sumber Asri Kec. Buay Madang Timur,SUMBER ASRI,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN FAJAR INSAN ALFALAH,AX5965,01/LKP.NIT/IV/2008,02-04-2018,500.16.7.2/002/LKP/DPMPTSP/OKUT/X/2022,18-10-2022,Lihat SK Operasional,2022-11-23 13,,"2,057",,2.,,,,lkpnuansaindahtailor@yahoo.com,https,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Pariwisata,
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/17A208C6-C937-414A-9231-BD26362DE7C2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9996963,LKP THREETHAN TAILOR AL-BAROKAH,K9996963,Jalan Sumber mulyo,SUMBER MULYO,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,AHU-00571.AH.02.01 TAHUN 2014,14-12-2017,503/028/PNF.LKP/DPMPTSP/OKUT/VII/2020,03-07-2020,Lihat SK Operasional,2021-02-03 11,,838,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D10BFAEC-1635-494F-8971-E693CE9FC8A5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990409,LKP TIGA SERANGKAI,K9990409,RT. 001 RW. 002 Ds. Sumedang Sari,SUMEDANG SARI,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ISLAM AL ULYA,AW7667,18 Tahun 2020,18-05-2020,503/013/PNF.LKP/DPMPTSP/OKUT/VI/2020,15-06-2020,Lihat SK Operasional,2020-06-24 13,,"11,472",,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Buay Madang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FEF309D9-5002-42D6-B05C-E35E6E509103,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996445,PKBM AL-HAFIDZ,P9996445,RT. 002 RW. 002 Desa Sumber Harjo,SUMBER HARJO,KEC. BUAY MADANG TIMUR,KAB. OGAN KOMERING ULU TIMUR,PROV. SUMATERA SELATAN,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,18 Tahun 2019,18-12-2019,503/006/PNF.PKBM/DPMPTSP/OKUT/III/2020,10-03-2020,Lihat SK Operasional,2020-07-24 21,,"1,200",1. Indosat IM3,2. Telkomsel Flash,PLN,,,alhafidzpkbm20@gmail.com,http,-4.239191100000,104.541956700000,4,0,0,4,Sore/6 hari,,2022/2023-2,900,4,0,0,1,0,0,5,1,4,0,0,0,0,4,0,3,1,1,2,1,0,0,0,0,1,3,Paket C IPS 2013,Indosat IM3
