prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,akses_internet_sekolah_kita
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/55460192-6AFE-40BC-921D-F17F32F4ACFA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650375,LKP Handayani,K5650375,Kp. Cicalengka RT 03/04 Ds. Mekarmukti Kec. Cihampelas Bandung Barat,MEKARMUKTI,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421/4837-Disdikpora/2014,26-11-2014,421/4426-Disdikpora/2015,12-11-2015,Lihat SK Operasional,2017-03-10 20,C,60,,2.,,,,yayasanpermatanabilabalqis@gmail.com,lkphandayani.blogspot.co.id,.000000000000,.000000000000,0,0,0,0,KBK Seni Rupa dan Kriya,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FB39D200-5755-4BCB-B6DE-9FA810DC99EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650382,LKP Laksana,K5650382,Jln Raya Cipatik RT 04 RW 02 Desa Cipatik Kec Cihampelas Kab Bandung Barat,CIPATIK,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,NOMOR,26-08-2016,NOMOR,26-08-2016,Lihat SK Operasional,2022-12-01 17,,90,,2.,,,,lkplaksana@gmail.com,,.000000000000,.000000000000,0,0,0,0,KBK Pariwisata,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70E95334-EB73-44F4-94CF-7F9BBB34F3AB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668366,LKP Pijat Tradisional Anugrah,K5668366,Kp. Cicalengka Rt 05 Rw 03 Ds. Mekarmukti,MEKARMUKTI,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,423.5/2535-PAUDNI/2017,04-09-2017,423.5/28035-PAUDNI/2017,26-09-2021,Lihat SK Operasional,2019-07-22 20,B,0,,2.,,,02287780888,anugrahlkp@gmail.com,www.anugerahpijat.com,.000000000000,.000000000000,0,0,0,0,KBK Kesehatan,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D82FB04A-CEC5-47C0-B9B1-70F97F79A795,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650343,LKP Yussy,K5650343,"Jl. Raya Cipatik No.16 RT.03/04 Desa Patarumam, Cihampelas",PATARUMAN,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421/1396/disdikpora/2016,19-04-2016,421/1396/disdikpora/2016.,19-04-2016,Silakan Upload SK,,C,0,,2.,,,,lkp.yussy@yahoo.com,,.000000000000,.000000000000,0,0,0,0,KBK Pariwisata,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C6D315D1-7733-42FF-A2B4-4513E3D15AA1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937091,PAKET PP. DARUSSALAM,69937091,KP. CISEDONG RT 02 RW 10,CITAPEN,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/95E7DFC1-8BF0-4C9F-9C36-4B08DAAAF764,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964660,PKBM AL-UM INDONESIA,P2964660,Kp. Cihampelas,CIHAMPELAS,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,01-01-1900,,01-01-1900,Silakan Upload SK (link file tidak valid) => [514155-63029--],2021-09-08 11,,400,1. XL (GSM),2. Telkom Speedy,PLN & Diesel,,,alumindonesia@yahoo.co.id,,-6.929362800000,107.534911600000,5,0,0,9,2013,Sehari Penuh/3 hari,,2022/2023-2,900,9,0,0,2,0,0,4,3,4,0,0,1,0,5,0,1,4,0,0,1,0,0,1,3,1,4,XL (GSM)
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/772CCB48-E8B7-49DE-9327-92E70BCBF310,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964658,PKBM BAHRUL AMIEN CEBA,P2964658,CIRADEN NO 01,CITAPEN,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-6.929195000000,107.536279500000,0,0,0,0,Paket C IPS 2013,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB6976DF-86EA-482A-8DD4-A8992E98CED2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964710,PKBM MANDIRI SEJAHTERA,P2964710,Kp. Cicalengka Rt.03 Rw.04,MEKARMUKTI,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421/14268.52-Paudni/2017,28-11-2017,421/14268.52-Paudni/2017,28-11-2017,Lihat SK Operasional,2021-06-16 01,C,200,1. -,2. Telkom Speedy,PLN,,,pkbmmandirisejahtera@gmail.com,,-6.927323200000,107.540066800000,5,0,0,7,2013,Sehari Penuh/3 hari,,2022/2023-2,900,9,0,1,1,0,0,3,1,4,0,1,0,0,5,0,3,2,0,1,2,0,0,2,0,3,2,Tidak Ada
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5FA45F48-C17F-4520-B804-563C207947A5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964665,PKBM MELATI 01,P2964665,Kp. Cibinong Rt. 01 Rw. 01,TANJUNGWANGI,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN MELATI TANJUNGWANGI,AA4659,421/4268.26-PAUDNI/2017,20-12-2017,D3712F,15-08-2022,Lihat SK Operasional,2022-08-30 06,C,72,1. -,2. Telkom Speedy,PLN,,,pkbmmelati82@gmail.com,,-6.952300000000,107.483700000000,2,0,0,8,2013,Sehari Penuh/3 hari,,2022/2023-2,450,6,0,1,0,0,0,3,1,2,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,2,0,Tidak Ada
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BCAC6D09-C501-4635-8C14-6E63F9C48451,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964713,PKBM PELANGI,P2964713,Kp. Pasar Rt.03 Rw.09,PATARUMAN,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.23/074/Disdik/2020,04-02-2018,421.23/074/Disdik/2020,04-02-2018,Silakan Upload SK (link file tidak valid) => [355935-461708--],2020-08-30 09,,0,1. Telkom Astinet,2. Lainnya (Wavelan),PLN,,,pkbm_pelangi@hotmail.com,,-6.939900000000,107.512500000000,2,0,0,3,Paket C IPS 2013,Siang/6 hari,,2022/2023-2,900,2,0,0,1,0,0,4,0,2,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,1,1,Telkom Astinet
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1B02A307-F3A3-415F-BFFA-25865FE54EE9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936750,PPS. AL HUDA GUNUNG DUKUH,69936750,KP. GUNUNG DUKUH RT 03 RW 03,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,INDONESIA,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/048822E9-7D7C-42ED-96AE-CD27AE1D9288,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70033406,PPS. AL-QURAN AR-RAHMAN,70033406,Jl. Pembangunan RT/RW 05/08,CIHAMPELAS,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,NOMOR 822 TAHUN 2022,13-06-2022,NOMOR 822 TAHUN 2022,13-06-2022,Lihat SK Operasional,2022-09-15 10,,928,,2.,,,,,,.000000000000,.000000000000,0,82,101,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F60415FF-8600-4010-8C84-7939A3F766D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936748,PPS. DARUSSALAM,69936748,KP. CISEDONG RT 02 RW 10,MEKARJAYA,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,,Kementerian Agama,,,NOMOR 868 TAHUN 2020,16-07-2020,NOMOR 868 TAHUN 2020,16-07-2020,Lihat SK Operasional,2022-05-24 14,B,0,,2.,,,,,,.000000000000,.000000000000,0,156,95,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Barat,Kab. Bandung Barat,Cihampelas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1BBD5973-97E8-4AB9-B6EC-7ADF5941660F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936749,PPS. MIFTAHUL FALAH,69936749,KP. SELAKOPI RT 06 RW 08,CIHAMPELAS,KEC. CIHAMPELAS,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,Kd.10.26/I/PP.00.7/1410.22/2010,01-09-2010,Kd.10.26/4/PP.00.7/7647/2015,08-12-2015,Lihat SK Operasional,2020-12-30 16,C,0,,2.,,,,,,-6.912300000000,107.461900000000,0,49,23,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
