prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/325A964F-D48B-4D1D-8FA9-5FF05F45FDF5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016175,Akademi Farmasi Al-Ishlah Cilegon,70016175,Jalan Al Ishlah No 3 Jombang Wetan,KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,2706DT2008,11-08-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,0254837912,0254837912,akfar.alishlah@yahoo.com,www.akfaralishlah.ac.id,-6.448157600000,106.836405800000
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5E5A0C78-412D-4B0F-9744-5F4D0A8C5AF1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016234,Akademi Kebidanan Al-Ishlah Cilegon,70016234,Jalan Al Ishlah No 3 Jombang Wetan,KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,187DT2006,30-01-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,0254-386912,0254-386912,akbid.info@yahoo.com,,,
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0A53BC09-7859-458F-BF1A-90C1069F32C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607700,Akademi Sekretari Dan Manajemen Bhakti,20607700,Jalan Paus No 35 Kav Blok C,KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1,17-11-1999,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/225E2EDD-EE96-406B-B683-38CAD961130E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607701,AKMI Guna Nusantara,20607701,Jl Raya Cilegon PCI Blok A334,BANJAR NEGARA,KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,13/D/0/2003,31-01-2003,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2294141-0E78-4C62-8C28-057D7057BE9D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607702,Politeknik Krakatau,20607702,Jl Sultan Ageng Tirtayasa 49 Komplek Bonakarta Blok B-7,TEGALRATU,KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,15DO99,14-01-1999,,,Silakan Upload SK,,,700 m2,1.,2.,,0254-388-312,0254-388-630,politeknikrakatau@gmail.com,www.polka.ac.id,-4.654765000000,122.490635900000
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/021C0775-DED2-485D-830B-78DA8F61A42B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019662,Sekolah Tinggi Analis Kimia Cilegon,70019662,"Jl. KH. Wasyid No.06 Ds. Barokah kec. Jombang, kel. Jombang Wetan",KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,22DO2005,03-03-2005,,,Silakan Upload SK,,,62.000 m2,1.,2.,,0254-399970,0254-7871803,stak.clgn@gmail.com,stakc.ac.id,-6.045380000000,106.071857000000
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F1BA498C-CFA6-4E91-B885-206C51EC79E3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607703,Sekolah Tinggi Ilmu Ekonomi Al-Khairiyah,20607703,Jalan H Enggus Arja No 1 Citangkil,BANJAR NEGARA,KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,188DO2001,26-09-2001,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/021E7F6E-2E74-4FCF-9FBB-74482FA92E5E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607704,Sekolah Tinggi Ilmu Komputer Al-khairiyah,20607704,Jalan H Enggus Arja No 1 Citangkil,BANJAR NEGARA,KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,188DO2001,26-09-2001,,,Silakan Upload SK,,,0 m2,1.,2.,,0254-378388,0254-378388,stikom.alkhairiyah@yahoo.com,www.stikom-alkhairiyah.ac.id,-6.016896900000,106.040165200000
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F375CF67-2D7B-4BCC-8FBB-FD51F74CFD9A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70020407,Sekolah Tinggi Teknologi Ilmu Komputer (STTIKOM) Insan Unggul,70020407,Jalan S A Tirtayasa No 146 Komplek Istana Cilegon,KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,24DO2003,13-03-2003,,,Silakan Upload SK,,,0 m2,1.,2.,,0254-396172,0254-396171,akademik@insan-unggul.ac.id,www.insan-unggul.ac.id,-6.015024400000,106.050432800000
Banten,Kota Cilegon,Ciwandan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1918AC84-B758-4FEE-9B21-6CF13FBE0A94,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70021471,STISIP Trimasda Cilegon,70021471,,KEC. CIWANDAN,KOTA CILEGON,PROV. BANTEN,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,268/E/O/2014,24-07-2014,,,Silakan Upload SK,,,0 m2,1.,2.,,,,stisiptrimasdaofficial2022@gmail.com,www.stisiptrimasda.ac.id,,
