prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/97535FA9-65DE-4718-B72C-144CF52C3E5D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20238137,Akademi Kebidanan Bhakti Husada Cikarang,20238137,JL.Ki Hajar Dewantara No.14Pilar - Cikarang,KERTARAHAYU,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,163DO2005,21-10-2005,,,Silakan Upload SK,,,397 m2,1.,2.,,,02189108955,akbidbhc@gmail.com,akperakbid-bhaktihusada.ac.id,-6.256771000000,107.156449900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5786F385-BE4D-489E-B4D7-8ADA1B629463,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016516,Akademi Keperawatan Bhakti Husada Cikarang,70016516,Jalan RE Martadinata Cikarang,TAMAN SARI,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,3483DT2007,30-12-2007,,,Silakan Upload SK,,,1.395 m2,1.,2.,,021-8900570,021-8902577,akper@akperakbid-bhaktihusada.ac.id,www.akperakbid-bhaktihusada.ac.id,-6.263264400000,107.139957500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E2947AF0-74E9-40F3-B327-68EE9CB8F422,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016843,Akademi Perpajakan Padang (AKAP) Bekasi,70016843,"JL. SIRIH PRADA, No.135  PABUARAN MUSTIKA JAYA BEKASI TIMUR",KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,225/D/O/2008,02-12-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,,"021-29455271,",pdg.akap@yahoo.co.id,akademi-perpajakan.blogspot.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DCEFEFA1-B68B-4AEE-B7E5-C747C5105B5E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016862,Akademi Sekretari Dan Manajemen Insulindo,70016862,Jalan Ir. Juanda no.240 Bekasi,TAMAN RAHAYU,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,363DO2002,20-12-2002,,,Silakan Upload SK,,,0 m2,1.,2.,,021-8802297,021-8802297,asmibekasi02@gmail.com,asminsulindo.ac.id,-6.338281000000,107.121522500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/251AED26-A4A9-4D31-993B-BB5A8DBB1714,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016886,Akademi Teknik Mesin Industri Cikarang,70016886,"Jalan Kampus Hijau No 3 Jababeka Education Park, Cikarang Baru, Bekasi",KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,2716DTK-IV2009,07-07-2009,,,Silakan Upload SK,,,0 m2,1.,2.,,021-89108779,021-89106413,pendidikan@atmicikarang.ac.id,www.atmicikarang.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D07D499C-4574-4127-88E9-592EFBE0E44A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016958,AMIK Al-Muslim Bekasi,70016958,Jalan Raya Setu Kampung Bahagia Tambun,TAMAN SARI,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,193DO2002,04-09-2002,,,Silakan Upload SK,,,0 m2,1.,2.,,021-8836-2226,021-8836-2226,info@almuslim.ac.id,www.almuslim.ac.id,-6.268955900000,107.075635300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BB6162B6-5F36-4619-88CD-CF69AB92F42C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016981,AMIK MIC Cikarang,70016981,Harco Teknik H2-5 Kws Jababeka Cikarang,KERTARAHAYU,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,40DO2000,17-04-2000,,,Silakan Upload SK,,,0 m2,1.,2.,,021-89832311,021-8936726,kampus@mic.ac.id,www.mic.ac.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A9806FFB-0694-4741-9E3F-8D8780FC2A50,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016991,AMIK Sultan Agung,70016991,Ir H Juanda No 139,CIJENGKOL,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,79DO1996,04-12-1996,,,Silakan Upload SK,,,0 m2,1.,2.,,021-88348705,021-85528272,amikomthesultan@gmail.com,https,-6.276459500000,106.912960300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/360F6B7A-C4A3-4175-8FED-B9B8909B132F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018062,Institut Agama Islam Shalahuddin Al-Ayyubi (INISA) Tambun Bekasi,70018062,Jl. Sultan Hasanudin No. 203/226 Tambun Selatan Bekasi Jawa Barat,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,021-88313120,021-88323120,inisa_tambunbekasi@yahoo.com,inisa.ac.id,-6.261930000000,107.059774000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0CC7B661-2E72-4795-AFEE-3CA3E6E9637E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018279,Institut Teknologi Sains Bandung,70018279,"Jl. Ganesha Boulevard, Lot-A1 CBD Kota DeltamasTol Jakarta - Cikampek Km 37C",KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,86D02001,10-07-2001,,,Silakan Upload SK,,,0 m2,1.,2.,,021-89972028,021-50599288,admin_bdg@itsb.ac.id,http,-6.354305000000,107.198410000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/098AE2B0-F08B-46D3-AB18-963FFFEDA3DD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019067,Politeknik Bina Madani,70019067,,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1273/M/2020,30-12-2020,,,Silakan Upload SK,,,6.000 m2,1.,2.,,,0218901711,info@poltekbima.ac.id,https,-6.245937000000,107.149314900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB6B002D-E023-4D63-9E2F-5E1486491900,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019110,Politeknik Industri ATMI,70019110,,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,319/KPT/I/2019,30-04-2019,,,Silakan Upload SK,,,44.566 m2,1.,2.,,02189108779,02189106413,pendidikan@polinatmi.ac.id,www.atmicikarang.ac.id,-6.280730900000,107.171850800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B7DC3A89-9C17-4FAE-8F92-F3CB1C1C417D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20107793,Politeknik Kelapa Sawit Citra Widya Edukasi,20107793,Jalan Gapura No 8 Rawa Banteng Kelurahan Cibuntu Kecamatan Cibitung,KERTARAHAYU,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,156DO2006,03-08-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,021-8254970,"021-71004870-71, 021",info@cwe.ac.id,www.cwe.ac.id,-6.046351500000,109.219123300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/974204E6-4AD6-4F61-904E-14037ED88FB7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019273,Politeknik Transportasi Darat Indonesia - STTD,70019273,,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,NEGERI,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,PM 50 Tahun 2019,29-07-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,021 8254640,021 8254640,info@sttd.ac.id,https,-6.294306000000,107.069080000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E98E9BA9-E1B4-4EF2-AD09-8A51510D003E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019539,Sekolah Tinggi  Ilmu Ekonomi JIU,70019539,,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,493/KPT/I/2018,06-06-2018,,,Silakan Upload SK,,,5.000 m2,1.,2.,,,021-22157254,stie@jiu.ac,www.jiu.ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6F8CDF0E-21E5-4BF1-838E-12DBA4832309,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019664,Sekolah Tinggi Bahasa Asing Bina Dinamika Cianjur,70019664,Jln. Kebon Kelapa Blok Barokah Pekopen Tambun Bekasi,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,IIID02004,09-08-2004,,,Silakan Upload SK,,,0 m2,1.,2.,,021-88390191,021-88390191,stbabinadinamika16@gmail.com,www.stbabinadinamika.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BD882C03-1EAC-4E3B-ACCC-B33DF4CE05F1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019668,Sekolah Tinggi Bahasa Asing Jiu,70019668,,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,554/KPT/I/2019,12-07-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,021-2215-7254,stba@jiu.ac,www.jiu.ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bekasi,Setu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BB93B6A7-2347-4B97-A8BE-03396DC5D7CE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019716,Sekolah Tinggi Ekonomi Islam Haji Abdul Malik Cikarang Barat,70019716,Jl. Desa Telaga Murni Bojong Koneng Cikarang Barat Kab Bekasi,RAGEMANUNGGAL,KEC. SETU,KAB. BEKASI,PROV. JAWA BARAT,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,Nomor,17-03-2017,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
