prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4724F7DC-1587-4DC3-93FC-6D0E26F61E58,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20332066,Akademi Kebidanan Dulang Mas,20332066,Jalan Glempang Kecamatan Maos,HANUM,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,044/D/OT/2021,01-04-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2AC5D8F8-6F00-4D24-B2BB-CB2964A4A7AC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016324,Akademi Kebidanan Graha Mandiri Cilacap,70016324,"Jl. Dr. SUTOMO NO. 4B SIDAKAYA, CILACAP",PANULISAN BARAT,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,155/D/O/2010,21-10-2010,,,Silakan Upload SK,,,0 m2,1.,2.,,(0282) 533767,(0282) 534908,akbid@gmcp.ac.id,gmcp.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A71EA415-F9F1-4845-9F58-F4B144AA009E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20332067,Akademi Kebidanan Paguwarmas Maos,20332067,Jl Raya Maos Kesugihan No 505 Kecamatan Maos Kabupaten Cilacap,PANULISAN BARAT,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1375DT2008,30-04-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E192470-7DA2-4F7E-A4BA-ECC9A55A7621,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016673,Akademi Kepolisian (AKPOL),70016673,Jl. Sultan Agung Candi Baru Semarang,PANULISAN BARAT,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,NEGERI,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,SKep/389/IV/1999,09-04-1999,,,Silakan Upload SK,,,125.000 m2,1.,2.,,024 8442287,024 8442287,info@akpol.ac.id,www.akpol.ac.id,110.418169000000,-7.015846000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5B7C99FD-2277-4A4F-91DE-491D5180F97E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20332069,Akademi Maritim Nusantara Cilacap,20332069,Jalan Kendeng No 307  Kel. Sidanegara,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,39,14-02-1985,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/31C092AA-F74D-4606-994C-AD6CB37D7CA5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20332070,Akademi Perikanan Dan Kelautan Sri Mukti,20332070,,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,188/M/KPT/2019,18-06-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/32A4DDA9-E298-4751-BD87-4B2F7B2FED59,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018023,Institut Agama Islam Imam Ghozali (IAIIG) Cilacap,70018023,Jl. Kemerdekaan Barat No. 17 Kesugihan Kidul Kesugihan Cilacap,PANULISAN BARAT,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,E/86/97,28-05-1997,,,Silakan Upload SK,,,0,,2.,,0282-695407,0282-695415,info@iaiig.ac.id,www.iaiig.ac.id,-7.624806000000,109.113594000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7BCF30D7-DF8A-42A6-8954-1CD5C5C5119E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20341129,Politeknik Cilacap,20341129,Jl. Dr Soetomo Sidakaya Cilacap,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,INDONESIA,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,125DO2008 (dinegerikan),08-07-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2DE514CE-067D-49B5-BEC6-0D3C98C3559D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019796,Sekolah Tinggi Ilmu Dakwah Surakarta (STIDS),70019796,,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,06-10-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Cilacap,Dayeuhluhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13EF87B2-1D58-49EE-98BE-36930BC7BC09,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20332071,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap,20332071,Jl Urip Sumoharjo No 21 A Mertasinga Kecamatan Cilacap UtaraKabupaten Cilaca,PANULISAN BARAT,KEC. DAYEUHLUHUR,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,SK. MENDIKNAS NO. 194DO2004,30-12-2004,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,-7.675837200000,109.060340100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
