prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2B267A3F-7EE5-4608-825C-908239235E25,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30402937,Akademi Bisnis Internasional Samarinda,30402937,Jl Moh Yamin No 6,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,132D02002,08-07-2002,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F9ABFCF9-9FDC-4C66-9616-B2032C6C7785,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30402938,Akademi Farmasi Samarinda,30402938,Jl AW Syahranie Kel Air Hitam,RAWA MAKMUR,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1307/KPT/I/2018,31-12-2018,,,Silakan Upload SK,,,0 m2,1.,2.,,0541-7777363,0541-7777363,akfarsam1@gmail.com,akfarsam.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F1A1DCAF-8C69-4FCB-BAE4-C84BD90F0B00,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016390,Akademi Kebidanan Mutiara Mahakam,70016390,Jl Dr Soetomo No. 37A Samarinda,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,154DO2007,14-08-2007,,,Silakan Upload SK,,,0 m2,1.,2.,,0541-4115996,0541-4115996,akbidmutiaramahakam@gmail.com,akbidmm.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB5201F9-63A6-44A3-9641-847DC90916E2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016424,Akademi Kebidanan Permata Husada Samarinda,70016424,Jl Ir H Juanda No 65,HANDIL BAKTI,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,96DO2007,03-07-2007,,,Silakan Upload SK,,,0 m2,1.,2.,,,0541-7770380,,http,-2.305267700000,113.899327300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9CCCBD3A-1F42-431D-91F9-38E141E4D3E6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016627,Akademi Keperawatan Pemprov Kaltim,70016627,JL. ANGGUR NO 88 SAMARINDA,BANTUAS,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,354/E/O/2012,10-10-2012,,,Silakan Upload SK,,,0 m2,1.,2.,,0541 748385,0541 748384,akperpemprovkaltim@yahoo.com,www.akper-pemprov-kaltim.ac.id,-.481880000000,117.141640000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A162CE8B-00D0-4719-A979-31318908148A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30402942,Akademi Keperawatan Yarsi Samarinda,30402942,Jalan Gurami No 14 Kelurahan Sungai Dama,RAWA MAKMUR,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,108DO2004,05-08-2004,,,Silakan Upload SK,,,0 m2,1.,2.,,0541 7778190,0541 751568-7778180,akperyarsismd@gmail.com,www.akperyarsismd.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7E144AFB-9015-4241-B602-E397323D6BC5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017920,IAIN Samarinda,70017920,Jln. H.A.M. Rifaddin Samarinda Seberang,RAWA MAKMUR,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,NEGERI,Institut,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,Perpres 140 Tahun 2014,17-10-2014,,,Silakan Upload SK,,,0,,2.,,0541206472,0541742193,iainsamarinda@iain-samarinda.ac.id,http,-.565975000000,117.110694000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2001DCDF-702E-4FF9-B3B2-6CC506C8747A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30402949,IKIP PGRI Kaltim,30402949,Jalan Suwandi Blok C 23,HANDIL BAKTI,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,33,24-11-1986,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,.767329400000,115.701085200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/847C70D2-CEF0-4874-8C55-045E8E44A72F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019074,Politeknik Bisnis Lamda,70019074,,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,INDONESIA,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,374/M/2020,12-03-2020,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kota Samarinda,Palaran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E8507B94-B7B5-4132-8720-1C1003944058,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019301,Poltekkes Kemenkes Kalimantan Timur,70019301,Jl. Kurnia Makmur No. 64 Samarinda,KEC. PALARAN,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,INDONESIA,NEGERI,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,0541768523,0541738153,poltekkes_smd2007@yahoo.co.id,poltekkes-kaltim.ac.id,-.561709900000,117.104580400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
