prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2778D05B-1885-4858-A379-7A210AF35A3B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016971,AMIK Citra Buana Indonesia,70016971,Jalan KH Sanusi No 24,JAYAMEKAR,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,4570DT2008,19-12-2008,,,Silakan Upload SK,,,1.685 m2,1.,2.,,0266 231159,0266-225920,amik@cbi.ac.id,http,-6.917833900000,106.911239500000
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1522EE95-A911-4838-B7F6-01373E6CE3A8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018150,Institut Manajemen Wiyata Indonesia,70018150,Jalan Gudang No. 9 Sukabumi,JAYARAKSA,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,505/E/O/2014,16-10-2014,,,Silakan Upload SK,,,3.319 m2,1.,2.,,0266-6253800,0266-6253500,info@imwi.ac.id,www.imwi.ac.id,-6.918912800000,106.925693800000
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/980E2517-56B1-4BF9-9A4B-7ADC979449FF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20238309,Politeknik Bina Budaya Cipta,20238309,Jalan Laksamana Martadinata 35 Kel Sudajaya Hilir,JAYAMEKAR,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,28D01998,06-05-1998,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,-6.948558100000,106.923172500000
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/722F19CC-D616-4421-9E15-A8C34177D437,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019288,Politenik Kesehatan Yapkesbi Sukabumi,70019288,Jalan Subangjaya No 12-A,JAYARAKSA,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,66DO2006,27-04-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,0266-245257,0266-245256,poltekes.yapkesbi@gmail.com,www.poltekes-yapkesbi.ac.id,,
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BC9BEFFE-07A7-4E12-A860-3065360279F2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20238311,Sekolah Tinggi Hukum Pasundan,20238311,Jalan Pasundan No 117,JAYARAKSA,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,943SKYPTPI1991,22-01-1991,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,-6.923956000000,106.923770000000
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2F009B85-373C-4B4D-9B5E-6B0C7728AA25,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019891,Sekolah Tinggi Ilmu Ekonomi Penguji Sukabumi,70019891,Jalan KH Achmad Sanusi No 195,JAYAMEKAR,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,378,31-10-1995,,,Silakan Upload SK,,,0 m2,1.,2.,,0266-224675,0266-224675,stiep93@gmail.com,www.stiepenguji.ac.id,,
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F6B4C8AD-DC92-4C58-9075-B553FA8D3EB1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20238313,Sekolah Tinggi Ilmu Ekonomi PGRI Sukabumi,20238313,Jalan Pramuka II No. 10 Kota Sukabumi,JAYARAKSA,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,087/D/O/1995,06-11-1995,,,Silakan Upload SK,,,0 m2,1.,2.,,(0266)6250706,(0266)6250706,info@stiepgri.ac.id,www.stiepgri.ac.id,,
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/27F9C7C2-5CEA-4083-85B2-8B18C609BFAA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019915,Sekolah Tinggi Ilmu Ekonomi Syariah (STIES) Sayaga Saniskara Nusantara,70019915,,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,4917 Tahun 2014,03-09-2014,,,Silakan Upload SK,,,5.000 m2,1.,2.,,(0266) 2489502,(0266)  2489502,stiesgasantaraindonesia@gmail.com,www.ugi.ac.id,-7.338352100000,106.949996100000
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AD7063DA-C7F9-4242-9437-E65A5E8B7E66,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70020109,Sekolah Tinggi Ilmu Kesehatan Sukabumi,70020109,Jalan Karamat No 36,JAYARAKSA,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,74,20-06-2002,,,Silakan Upload SK,,,8.938 m2,1.,2.,,0266-223709,0266-210215,stikesmi_edu@yahoo.co.id,stikesmi.ac.id,-6.907980400000,106.920795400000
Jawa Barat,Kota Sukabumi,Baros,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BA02FD72-6A1A-49F4-8096-6B00386E5382,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70020305,Sekolah Tinggi Manajemen Informatika dan Komputer Al-Fath,70020305,,KEC. BAROS,KOTA SUKABUMI,PROV. JAWA BARAT,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,215/E/O/2021,26-04-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,
