prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E06E2BEE-8B11-4E24-BCB2-CFDFAB14AC42,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016147,Akademi Bahasa Asing Budhi Tangerang,70016147,Jalan Imam Bonjol No 41 Karawaci,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1,28-02-2000,,,Silakan Upload SK,,,0 m2,1.,2.,,021-558-6820,021-551-7853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1B79AE5-2C27-4EEF-849C-52D11D0C7DD8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016249,Akademi Kebidanan Assyifa Tangerang,70016249,Jalan Dr Sitanala No 75,PANINGGILAN UTARA,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,167DO2003,10-10-2003,,,Silakan Upload SK,,,0 m2,1.,2.,,,02155745777,akbidasyifatangerang@gmail.com,Akbidassifatangerang.ac.id,-6.184142200000,106.658038800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA12A296-7F2F-40D4-931D-1E8F4873BB89,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016265,Akademi Kebidanan Bhakti Asih Cileduk,70016265,Jl. HOS Cokroaminoto CBD Blok D2 No.31-32 Karang Tengah Ciledug Kota Tangerang,SUDIMARA BARAT,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,22DO2009,06-03-2009,,,Silakan Upload SK,,,0 m2,1.,2.,,021-7314110,021-7314110,kampus@bhaktiasih.ac.id,www.bhaktiasih.ac.id,-6.231887400000,106.702480800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0254E6D-6517-4610-B166-62EBF0D84890,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016268,Akademi Kebidanan Bhakti Mitra Husada,70016268,Jalan HOS Cokroaminoto Rt. 01/05 No. 6 Kelurahan Kreo Selatan Kec. Larangan Tang,TAJUR,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,79DO2006,12-06-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,021 - 7352705,021 - 7352705,akbid_bmh@yahoo.com,akbid_bmh@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F8B54EE0-5299-4757-8C81-8C8BB745C945,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016297,Akademi Kebidanan Cipta Daya Husada,70016297,Jl. Imam Bonjol Kebon Jati No. 79 Kel. Bojong Jaya Karawaci Kota Tangerang,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,91DO2009,22-06-2009,,,Silakan Upload SK,,,0 m2,1.,2.,,021-55797052,021-55797052,akbid_cdh@yahoo.com,www.akbid-cdh.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/259675AB-9A67-41AB-B58E-23B581249938,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607712,Akademi Kebidanan Yayasan Husada Madani,20607712,Jalan Cempaka Raya No 1 Perumnas 1 Kelurahan Nusajaya Kecamatan Karawaci,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,2968DT2004,30-07-2004,,,Silakan Upload SK,,,0 m2,1.,2.,,,021-5471874,husadamadani@gmail.com,www.akbidyahmi.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8AFB29DC-7DE8-46E0-945C-923154FA38C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607717,Akademi Sekretari & Manajemen Industri Budhi,20607717,Jalan Imam Bonjol No 41,PANINGGILAN,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,NO.2206DT2004,29-06-2004,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/97363367-0766-4296-9142-EDD0815D9B9C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607716,Akademi Sekretari Dan Manajemen Lepisi,20607716,"Jalan K.S. TUBUN NO. 11 PASAR BARU, KARAWACI",KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,05,16-01-1997,,,Silakan Upload SK,,,0 m2,1.,2.,,(021) 5589163,(021) 5589161-62,aksema@lepisi.ac.id,www.lepisi.ac.id,-6.168535000000,106.626547600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EB72D67D-DF01-4B94-A4F0-E81B6E27E784,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607718,AMIK BK3,20607718,Jalan Gatot Subroto No 9 Cimone,TAJUR,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,165DO2002,02-08-2002,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/411303D4-1B91-42C4-8F0E-F8DF5A1B7DE3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016978,AMIK Mapan Tangerang,70016978,Jl. Gatot Subroto No. 9 Cimone,TAJUR,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,,,,Silakan Upload SK,,,605 m2,1.,2.,,021-5517907,021-5514464,sipp@amik.mapan.ac.id,mapan.ac.id,-6.185124000000,106.612338000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA772757-2CB1-49DC-B7D6-9172B6E0F50A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016985,AMIK Pakarti Luhur,70016985,"Jalan Imam Bonjol Raya, Kav 8A-8B, Karawaci, Tangerang",KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,70DO2003,10-06-2003,,,Silakan Upload SK,,,0 m2,1.,2.,,021-55763911,021-55763910,humas@pakartiluhur.ac.id,www.pakartiluhur.ac.id,-6.211248000000,106.619366000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8420DD18-E94D-4656-B358-7F2A6A74EFF2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607722,AMIK Raharja Informatika,20607722,Jl. Jendral Sudirman No. 40 Cikokol Modern  Tangerang,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,254DIKTIKEP2000,10-09-2000,,,Silakan Upload SK,,,0 m2,1.,2.,,"5529742,9238021","5529586,5529692","henderi@raharja.info,padeli@raharja.info,nur.aziz",www.raharja.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10E274F7-00F1-47A1-928E-EDBA827BEC1A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018107,"Institut Ilmu Al-Qur`an (IIQ) Jakarta, Jakarta Selatan",70018107,Jl. Ir. H. Juanda NO. 70 Ciputat,TAJUR,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,021-7402703,021-74705154,iiq@iiq.ac.id,www.iiq.ac.id,-6.307674700000,106.756411700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FAFC9BBD-0CB3-4688-86FE-69B7B1439A64,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018215,Institut Teknologi dan Bisnis Bina Sarana Global,70018215,,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,23/E/O/2021,08-02-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,021-5524142,021-5522727,kampus@global.ac.id,global.ac.id,-6.179126200000,106.608072900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/933D853A-CF1D-4E0B-8013-4D7347727BF3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607725,Politeknik Gajah Tunggal,20607725,Jalan Gatot Subroto KM-7 Komplek Gajah Tunggal,TAJUR,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,185DO1995,03-11-1995,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,-6.193044500000,106.569134300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kota Tangerang,Ciledug,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/17121B76-799F-43D1-A27A-CC7EA07B172C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019541,Sekolah Tinggi Agama Buddha Dharma Widya,70019541,Jl. Iskandar Muda/Sewan Rawa kucing No 90 Tangerang,SUDIMARA SELATAN,KEC. CILEDUG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,DJ.VI/27A/SK/2008,18-03-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,021 55793862,021 22252723,stabdw@gmail.com,http,-6.145183700000,106.619725800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
