prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8121FDE5-B45F-4DBE-99A2-A25F29B5690A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60705266,MIN 6 SELUMA,60705266,JL. RAYA PENAGO II,PENAGO II,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,NOMOR 210 TAHUN 2015,27-07-2015,NOMOR 107 TAHUN 1997,17-03-1997,Lihat SK Operasional,2017-05-08 11,B,"6,579",,2.,,,,,,-4.210934000000,102.629267000000,0,104,101,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/413E8EAA-89FA-4321-A4EF-6A096F57D517,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10704037,MTSN 3 SELUMA,10704037,JALAN RAYA PENAGO II,PENAGO II,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,NEGERI,MTs,Kementerian Agama,Pemerintah Daerah,,KMA 210 Tahun 2015,27-07-2015,KMA 558 Tahun 2003,30-12-2003,Lihat SK Operasional,2017-05-08 11,B,"7,318",,2.,,,,,,-4.198600000000,102.645300000000,0,128,96,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/35D2CD60-A353-4239-9223-1E10D46C592C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70032492,SD ISLAM,70032492,JL. Rawa Indah,RAWA INDAH,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AMANAH SUMBANG ASIH,AX5031,Nomor 03/ KY/DIKSD/IV/2020,03-04-2020,Nomor 02 Tahun 2022,19-05-2022,Lihat SK Operasional,2022-08-24 21,,0,,2.,,,,,,.000000000000,.000000000000,5,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,1,4,,,,,,,,,,,,,,,,,,,
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70CC55DC-31F5-E011-9C3B-79E81BC58264,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701412,SD NEGERI 136 SELUMA,10701412,Padang Batu,PADANG BATU,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,05-08-1985,,01-01-1910,Silakan Upload SK,,C,"1,000",1. -,2. Telkomsel Flash,PLN,,,yesiaprianiale@gmail.com,,-4.321300000000,102.797300000000,8,52,44,6,Siang/6 hari,,2022/2023-2,"1,300",6,0,1,0,2,1,1,4,7,0,1,0,2,6,1,2,5,2,2,2,0,1,0,1,2,6,6,0,0,0,1,0,0,0,1,1,1,1,1,1,SD 2013,Tidak Ada,,,
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D05C55DC-31F5-E011-B80F-0F30CFB86FC4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701590,SD NEGERI 14 SELUMA,10701590,Talang Panjang,TALANG PANJANG,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1953,01-09-1953,,01-09-1953,Silakan Upload SK,,C,"2,832",1. -,2. Telkomsel Flash,PLN,,,ulilardi12@yahoo.com,,-4.225600000000,102.677700000000,10,135,100,9,Pagi/6 hari,,2022/2023-2,900,10,0,1,0,5,3,0,2,8,1,0,1,6,4,0,5,5,1,3,2,2,0,0,2,3,7,3,5,2,0,0,1,0,0,2,2,1,1,1,2,SD 2013,Tidak Ada,,,
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/806A55DC-31F5-E011-843A-9BA044C3AB44,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701575,SD NEGERI 15 SELUMA,10701575,Dusun Baru,DUSUN BARU,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"1,200",1. -,2. Telkomsel Flash,PLN,,,sdn15selumatalobaru@gmail.com,,-4.013800000000,102.788100000000,12,76,90,8,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,8,0,0,4,10,0,1,1,3,9,0,8,4,1,5,3,0,1,0,2,3,9,6,0,0,0,1,0,0,0,1,1,1,2,2,1,SD 2013,Tidak Ada,,,
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80D955DC-31F5-E011-B158-E36EF7B61F95,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701481,SD NEGERI 155 SELUMA,10701481,Penago Dua,PENAGO BARU,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-01-1988,,01-01-2008,Silakan Upload SK,,B,"9,345",1. Telkomsel Flash,2. Indosat IM3,PLN,0,,maharini.agung@gmail.com,,-4.299800000000,102.787100000000,9,50,40,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,4,5,1,0,3,7,0,1,1,5,4,0,8,1,3,2,2,0,0,0,2,2,7,0,3,3,0,0,0,1,0,1,1,1,1,1,1,SD 2013,Telkomsel Flash,,,
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80E655DC-31F5-E011-AA14-AD5EF18AB466,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701410,SD NEGERI 164 SELUMA,10701410,Rawa Indah,RAWA INDAH,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,11-09-1993,,01-01-1910,Silakan Upload SK,,B,"5,166",1. -,2. Telkomsel Flash,PLN,,,sdn164seluma@yahoo.com,,-4.312900000000,102.798700000000,9,105,89,6,Pagi/6 hari,,2022/2023-2,"1,300",6,0,1,1,5,2,0,2,7,0,0,2,4,5,0,7,2,3,2,1,1,1,1,0,2,7,6,0,0,0,1,0,0,0,1,1,1,1,1,1,SD 2013,Tidak Ada,,,
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/007855DC-31F5-E011-8585-DD58ED9857B7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701595,SD NEGERI 31 SELUMA,10701595,Talang Kabu,TALANG KABU,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,18-03-1971,,18-07-1971,Silakan Upload SK,,C,"8,056",1. -,2. Telkomsel Flash,PLN,,,sdn31.seluma@gmail.com,,-4.313600000000,102.770900000000,8,84,78,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,4,1,0,3,7,0,1,0,5,3,0,7,1,1,3,1,1,0,0,2,2,6,0,3,3,0,0,1,0,0,1,1,1,1,1,1,SD 2013,Tidak Ada,,,
Bengkulu,Kab. Seluma,Ilir Talo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E08455DC-31F5-E011-AB66-17E4C3241854,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701717,SD NEGERI 36 SELUMA,10701717,Tanah Abang,TANAH ABANG,KEC. ILIR TALO,KAB. SELUMA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,21-01-1973,,01-01-1910,Silakan Upload SK,,C,"5,925",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,rohmatspd65@yahoo.com,,-4.322000000000,102.795000000000,10,83,85,7,Sehari Penuh/6 hari,,2022/2023-2,900,7,0,1,0,6,1,0,3,7,0,3,0,4,6,0,8,2,3,5,0,1,0,0,1,5,5,5,0,2,0,0,0,1,0,2,1,1,1,1,1,SD 2013,Telkomsel Flash,,,
