prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8B8B3D6D-E3B6-4D17-A188-5A045ADE9318,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70029048,MI JABAL NUR,70029048,JL. JAMIN GINTING NO.55 DESA SEMPAJAYA,SEMPAJAYA,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,,,,,429 TAHUN 2022,10-05-2022,Silakan Upload SK (link file tidak valid) => [206504-340914-https,2022-05-27 10,,790,,2.,,,,,,.000000000000,.000000000000,0,23,18,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E33EA015-9686-4C9E-8C44-619A91EDD236,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70035793,MI LUQMAN AL-HAKIM BRASTAGI,70035793,GG SURYA INDAH,GUNDALING I,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,,,,,430 TAHUN 2022,10-05-2022,Silakan Upload SK (link file tidak valid) => [243237-896106-https,2022-12-05 10,,0,,2.,,,,,,.000000000000,.000000000000,0,4,5,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/46A9AE98-3352-49D1-A877-58FF05C2CA19,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60703707,MIS AL - ITTIHADIYAH,60703707,"JL. GUNDALING / VAN LEITH , BERASTAGI",GUNDALING I,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,,,No 1 Tanggal 2 Agustus 2016,03-08-2016,No.1533 Tahun 2016,13-09-2016,Lihat SK Operasional,2020-02-10 14,B,0,,2.,,,,,,3.198200000000,98.508100000000,0,123,106,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/583EEB1E-29CA-4467-97DA-4A868509CC47,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60703708,MIS AL - KAROMAH,60703708,DESA SEMPA - JAYA,SEMPAJAYA,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,3.192700000000,98.515600000000,0,148,132,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D88642D7-D9DA-4A4E-B87E-AEA46F1930B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70033274,MTs LUQMAN AL-HAKIM BERASTAGI,70033274,jl.pendidikan,GUNDALING II,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,,430 TAHUN 2022,10-05-2022,Silakan Upload SK (link file tidak valid) => [235949-45978-https,2022-09-09 14,,0,,2.,,,,,,.000000000000,.000000000000,0,6,5,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BE9929AA-11EC-4317-8ABE-398D188AAA89,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264163,MTSS AL KAROMAH,10264163,JL. JAMIN GINTING KM. 1.7 DESA SEMPAJAYA BERASTAGI,SEMPAJAYA,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,3.192400000000,98.515300000000,0,101,104,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/006AF2D7-2EF5-E011-B118-73866DA8C221,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201880,SD NEGERI 040453 DOULU,10201880,Desa Doulu,DOULU,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"4,000",,2.,,,,Sdn04045320@gmail.com,,3.224345000000,98.529914000000,1,0,0,0,,,2022/2023-2,,0,0,0,0,1,0,0,0,0,0,0,1,2,-1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,SD 2013,,,,,,,,,,
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1079F2D7-2EF5-E011-86CB-633BE4340A4D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202043,SD NEGERI 040454 PECEREN,10202043,Peceren,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,INDONESIA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,639",1. -,2. Telkom Speedy,PLN,,,karuniamalau@gmail.com,,3.195275800000,98.517381200000,9,92,95,7,Pagi/6 hari,,2022/2023-2,899,2,0,1,0,9,0,0,0,4,1,3,1,5,4,0,8,1,1,2,1,1,0,1,3,0,9,0,0,2,6,0,0,1,0,SD 2013,2,1,1,1,1,1,Tidak Ada,,,
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A087F2D7-2EF5-E011-B4FE-27BBD77F57AF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10220327,SD NEGERI 040455 BERASTAGI,10220327,"JL. JAMIN GINTING, BERASTAGI",RUMAH BERASTAGI,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,A1420724,31-03-1989,,01-01-1910,Silakan Upload SK,,B,"2,688",1. Telkomsel Flash,2. Telkomsel Flash,PLN & Diesel,,,sd040455@gmail.com,,3.186637000000,98.509867000000,14,142,143,10,Sehari Penuh/6 hari,,2022/2023-2,900,9,0,1,2,9,1,0,4,8,2,4,0,5,9,0,13,1,3,4,3,1,0,3,0,1,13,9,0,0,0,1,0,0,0,SD 2013,2,2,2,2,1,1,Telkomsel Flash,,,
Sumatera Utara,Kab. Karo,Berastagi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1096F2D7-2EF5-E011-BE45-D50DB84FD413,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10220328,SD NEGERI 040456 BERASTAGI,10220328,Berastagi,R A Y A,KEC. BERASTAGI,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,12-01-1959,,01-01-1910,Silakan Upload SK,,B,"4,641",1. -,2. Telkom Speedy,PLN,,,sdn040456berastagi@gmail.com,,3.165340000000,98.509208000000,14,172,136,12,Pagi/6 hari,,2022/2023-2,900,9,0,1,2,2,8,0,4,12,0,1,1,4,10,0,14,0,7,2,0,2,0,2,1,2,12,2,0,7,4,0,0,1,0,SD 2013,2,2,2,2,2,2,Tidak Ada,,,
