prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56392218-DE85-4911-8AD3-23E5415F2372,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70028859,MI ASHHABUL QUR'AN,70028859,Jl.Situpo Raya No 20,PAKAN KURAI,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,MI,Kementerian Agama,,,193/Kw.03/2-c/PP.066/RA/04/2022,28-04-2022,276 TAHUN 2022,28-04-2022,Silakan Upload SK (link file tidak valid) => [735753-86089-478295-31005404-25543238.PDF],2022-11-17 14,,819,,2.,,,,,,.000000000000,.000000000000,0,10,5,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A680685-FEBF-40CE-ACA3-91BBD7B0DCC7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10311393,MTSS BAI`ATURRIDHWAN,10311393,JL. BAI`ATURRIDHWAN NO. 4 TANGAH SAWAH BUKITTINGGI,AUR TAJUNGKANG TENGAH SAWAH,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,MTs,Kementerian Agama,,,01,08-07-2019,363 Tahun 2019,11-09-2019,Lihat SK Operasional,2022-08-24 08,B,0,,2.,,,,,,-.300013000000,100.365377000000,0,31,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E07C5679-2FF5-E011-BD1C-0FABF66527B1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307497,SD FRANSISKUS,10307497,Jl. Bagindo Aziz Chan No. 11,BUKIT CANGANG KAYU RAMANG,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Proyaga Bukittinggi,AM0815,31,26-03-1962,420/033/DPMPTSPPTK/IOLP/2020,14-07-2020,Lihat SK Operasional,2021-04-30 00,A,"4,508",1.,2.,PLN,,,,,-.310022000000,100.370977000000,19,174,158,14,Pagi/6 hari,,2022/2023-2,"1,500",14,0,1,10,2,0,16,2,16,1,2,0,10,9,0,17,2,2,2,2,4,0,5,4,3,16,14,0,0,0,1,0,0,0,SD 2013,Telkom Speedy,2,2,2,2,3,3
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00161779-2FF5-E011-A83D-855FBB616F59,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307498,SD JAMIYYATUL HUJJAJ BUKITTINGGI,10307498,Jl. Sumurapak Jamiyyatul Hujjaj,TAROK DIPO,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Jam'iyyatul Hujjaj,AM0816,AKTA NOTARIS NO.15 TAHUN 1989,12-07-1989,420/045/DPMPTSPPTK/IOLP/2020,14-10-2020,Lihat SK Operasional,2021-03-26 13,A,"3,536",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,075233424,075233424,jamiyyatulhujjaj@yahoo.com,,-.309157000000,100.385763000000,40,357,302,24,Pagi/6 hari,,2022/2023-2,"7,700",24,1,1,24,0,0,40,11,40,0,0,0,13,27,0,34,6,16,6,2,1,9,5,1,8,32,24,0,0,0,1,0,0,0,SD 2013,Telkom Speedy,4,4,5,4,3,4
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30C11579-2FF5-E011-B6F8-FB3707A046D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307972,SD NEGERI 01 BENTENG PASAR ATAS,10307972,Jln. Yos Sudarso No.12,BENTENG PASAR ATAS,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,02-01-1952,420/42/DPMPTSPPTK-PPA/X-2019,08-10-2019,Lihat SK Operasional,2022-07-18 10,A,0,1. -,2. -,PLN,,075223285,sdn01bpa.bkt@gmail.com,,-.303952000000,100.367352000000,23,245,238,18,Siang/6 hari,,2022/2023-2,"7,499",18,1,1,2,16,2,0,5,13,0,9,1,15,8,0,19,4,4,7,5,2,1,2,2,4,19,18,0,0,0,1,0,0,0,SD 2013,Tidak Ada,3,3,3,3,3,3
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0F43278-2FF5-E011-A2D9-6FBD51E47A78,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307455,SD NEGERI 02 PERCONTOHAN,10307455,Jl. Dr. A Rivai No 9,KAYU KUBU,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-01-1910,420/035/DPMPTSPPTK/IOLP/2020,22-07-2020,Lihat SK Operasional,2020-09-08 13,A,"2,513",1. Telkomsel Flash,2. Telkom Speedy,PLN,,0752626703,sd02percontohan@yahoo.com,http,-.303808000000,100.364530000000,24,274,267,18,Pagi/6 hari,,2022/2023-2,"22,000",18,1,1,8,18,2,0,4,11,0,9,4,18,6,0,20,4,4,5,4,3,2,2,4,5,19,4,8,6,0,0,1,0,0,SD 2013,Telkomsel Flash,3,3,3,3,3,3
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0DE1579-2FF5-E011-B419-1B917239E8DC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307457,SD NEGERI 03 PAKAN KURAI,10307457,Jl. Soekarno-hatta Bukittinggi,PAKAN KURAI,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,22-05-2005,,01-01-1910,Silakan Upload SK,,A,"2,916",1. Jardiknas,2. Telkom Speedy,PLN,,07526485525,sdn03p.kurai@gmail.com,http,-.300505000000,100.374330000000,22,243,240,19,Pagi/6 hari,,2022/2023-2,"6,800",19,1,1,23,20,0,0,2,9,1,10,2,16,6,1,11,10,2,4,8,2,2,1,3,1,21,0,19,0,0,0,1,0,0,SD 2013,Jardiknas,3,3,3,3,3,4
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30ED1579-2FF5-E011-AC17-910C32B1886B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307973,SD NEGERI 04 BUKIT APIT PUHUN,10307973,Jl. Tabek Tuhua,BUKIT APIT PUHUN,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1926,420/012/DPMPTSPPTK/IOLP/2022,17-05-2022,Lihat SK Operasional,2022-05-30 11,A,0,1. -,2. Telkom Speedy,PLN,,075223399,sdn04bukitapitpuhun@gmail.com,,-.293510000000,100.354462000000,9,67,58,6,Pagi/6 hari,,2022/2023-2,"1,300",6,0,1,2,6,0,0,3,4,0,4,1,7,2,0,6,3,0,3,4,1,0,1,0,2,7,0,6,0,0,0,1,0,0,SD 2013,Tidak Ada,1,1,1,1,1,1
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20FC1579-2FF5-E011-95EB-259C320AD235,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307464,SD NEGERI 05 TAROK DIPO,10307464,Jl.Pincuran Gaung,TAROK DIPO,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,DA-2/HP/759/III/2B/1986/1987,14-01-1987,400.3/001/DPMPTSP/IO-SD/2023,10-02-2023,Silakan Upload SK (link file tidak valid) => [808460-271641--],2023-03-28 08,B,"2,206",1. Lainnya,2. Telkom Speedy,PLN,,07526481212,sdn05tdipo@gmail.com,http,-.311000000000,100.377700000000,8,67,86,6,Pagi/6 hari,,2022/2023-2,"2,200",5,0,0,1,6,0,0,2,3,0,5,0,7,1,0,8,0,0,3,0,2,0,2,1,3,5,5,0,0,1,0,0,0,1,SD 2013,Lainnya,1,1,1,1,1,1
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20BE1679-2FF5-E011-9392-331359E56477,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307465,SD NEGERI 06 AUR TAJUNGKANG TENGAH SAWAH,10307465,Jl.SYEKH IBRAHIM MUSA,AUR TAJUNGKANG TENGAH SAWAH,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,231/1312/1978,01-01-1978,420/05/DPMPTSPPTK-PPA/I/2019,25-01-2019,Lihat SK Operasional,2022-06-06 15,A,"1,476",1. -,2. Lainnya (Serat Optik),PLN,,0752624710,sdn06atts@gmail.com,http,-.309142000000,100.374577000000,8,83,79,6,Pagi/6 hari,,2022/2023-2,"2,300",6,0,1,6,6,0,0,2,3,0,5,0,7,1,1,7,0,0,0,4,2,0,1,1,2,6,6,0,0,0,1,0,0,0,SD 2013,Tidak Ada,1,1,1,1,1,1
