prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4B7CA2C6-5164-448F-86B3-A45952781FC0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70026045,MI KARAKTER MUTIARA BUNDA BALI,70026045,"Jalan Pura Dalem Penataran Anyar, Gg, Nuri No, 99",PEMOGAN,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,SWASTA,MI,Kementerian Agama,Yayasan MUTIARA BUNDA BALI,AK9148,B-372/Kw.18.3/1/PP.00/04/2021,27-04-2021,186 TAHUN 2021,22-04-2021,Lihat SK Operasional,2022-03-16 02,,1.500 m2,1.,2.,,,,,,-8.696700000000,115.200000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F850C7C1-25AD-493A-8A21-680CAD0A7B22,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60721571,MIN DENPASAR,60721571,JLN.RAYA PEMOGAN GG.SHOLEH KAMPUNG ISLAM KEPAON PEMOGAN DENPASAR SELATAN,PEMOGAN,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,No 515A Tahun 1995,25-11-1995,No 12 Tahun 1997,20-01-1997,Lihat SK Operasional,2017-02-23 11,A,800 m2,1.,2.,,,,,,-8.696800000000,115.198200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/23704275-65C5-4CBB-8053-94A43C75CDEC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69881966,MIS Al Hudy,69881966,Jl. Pulau Bungin Gg. Perbatasan No. 5A,PEMOGAN,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,SWASTA,MI,Kementerian Agama,Lainnya,,Kw.18.3/1/PP.00/15631/2014,10-10-2014,Kw.18.3/1/PP.00/15631/2014,10-10-2014,Silakan Upload SK (link file tidak valid) => [726188-942136--],2022-10-26 07,B,0 m2,1.,2.,,,,,,-8.698797000000,115.223881000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7D2024CC-801A-4940-8E50-75A5D277EB8A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60721572,MIS AL-MUHAJIRIN,60721572,"JL. TAMAN PANCING, KAMPUNG ISLAM KEPAON DENPASAR",PEMOGAN,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,SWASTA,MI,Kementerian Agama,,,Nomor 325 Tahun 2008,14-05-2008,Nomor 325 Tahun 2008,14-05-2008,Lihat SK Operasional,2018-07-11 10,B,0 m2,1.,2.,,,,,,-8.719434000000,115.201277000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/33433F67-A62B-4F3A-8DEB-045D053BBDA7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69819650,MIS Alam Jamur,69819650,Jl. Tukad Batanghari 4C no 5 Panjer Denpasar,PANJER,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,SWASTA,MI,Kementerian Agama,Lainnya,,640 TAHUN 2013,04-11-2013,640 TAHUN 2013,04-11-2013,Lihat SK Operasional,2021-12-16 11,B,0 m2,1.,2.,,,,,,-8.718059000000,115.209184000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EB1FEEC6-7258-40C2-BB37-FF1112D22D31,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60721573,MIS HIDAYATULLAH,60721573,JL. RAYA PEMOGAN. GG. TAMAN NO. 20X,PEMOGAN,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,SWASTA,MI,Kementerian Agama,,,Mw.9/B/I-d/PP.00.4/242/2002,22-03-2004,Mw.9/B/I-d/PP.00.4/242/2002,22-03-2004,Lihat SK Operasional,2017-02-23 13,A,800 m2,1.,2.,,,,,,-8.706829000000,115.206549000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3599D585-31AE-48B2-8873-34A0E0CA18FB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60721574,MIS TAWAKKAL,60721574,JL. RAYA PUPUTAN NO. 26 RENON DENPASAR,RENON,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,SWASTA,MI,Kementerian Agama,,,Nomor 509 Tahun 2016,30-08-2016,Nomor 509 Tahun 2016,30-08-2016,Lihat SK Operasional,2017-03-16 09,A,1.600 m2,1.,2.,,,,,,-8.699036000000,115.236916000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E1E4EDCF-D847-400E-BD4E-3061BD69DC83,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70027003,MTs AL HUDY,70027003,Jl. Pura Taman Sari Mekar Jaya Banjar Dukuh Tangkas Desa Pemogan Kec. Denpasar S,PEMOGAN,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,SWASTA,MTs,Kementerian Agama,,,,01-01-1900,342 TAHUN 2021,27-07-2021,Silakan Upload SK (link file tidak valid) => [607585-433706--],2022-03-25 10,,1.500 m2,1.,2.,,,,,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E95006E7-F30E-49D3-B03F-0FBDF662F0AD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70033065,MTs Karakter Mutiara Bunda Bali,70033065,"Jl. Pura Dalem Penataran Anyar, Gg. IX, Gg Nuri, No. 99 Pemogan",PEMOGAN,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,SWASTA,MTs,Kementerian Agama,Yayasan MUTIARA BUNDA BALI,AK9148,,,369 TAHUN 2022,12-08-2022,Silakan Upload SK (link file tidak valid) => [233211-93044-https,2022-09-06 11,,2.000 m2,1.,2.,,,,,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,Kota Denpasar,Denpasar Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FAD26C8D-6D32-42E9-84E0-68FC16AD7889,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69975800,MTS TERPADU ALAM JAMUR,69975800,JL. TUKAD BATANGHARI IVC NO.5 PANJER DENPASAR,PANJER,KEC. DENPASAR SELATAN,KOTA DENPASAR,PROV. BALI,SWASTA,MTs,Kementerian Agama,,,023 TAHUN 2018,23-01-2018,023 TAHUN 2018,23-01-2018,Lihat SK Operasional,2021-08-02 18,B,0 m2,1.,2.,,,,,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
