prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E99BE4E6-BF5D-4A49-98D0-0D458CA86106,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70007549,MTSS AL HUSNA,70007549,JL. LINTAS KABUPATEN (PURUN-TANAH ABANG) DESA PURUN,PURUN,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,SWASTA,MTs,Kementerian Agama,,,No. 703 Tahun 2019,06-09-2019,B-733/KW.06.4.5/KS.0.2/09/2019,06-09-2019,Lihat SK Operasional,2021-02-02 07,B,"20,000",,2.,,,,,,-3.249530000000,104.068530000000,0,45,41,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8214363E-058C-40DF-B23D-92BC3E2E3243,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70025761,SD IT BAROKAH QURAN,70025761,Jalan Lingkar Desa Babat Kecamatan Penukal Kabupaten PALI,BABAT,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN SALFAKINAH BAROKAH QUR'AN,AX2103,421/01.00/YPPSBQ/VIII/BBT/2021,18-08-2021,503/003/IOS/DPMPTSP-3/2022,10-02-2022,Lihat SK Operasional,2022-04-10 08,,0,,2.,,0,,sditbarokahquran@gmail.com,,-3.220200000000,104.060100000000,3,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,1,2,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,SD 2013,,,,,,,,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E89535B0-8F9F-4D34-940B-D061FA724F76,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70035983,SD IT INSAN MADANI,70035983,Jl. Lingkar Pasar Dusun II Desa Babat,BABAT,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,AHU-00009.AH.02.01 TAHUN 2015,22-01-2015,503/013/IOS/DPMPTSP-3/2022,01-12-2022,Lihat SK Operasional,2022-12-12 05,,"5,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,1,3,1,1,Sehari Penuh/5 hari,,2022/2023-2,900,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,SD 2013,1,0,0,0,0,0,Telkomsel Flash,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C07E1ECB-BFFD-E111-BB5D-377D400D3796,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10648300,SD NEGERI 14 PENUKAL,10648300,Jalan Raya Purun-Tanah Abang,PURUN,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,32 Tahun 2012,07-08-2012,32 Tahun 2012,07-08-2012,Lihat SK Operasional,2021-12-09 00,Sertifikat Kedaluwarsa,"8,118",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn14penukal@yahoo.co.id,,-3.167400000000,104.195500000000,13,94,65,6,Sehari Penuh/6 hari,,2022/2023-2,900,6,0,0,2,5,1,0,7,9,0,4,0,3,10,0,8,5,7,1,1,0,0,3,1,4,9,0,6,0,0,0,0,0,0,SD 2013,1,1,1,1,1,1,Telkomsel Flash,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50B07D3F-1526-E111-99ED-117BB13EC666,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10645352,SD NEGERI 3 PENUKAL,10645352,Jl. Perintis Kemerdekaan,AIR ITAM,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,243BXIIIPDK1983,04-07-1983,243BXIIIPDK1983,01-07-1983,Silakan Upload SK (link file tidak valid) => [667817-180863--],2022-08-01 05,B,"5,200",1. Telkomsel Flash,2. -,PLN,,,sdn3_penukal@yahoo.com,,-3.120100000000,104.067500000000,15,126,125,10,Pagi/6 hari,,2022/2023-2,900,10,0,1,2,6,2,0,7,9,2,4,0,5,10,1,13,1,3,1,3,3,1,0,4,3,12,10,0,0,0,1,0,0,0,SD 2013,2,2,2,1,2,1,Telkomsel Flash,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40A318E3-5801-E211-ACC1-71A6C9A78AB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10645348,SD NEGERI 7 PENUKAL,10645348,DESA GUNUNG RAJA,GUNUNG RAJA,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,1978,01-05-1978,420/36/DISDIK-II/2017,01-05-2017,Lihat SK Operasional,2021-12-02 14,B,"10,000",1. -,2. Telkomsel Flash,PLN,,,sdnegeri7penukal@gmail.com,,-3.203200000000,104.049100000000,18,104,80,10,Pagi/6 hari,,2022/2023-2,900,6,0,1,6,9,3,0,6,10,2,4,2,9,9,0,5,13,3,1,7,0,2,2,3,4,14,6,0,0,3,1,0,0,0,SD 2013,1,2,1,2,2,2,Tidak Ada,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00407D3F-1526-E111-95C6-A5D7E36CD342,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10645350,SDN 1 PENUKAL,10645350,Desa Air Itam,AIR ITAM,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,306/Al/1952,13-11-1952,306/AL/89,13-11-2011,Lihat SK Operasional,2018-04-26 15,B,"1,500",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,teas_ly@yahoo.com,,-3.115000000000,104.071500000000,23,223,232,16,Pagi/6 hari,,2022/2023-2,"1,300",18,0,1,4,7,5,0,11,17,0,5,1,5,18,0,14,9,5,7,3,3,0,3,2,7,16,0,17,1,0,0,1,0,0,SD 2013,2,3,3,2,3,3,Telkomsel Flash,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80E67F3F-1526-E111-87D7-5F2D175FA37D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10645362,SDN 10 PENUKAL,10645362,Jalan Raya Teluk Lubuk - Sekayu,RAJAJAYA,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,306/Al/1961,06-02-1961,420/855/DISDIK-II/2021,25-11-2021,Lihat SK Operasional,2021-11-26 05,B,"1,782",1. -,2. -,PLN,,,sdnegeri10penukal@gmail.com,http,-3.161100000000,104.000700000000,11,102,83,8,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,4,1,0,6,8,0,3,0,3,8,1,8,2,2,3,4,1,1,0,0,6,5,0,3,3,0,0,1,0,0,SD 2013,1,1,1,2,2,1,Tidak Ada,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C067813F-1526-E111-A4A1-09E97F952751,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10645382,SDN 11 PENUKAL,10645382,Spantan Jaya,SPANTAN JAYA,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,243/B/XIII/PDK/1983,01-04-1983,420/905/DISDIK-II/2021,01-12-2021,Lihat SK Operasional,2021-12-03 04,B,"10,000",1. -,2. Telkomsel Flash,PLN,,,sdn11penukal@gmail.com,http,-3.125800000000,104.038500000000,17,102,86,10,Pagi/6 hari,,2022/2023-2,900,7,0,1,0,9,1,0,7,12,0,5,0,6,11,0,16,1,2,4,7,1,1,0,2,10,7,2,3,2,0,1,0,0,0,SD 2013,2,2,1,1,2,2,Tidak Ada,,,
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,Penukal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7092813F-1526-E111-B69D-EF14E025C713,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10645383,SDN 12 PENUKAL,10645383,Desa Sungai Langan,SUNGAI LANGAN,KEC. PENUKAL,KAB. PENUKAL ABAB LEMATANG ILIR,PROV. SUMATERA SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,243/B/XIII/1983,05-04-1983,420/886/DISDIK-II/2021,29-11-2021,Lihat SK Operasional,2021-11-30 09,B,"6,889",1. -,2. -,PLN,,,sdn12penukal@yahoo.com,,-3.120200000000,103.885400000000,13,96,98,9,Pagi/6 hari,,2022/2023-2,"1,200",7,0,1,2,5,1,0,7,8,0,5,0,4,9,0,11,2,2,4,3,1,1,1,1,4,9,4,0,3,3,0,1,0,0,SD 2013,2,1,1,2,1,2,Tidak Ada,,,
