prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BDBF8931-AC7A-43B7-9D24-67D4C53AC970,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729470,MIS AL MUTTAQIN,60729470,JL. RAYA LAIS BENGKULU,PAL TIGA PULUH,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Bengkulu Utara,AX6353,Kd.07.2/4/PP.3.02/0350.a/2012,01-10-1991,Kd.07.2/4/PP.3.02/0350.p/2012,01-06-2012,Lihat SK Operasional,2019-10-03 15,C,0,,2.,,,,,,-3.531000000000,102.047900000000,0,54,49,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/01FE661C-85F1-4F9A-9819-C1A8580E3263,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60705259,MIS TABA BARU,60705259,JLN. POROS LAIS-ARGA MAKMUR DESA TABA BARU KEC. LAIS,PASAR LAIS,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-3.504516000000,102.092069000000,0,94,101,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/81545954-2FD2-465C-BC18-C4DDAD9CEFFD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10704033,MTsN 3 BENGKULU UTARA,10704033,"JL. RAYA LAIS - BENGKULU, DESA PAL 30, KEC. LAIS",PAL TIGA PULUH,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,NEGERI,MTs,Kementerian Agama,Pemerintah Daerah,,Kd.07.2/4/PP.03.2/391/2009,09-07-2009,Kd.07.2/4/PP.03.2/391/2009,09-07-2009,Silakan Upload SK (link file tidak valid) => [801713-305836--],2023-03-17 08,A,"9,205",,2.,,,,,,-3.528900000000,102.069132000000,0,156,173,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E8865A26-A0A6-4760-96AC-49E6A3B65D36,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70038451,SDIT Isnania Fisailillah,70038451,Jalan Lintas Utara,PAL TIGA PULUH,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,503/01/SD/DPMPTSP/IV/2022,12-12-2022,421.2/0022/C/Dispendik/2023,05-01-2023,Lihat SK Operasional,2023-04-05 12,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70B840DC-31F5-E011-A912-3B2594B77EA9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10700310,SDN 017 BENGKULU UTARA,10700310,Jalan Raya Lais,PASAR LAIS,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1951,,08-07-1951,Silakan Upload SK,,B,"1,512",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sd1lais@yahoo.co.id,,-3.422000000000,102.199600000000,9,74,84,8,Pagi/6 hari,,2022/2023-2,900,18,0,2,0,3,0,0,6,6,0,1,2,4,5,1,7,1,3,0,1,1,1,2,1,0,9,18,0,0,0,1,0,1,0,1,1,2,2,1,1,SD 2013,Telkomsel Flash,,,
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60C740DC-31F5-E011-856A-F9C3B84E5B11,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10700316,SDN 018 BENGKULU UTARA,10700316,Desa Pal 30 Lais,PAL TIGA PULUH,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,01/01/1977,01-01-1988,01/01/1988,01-01-1988,Silakan Upload SK,,A,"6,400",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sdn018bengkuluutara@gmail.com,,-3.537000000000,102.060400000000,15,133,140,11,Pagi/6 hari,,2022/2023-2,898,13,0,2,1,9,0,0,6,6,1,3,5,10,5,0,9,6,1,4,2,2,2,2,2,1,14,13,0,0,0,2,0,0,0,3,1,2,2,2,1,SD 2013,Telkomsel Flash,,,
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60E440DC-31F5-E011-82FF-51FCFABC346E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69863211,SDN 019 BENGKULU UTARA,69863211,Desa Dusun Raja,DUSUN RAJA,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421/794/Dikbud/2016,17-11-2016,421/794/Dikbud/2016,17-11-2016,Lihat SK Operasional,2022-02-08 08,B,"2,100",1. Telkomsel Flash,2. -,PLN,,,sdn019laisbengkuluutara@gmail.com,,-3.529100000000,102.033800000000,8,65,64,6,Sehari Penuh/6 hari,,2022/2023-2,898,7,0,0,1,8,0,0,0,0,2,2,4,7,1,0,6,2,0,0,1,1,1,1,4,1,7,7,0,0,0,0,0,0,0,1,1,1,1,1,1,SD 2013,Telkomsel Flash,,,
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0F240DC-31F5-E011-AD1C-8DD42E7D9500,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10700344,SDN 020 BENGKULU UTARA,10700344,DesaLUBUK GEDANG,LUBUK GEDANG,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,01/01/1979,01-01-1974,01/01/1979,01-01-1974,Lihat SK Operasional,2019-02-11 10,B,"7,138",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0,0,sd04lais@gmail.com,,-3.279000000000,102.089700000000,9,92,93,8,Pagi/6 hari,,2022/2023-2,950,9,0,1,2,4,0,0,5,5,0,2,2,5,4,0,7,2,1,2,0,1,1,2,2,3,6,3,3,3,0,0,0,1,0,2,1,1,2,1,1,SD 2013,Telkomsel Flash,,,
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E00F41DC-31F5-E011-8E13-A9A457BE4CB5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10702937,SDN 021 BENGKULU UTARA,10702937,Desa TABA BARU,TABA BARU,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,14-07-1976,107 TAHUN 2012,07-06-2012,Silakan Upload SK,,B,"4,960",1. Telkomsel Flash,2. Telkomsel Flash,PLN,000000000,,sdn021bu@gmail.com,http,-3.444900000000,102.218600000000,9,31,16,6,Pagi/6 hari,,2022/2023-2,900,7,0,0,0,1,0,0,8,8,0,1,0,4,5,0,6,3,2,4,1,1,1,0,0,2,7,0,3,4,0,0,0,0,0,1,1,1,1,1,1,SD 2013,Telkomsel Flash,,,
Bengkulu,Kab. Bengkulu Utara,Lais,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/501E41DC-31F5-E011-9784-2BD05DCB5F52,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69863207,SDN 022 BENGKULU UTARA,69863207,Desa Talang Rasau,TALANG RASAU,KEC. LAIS,KAB. BENGKULU UTARA,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1978,05-05-1978,-800/1035/Dispendik/2019,04-03-2019,Lihat SK Operasional,2019-03-27 22,A,"5,280",1. -,2. Lainnya,PLN,082379481632,,sdn06lais@yahoo.co.id,,-2.806200000000,101.859600000000,13,126,95,11,Pagi/6 hari,,2022/2023-2,199,26,0,1,2,6,2,0,5,7,1,3,2,7,6,0,11,2,0,1,5,3,0,1,3,2,11,16,3,7,0,1,0,0,0,2,2,1,2,2,2,SD 2013,Tidak Ada,,,
