prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AFB53138-2099-47E5-90E1-B64E3FE2B63E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60709162,MIS DARUL HUDA CILEBAR,60709162,Dsn. Kosambi Batu 1 RT. 02/01,KOSAMBIBATU,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,421.2/Kep.422-Huk/2010,01-06-2010,Silakan Upload SK,,B,0,,2.,,,,,,-6.118300000000,107.403000000000,0,35,20,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EDC40D62-FEDD-4632-8ED0-B2FD03E0F831,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60709163,MIS MATHLA`UL HUDA,60709163,Jl. Kh. Badrun No. 218,SUKARATU,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,421.2/Kep.422-Huk/2010,01-06-2010,Silakan Upload SK,,A,0,,2.,,,,,,-6.147000000000,107.394700000000,0,84,77,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1DC8D418-3B1C-487F-B68B-774D23355E2C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20279214,MTSS MATHLAUL HUDA,20279214,Jalan Kiyai Badrun No. 218,CIKANDE,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,SWASTA,MTs,Kementerian Agama,,,Wi/I/HK.008/16/94,08-03-1994,421.2/Kep.422-Huk/2010,01-06-2010,Lihat SK Operasional,2019-11-27 13,B,0,,2.,,,,,,-6.146400000000,107.392900000000,0,106,105,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8569B999-DCB0-4640-8B16-C20308494703,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70037987,SDIT AL-IKHWAN,70037987,Dusun Cibadar II RT 010 RW 004,CIPTAMARGI,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,AHU-0012237.AH.01.04.Tahun 2022,09-06-2022,503/4058/9/IPSS/IX/DPMPTSP/2022,30-09-2022,Lihat SK Operasional,2023-03-09 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40478A12-2CF5-E011-BDFD-6F8218B3135B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20236079,SDN CIKANDE I,20236079,Dusun Cikande I,CIKANDE,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,02-01-1967,421.2/Kep.422-Huk/2010,01-06-2010,Silakan Upload SK,,B,"1,241",1. Indosat Mentari,2. Lainnya (Wavelan),PLN,,,sdn_cikande1@yahoo.com,,-6.147200000000,107.394100000000,9,83,85,6,Pagi/6 hari,,2022/2023-2,450,5,0,0,0,1,1,0,7,8,0,1,0,2,7,0,5,4,1,4,2,0,0,1,1,4,5,0,3,2,1,0,0,0,0,1,1,1,1,1,1,SD 2013,Indosat Mentari,,,
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20558A12-2CF5-E011-97D1-CF53C1BB09C2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20236080,SDN CIKANDE II,20236080,Dusun Cikande III  RT 02 RW 03,CIKANDE,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0,01-05-1982,421.2/Kep.422-Huk/2010,01-06-2010,Silakan Upload SK,,B,"1,242",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,,sdn.cikande2@yahoo.com,http,-6.008500000000,107.318000000000,7,89,65,6,Pagi/6 hari,,2022/2023-2,"2,200",3,0,0,2,2,1,0,4,5,1,1,0,2,5,0,6,1,2,0,2,0,1,1,1,4,3,0,3,0,3,0,0,0,0,1,1,1,1,1,1,SD 2013,Lainnya (Serat Optik),,,
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60868A12-2CF5-E011-BEF4-A1C4E8C4D5C9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20236124,SDN CIPTAMARGI I,20236124,Jalan Tegal Buah,CIPTAMARGI,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,05-01-1965,421.2/Kep.422-Huk/2010,01-06-2010,Silakan Upload SK,,B,"10,000",1.,2.,PLN,,,,,-6.357800000000,107.444600000000,8,83,84,6,Pagi/6 hari,,2022/2023-2,900,3,0,0,1,4,1,0,3,6,0,1,1,4,4,0,5,3,0,2,2,1,0,2,1,4,4,0,3,0,3,0,0,0,0,1,1,1,1,1,1,SD 2013,Lainnya (Satelit),,,
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0948A12-2CF5-E011-9EDE-AB6E26AC0DD5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20236125,SDN CIPTAMARGI II,20236125,Dusun Tegal Buah,CIPTAMARGI,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,474/09/DS/2007,02-03-2007,421.2/Kep.422-Huk/2010,01-06-2010,Silakan Upload SK (link file tidak valid) => [534682-508408--],2021-10-28 08,B,"5,148",1. Indosat IM3,2. -,PLN,,,sdnciptamargi2@gmail.com,,-6.173100000000,107.393600000000,5,89,73,6,Pagi/6 hari,,2022/2023-2,450,7,0,1,1,2,0,0,3,4,0,1,0,3,2,1,3,1,0,1,1,0,0,3,0,4,1,0,7,0,0,0,0,1,0,1,1,1,1,1,1,SD 2013,Indosat IM3,,,
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0A98A12-2CF5-E011-B9C3-0F89FB17514C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20236126,SDN CIPTAMARGI III,20236126,Dusun Cibadar 1 RT. 8 RW. 3,CIPTAMARGI,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.2/SK-173/1992,30-11-1992,421.2/Kep.422-Huk/2010,01-06-2010,Lihat SK Operasional,2016-08-09 08,B,"1,426",1. Indosat Mentari,2. Lainnya,PLN,0,,sdnciptamargi_3@yahoo.com,,-6.162900000000,107.405900000000,7,105,95,6,Pagi/6 hari,,2022/2023-2,450,7,0,1,1,3,0,0,4,5,0,1,1,3,4,1,6,0,0,1,2,2,1,0,1,3,4,7,0,0,0,1,0,0,0,1,1,1,1,1,1,SD 2013,Indosat Mentari,,,
Jawa Barat,Kab. Karawang,Cilebar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0FE8A12-2CF5-E011-82D3-09C148581683,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20236127,SDN CIPTAMARGI IV,20236127,Dusun Cilenjoh,CIPTAMARGI,KEC. CILEBAR,KAB. KARAWANG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,981/Pssd/1985,15-07-1985,421.2/Kep.422-Huk/2010,01-06-2010,Lihat SK Operasional,2015-10-14 17,B,"1,365",1. -,2. -,PLN,,,margicipta4@gmail.com,,-6.165700000000,107.394200000000,7,79,76,6,Pagi/6 hari,,2022/2023-2,900,3,0,0,2,3,1,0,3,6,0,0,1,3,4,0,6,1,1,1,2,1,0,1,1,3,4,3,0,0,3,0,0,0,0,1,1,1,1,1,1,SD 2013,Tidak Ada,,,
