prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00D63DF4-8B18-E111-A9E4-DB8ED5502847,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20500513,UPT SMP NEGERI 22 GRESIK,20500513,Jl. Raya Bengawan Solo 91-93,RANDUAGUNG,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,400/4059/437.53/ 2019,02-08-1988,400/4059/437.53/ 2019,01-10-2019,Lihat SK Operasional,2019-10-03 13,A,0,1. -,2. Telkom Speedy,PLN,,3983689,smpnegeri2kebomas@yahoo.co.id,,-7.161300000000,112.618600000000,45,419,439,27,SMP 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"22,000",21,1,1,21,35,4,0,6,11,1,14,19,34,11,1,39,5,6,1,4,6,5,9,14,13,32,9,9,9,4,11,6,6,0,1,0,0,,,,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3CA57FC-41F1-4BD6-95B8-151D9B09CB48,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60719041,MIS AL FALAH,60719041,JL.RAYA KEDANYANG KEBOMAS GRESIK,KEDANYANG,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Wilayah Prov. Jawa Timur,AX6731,L.m/3/1142/A/1978,20-03-1978,MIS/25.0078/2017,11-08-2017,Lihat SK Operasional,2017-11-29 08,A,0,,2.,,,,,,-7.184600000000,112.609000000000,0,232,223,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8570D50-29B8-4275-AC30-1D67BDD28D8B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60719040,MIS AL MATHLABATUL KHOIRIYAH,60719040,JL. JAMBU RAYA NO. 10 SUKOREJO KEBOMAS GRESIK,SUKOREJO,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Wilayah Prov. Jawa Timur,AX6731,AHU-119.AH.01.08TAHUN2013,26-06-2013,MIS/25.0049/2017,11-08-2017,Lihat SK Operasional,2017-11-27 12,A,0,,2.,,,,,,-7.192000000000,112.635800000000,0,63,52,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8BD65633-265D-4F54-8040-5A57F123B2A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60719047,MIS MA`ARIF NU AL HASANI,60719047,JL. SUNAN PRAPEN 2 AF NO. 3,KLANGONAN,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Wilayah Prov. Jawa Timur,AX6731,Mm.12/05.00/PP.03.2/30/1998,31-08-1998,MIS/025.0343/2017,11-08-2017,Lihat SK Operasional,2018-05-28 10,B,0,,2.,,,,,,-7.169100000000,112.630300000000,0,54,58,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/04ED791E-EE57-45C9-BEF1-0506D091E66E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60719043,MIS MA`ARIF NU NGARGOSARI,60719043,JL.DEWI SEKARDADU 35 NGARGOSARI,NGARGOSARI,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Wilayah Prov. Jawa Timur,AX6731,5021 Tahun 2017,11-08-2017,MIS / 25.0153 / 2017,11-08-2017,Lihat SK Operasional,2021-04-30 10,B,0,,2.,,,,,,-7.183500000000,112.637500000000,0,36,27,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/026FF0F3-B031-42D0-A534-602FC438F520,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60719038,MIS MA`ARIF NU SIDOMUKTI,60719038,JL. SUNAN GIRI XIII/E NO,SIDOMUKTI,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Wilayah Prov. Jawa Timur,AX6731,7986,01-04-1960,MIS/25.0006/2017,11-08-2017,Lihat SK Operasional,2017-11-28 12,A,0,,2.,,,,,,-7.171700000000,112.633300000000,0,266,272,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DCD39385-9333-49A6-9013-D9CC765DA736,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60719048,MIS MANBA`UR ROHMAH,60719048,JL. DR. WAHIDIN SH RT 3 RW 8 DUSUN SUMBER,KEMBANGAN,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Wilayah Prov. Jawa Timur,AX6731,,11-08-2017,,11-08-2017,Silakan Upload SK,,A,0,,2.,,,,,,-7.164700000000,112.613800000000,0,115,102,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/142F310D-DC6C-47E8-9773-98FB023CB636,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60719039,MIS MASYHUDIYAH,60719039,JL. SUNAN GIRI 18 F / 08 KEBOMAS GRESIK,GIRI,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,L.m./3/1149/A/1978,20-03-1978,MIS / 25.0019 / 2017,11-08-2017,Lihat SK Operasional,2017-11-28 15,A,0,,2.,,,,,,-7.170000000000,112.633500000000,0,188,167,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B56E5BAA-E5CE-4289-B8DB-D5BB288B4E22,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60719042,MIS MIFTAHUL HUDA,60719042,JL. KH. SYAFI`I  GG,DAHANREJO,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Wilayah Prov. Jawa Timur,AX6731,PP/202/A-8/VII/1973,18-07-1973,MIS / 25.0126 / 2017,18-08-2017,Lihat SK Operasional,2018-05-30 09,B,0,,2.,,,,,,-7.163300000000,112.589700000000,0,41,41,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Gresik,Kebomas,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B60BA620-44C6-4D6F-A330-A65E1D76F27F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60719046,MIS MODERN SUNAN GIRI,60719046,JL. SUNAN GIRI 82,SINGOSARI,KEC. KEBOMAS,KAB. GRESIK,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-7.169100000000,112.636100000000,0,141,144,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
