prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9DACA9A-DFF7-4FB4-9ACA-9E4869A1D980,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70028543,SDIT SHOHIBUL  QURAN,70028543,INDOBALEH BARAT,MUNGO,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN ALHIDAYAH PADANG MENGATAS,AX2262,58,17-01-2018,420/502/3/DPK-LK/IV-2022,01-04-2022,Silakan Upload SK (link file tidak valid) => [744743-637712--],2022-12-14 13,,960,,2.,,,,sditshohibulquran.pm@gmail.com,,.000000000000,.000000000000,5,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,0,0,6,0,5,0,0,0,1,4,0,1,4,2,1,2,0,0,0,0,1,4,,,,,,,0,0,0,0,0,0,0,0,,,,
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/992D53F3-A159-4C5D-854B-CD95FFB28FC8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856868,SMP CAHAYA ISLAM 2,69856868,"Jl. Nagari Sungai Kamuyang, Jr.  Tabiang",SUNGAI KAMUYANG,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Al-Islam Payakumbuh,AB8773,37/YAI-PYK/S/V/2014,05-05-2014,007/OPR/BPMPPT-LK/III/2014,10-03-2014,Lihat SK Operasional,2023-01-18 10,B,"157,800",1. -,2. Telkomsel Flash,PLN,,075290034,smpcahayaislam2@gmail.com,http,-.255800000000,100.684700000000,15,110,0,5,SMP 2013,Siang/6 hari,,2022/2023-2,"16,500",6,1,1,2,0,0,19,1,15,0,0,0,1,14,0,10,5,7,5,1,1,1,0,0,5,10,,,,,,,6,0,0,0,1,0,0,0,Tidak Ada,2,2,1
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/102E9179-2FF5-E011-BDA9-61F239A44AF0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10301180,SMP MUHAMMADIYAH ANDALEH,10301180,Jln. Raya Nagari Andaleh,ANDALEH,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AO5526,1980/11-67/SB-78/1980,09-01-1987,E-1/0683/1980,12-05-1980,Silakan Upload SK,,B,"4,170",1. -,2. Telkomsel Flash,PLN,,,smpandaleh.dapodik@gmail.com,,-.246200000000,100.689100000000,11,47,30,3,SMP 2013,Pagi/6 hari,,2022/2023-2,900,4,1,1,2,0,0,11,1,11,0,0,0,2,9,0,5,6,0,1,3,4,0,0,3,2,9,,,,,,,1,3,0,0,1,0,0,0,Tidak Ada,1,1,1
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E5880D0B-49F9-4F95-ADA5-91E1A5508640,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304380,UPTD SD NEGERI  04 TANJUANG HARO SIKABU-KABU PD. PANJANG,10304380,JORONG BUKIK KANDUANG,TANJUANG ARO SIKABU-KABU PD. PANJANG,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1992-01-01,01-01-1992,1992-07-06,06-07-1992,Lihat SK Operasional,2020-01-06 09,B,"2,835",1. -,2. Telkom Speedy,PLN,,,sdn05tanjungharo@gmail.com,,-.304500000000,100.593300000000,8,46,41,6,SD 2013,Pagi/6 hari,,2022/2023-2,"1,200",12,0,2,6,3,4,0,1,6,0,1,1,4,4,0,6,2,0,3,4,0,0,0,1,1,7,1,1,1,1,1,1,12,0,0,0,2,0,0,0,Tidak Ada,,,
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A03E7278-2FF5-E011-A427-33191252193D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304205,UPTD SD NEGERI 01 ANDALEH,10304205,Sdn 01andaleh,ANDALEH,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,02-08-1956,,02-08-1956,Lihat SK Operasional,2019-11-23 07,A,"5,087",1. -,2. Telkom Speedy,PLN,,07528803040,01esdeenandaleh@gmail.com,,-.253600000000,100.686500000000,7,54,48,6,SD 2013,Pagi/6 hari,,2022/2023-2,"2,200",6,0,1,1,5,1,0,1,2,0,3,2,7,0,1,6,0,0,0,2,0,1,1,3,2,5,1,1,1,1,1,1,0,6,0,0,0,1,0,0,Tidak Ada,,,
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/509B4779-2FF5-E011-956F-3BC868D53A54,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304226,UPTD SD NEGERI 01 MUNGO,10304226,Mungo,MUNGO,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,26-12-1918,420/049/DPK-LK/III-2021,12-03-2021,Lihat SK Operasional,2021-04-13 16,A,"1,800",1. Telkom Speedy,2. Telkom Speedy,PLN,,0752759267,syafria612@yahoo.com,,-.250900000000,100.695200000000,16,104,120,12,SD 2013,Sehari Penuh/6 hari,,2022/2023-2,"2,100",12,0,1,1,7,5,0,4,10,2,1,3,9,7,0,14,2,3,3,4,2,0,2,2,3,13,2,2,2,2,2,2,0,6,6,0,0,1,0,0,Telkom Speedy,,,
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/902E4879-2FF5-E011-9406-D754C0C2F244,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304243,UPTD SD NEGERI 01 SUNGAI KAMUYANG,10304243,Jorong XII Kampung,SUNGAI KAMUYANG,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,10-10-1947,,01-01-1910,Lihat SK Operasional,2019-10-08 15,A,"8,045",1. -,2. Linknet,PLN,,,sdn01sungaikamuyang@yahoo.com,,-.289000000000,100.673600000000,7,39,35,6,SD 2013,Pagi/6 hari,,2022/2023-2,"1,300",6,0,1,2,5,1,0,1,3,2,1,1,3,4,2,4,1,0,1,1,2,1,1,1,2,5,1,1,1,1,1,1,0,6,0,0,0,0,1,0,Tidak Ada,,,
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0934879-2FF5-E011-8359-8748BF999EA6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304249,UPTD SD NEGERI 01 TANJUANG HARO SIKABU-KABU PD. PANJANG,10304249,SIKABU-KABU,TANJUANG ARO SIKABU-KABU PD. PANJANG,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1910-01-01,01-01-1910,420/009/1/DPK-LK/1/2019,02-01-2019,Lihat SK Operasional,2020-03-27 08,A,"2,754",1. -,2. Telkom Speedy,PLN,,,uptdsdn01tanjuangharo@gmail.com,,-.274700000000,100.656500000000,9,57,72,7,SD 2013,Pagi/6 hari,,2022/2023-2,"2,200",5,0,1,2,6,1,0,2,4,1,1,3,6,3,0,8,1,2,1,1,0,1,2,2,1,8,1,2,1,1,1,1,5,0,0,3,1,0,0,0,Tidak Ada,,,
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0FA4779-2FF5-E011-A9B6-1D05A2AD1FB5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10301402,UPTD SD NEGERI 02 ANDALEH,10301402,Jorong Galo Gandang,ANDALEH,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/009/1/DPK-LK/I/2019,01-01-1910,,01-01-1910,Lihat SK Operasional,2019-11-27 10,A,"1,800",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,SDN02ANDALEH@GMAIL.COM,,-.245000000000,100.696300000000,8,60,43,6,SD 2013,Pagi/6 hari,,2022/2023-2,"1,300",6,0,0,2,6,0,0,2,3,0,1,4,7,1,0,8,0,1,0,2,0,0,0,5,2,6,1,1,1,1,1,1,0,6,0,0,0,0,0,0,Telkomsel Flash,,,
Sumatera Barat,Kab. Lima Puluh Koto,Luak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00A94779-2FF5-E011-BF16-CB2097644BAA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304271,UPTD SD NEGERI 02 MUNGO,10304271,Mungo,MUNGO,KEC. LUAK,KAB. LIMA PULUH KOTO,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,03-10-1954,420/009/1/DPK-LK/1/2019,01-01-1910,Lihat SK Operasional,2019-11-28 10,B,"6,045",1. -,2. Telkom Speedy,PLN,,,sdn02mungo@yahoo.co.id,,-.230800000000,100.701200000000,8,75,61,6,SD 2013,Pagi/6 hari,,2022/2023-2,0,0,0,1,0,6,0,0,2,3,0,5,0,6,2,0,8,0,0,1,1,1,1,2,2,1,7,1,1,1,1,1,1,0,0,0,7,0,1,0,0,Tidak Ada,,,
