prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0C573C9-30F5-E011-99BF-A752EA18F830,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400498,SD NEGERI 1 WAWONII UTARA,40400498,Dongkalaea,DONGKALAEA,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,12 Tahun 1950,10-04-1950,23 Tahun 2021 (nomenklatur baru),22-01-2021,Lihat SK Operasional,2021-03-02 19,C,"2,451",1. -,2. XL (GSM),PLN,,,sdn1wwrp@gmail.com,,-4.023400000000,123.089700000000,8,38,26,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,1,0,3,3,0,2,6,0,0,2,3,5,0,6,2,0,0,1,2,1,3,1,3,5,1,1,1,1,1,1,0,0,6,0,0,0,1,0,,,
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0287DC9-30F5-E011-91F8-CB7314C028E3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400331,SD NEGERI 2 WAWONII UTARA,40400331,Desa Tapumbatu Kecamatan Wawonii Utara,TAMBAONE,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,800/20/1958,01-01-1958,23 Tahun 2021 (nomenklatur baru),01-01-1958,Silakan Upload SK (link file tidak valid) => [810697-371723--],2023-04-04 13,C,"3,996",1. -,2. Telkomsel Flash,PLN,,,sdn.satu.lansilowo@gmail.com,,-4.101700000000,123.105000000000,11,28,28,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,3,0,0,2,5,2,0,4,8,0,3,0,0,11,4,6,1,3,2,2,1,2,1,0,3,8,1,1,1,1,1,1,0,0,3,3,0,0,0,1,,,
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90F47BC9-30F5-E011-8E0C-F1FAA99F3DD7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400379,SD NEGERI 3 WAWONII UTARA,40400379,Desa Palingi Barat,PALINGI BARAT,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/15/1968,01-08-1968,23 TAHUN 2021,22-01-2021,Lihat SK Operasional,2021-02-28 18,C,"1,500",1. -,2. -,PLN,0,,sdn01palingi@gmail.com,,-4.029700000000,123.167300000000,8,17,13,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,6,0,1,0,2,0,0,6,6,0,2,0,2,6,1,5,2,0,2,1,4,0,1,0,6,2,1,1,1,1,1,1,3,0,3,0,0,1,0,0,,,
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40497CC9-30F5-E011-9F29-ED24D0DB3CEE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400452,SD NEGERI 4 WAWONII UTARA,40400452,Desa Mawa,MAWA,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/015/1971,01-02-1971,23 Tahun 2021 (nomenklatur baru),22-01-2021,Lihat SK Operasional,2021-03-02 19,C,"8,500",1. -,2. -,PLN,,,sdn4wawoniiutara@gmail.com,http,-4.032500000000,123.193000000000,8,37,45,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",8,0,1,0,2,1,0,5,6,0,1,1,3,5,0,6,2,1,1,2,1,2,1,0,3,5,1,1,1,1,1,1,5,0,3,0,1,0,0,0,,,
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/901474C9-30F5-E011-8EC9-9D3483662121,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400135,SD NEGERI 5 WAWONII UTARA,40400135,Desa WAWOBEAU,WAWOBEAU,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,23 TAHUN 2021,01-01-1979,,01-01-1910,Silakan Upload SK (link file tidak valid) => [781706-622674--],2023-02-18 22,B,"18,000",1. -,2. -,PLN,,,sdnlabeau@yahoo.com,http,-4.046800000000,123.096400000000,11,36,39,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,1,0,3,1,1,6,10,0,1,0,0,11,0,10,1,1,6,4,0,0,0,0,2,9,1,1,1,1,1,1,3,0,3,0,0,0,1,0,,,
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/203E89C9-30F5-E011-9CD0-B3034A0EDF4F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400527,SD NEGERI 6 WAWONII UTARA,40400527,Jl. Poros Langara-Lansilowo,TAMBAONE UTAMA,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,478/105/KWU/VII/1986,18-07-1986,23 Tahun 2021 (nomenklatur baru),22-01-2021,Lihat SK Operasional,2021-03-02 19,C,"5,980",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn6wanut@gmail.com,,-4.081500000000,123.126400000000,9,63,61,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,200",6,0,1,1,3,0,0,6,7,2,0,0,0,9,1,6,2,3,1,1,2,1,1,0,1,8,1,1,1,1,1,1,0,6,0,0,0,1,0,0,,,
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80C47CC9-30F5-E011-B0D6-475740F70EBF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400437,SD NEGERI 7 WAWONII UTARA,40400437,Desa Palingi,PALINGI,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,12 Tahun 1999,13-08-1999,23 Tahun 2021 (nomenklatur baru),22-01-2021,Lihat SK Operasional,2021-03-02 19,B,"1,550",1. -,2. Telkomsel Flash,PLN,,,ks.asupiah@yahoo.co.id,,-4.063000000000,123.153500000000,6,32,33,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",3,0,1,2,1,1,0,4,6,0,0,0,1,5,1,4,1,1,0,3,1,0,1,0,2,4,1,1,1,1,1,1,3,0,0,3,0,1,0,0,,,
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D02E74C9-30F5-E011-8448-3FDDB348E91D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400471,SD NEGERI 8 WAWONII UTARA,40400471,Desa Waworope,WAWOROPE,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,122 4 2001,28-08-2007,23 Tahun 2021 (nomenklatur baru),22-01-2021,Lihat SK Operasional,2021-02-24 13,C,"3,680",1. -,2. Telkomsel Flash,PLN,,,sdn8wawoniiutara@gmail.com,,-4.036300000000,123.078300000000,8,60,66,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,1,1,2,2,0,4,6,0,2,0,1,7,0,7,1,0,1,2,2,3,0,0,1,7,1,1,1,1,1,1,0,6,0,0,0,1,0,0,,,
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0F692CA-30F5-E011-ADFA-999D03CBDE9C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402839,SMP NEGERI 1 WAWONII UTARA,40402839,Jalan Desa Labisa,LABISA,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,364,06-06-2005,,01-01-1910,Silakan Upload SK (link file tidak valid) => [343641-464697--],2020-08-27 09,B,"16,920",1. Telkomsel Flash,2. Lainnya,PLN,,,smpn1wawoniiutara@gmail.com,,-4.022500000000,123.112600000000,17,43,47,4,SMP 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"3,300",8,1,2,2,9,1,0,7,15,0,2,0,3,14,0,15,2,1,8,3,2,3,0,0,7,10,,,,,,,7,1,0,0,0,2,0,0,1,1,2
Sulawesi Tenggara,Kab. Konawe Kepulauan,Wawonii Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00E94ACA-30F5-E011-AB73-C9770780C36C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40403677,SMP NEGERI 2 WAWONII UTARA,40403677,Jl. Poros Desa Palingi,PALINGI TIMUR,KEC. WAWONII UTARA,KAB. KONAWE KEPULAUAN,PROV. SULAWESI TENGGARA,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,NOMOR 446 TAHUN 2007,21-06-2007,NOMOR 446 TAHUN 2007,21-06-2007,Lihat SK Operasional,2023-01-30 08,B,"15,000",1. Telkomsel Flash,2. Lainnya (Satelit),PLN,,,smpn2wawoniiutara@gmail.com,http,-4.019400000000,123.154000000000,20,49,43,5,SMP 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"7,000",6,1,1,2,11,1,0,8,15,0,5,0,3,17,0,17,3,4,9,4,0,1,2,0,6,14,,,,,,,3,0,3,0,0,0,1,0,2,1,2
