prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/670961A7-49FB-439B-BC43-3E44EA4FE1E9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69966137,Adi Widya Pasraman RSI Markandya Taro,69966137,JL. Pura Gunung Raung,TARO,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,SWASTA,Adi W P,Kementerian Agama,YAYASAN LEMBU PUTIH TARO,AN6217,135 TAHUN 2016,15-08-2016,135 TAHUN 2016,15-08-2016,Lihat SK Operasional,2017-08-31 11,,"1,500",1. Indosat IM3,2. Biznet (Kabel),PLN,,,awprsimarkandyataro@gmail.com,,-8.381400000000,115.279400000000,6,56,36,6,SD 2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,900,8,0,1,1,0,0,8,0,6,0,0,0,0,6,0,2,4,4,2,0,0,0,0,0,2,4,2,6,0,0,1,0,0,0,,,,,,,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D29178FF-08D3-4240-8898-28BC3698A55C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69966138,Madyama Widya Pasraman RSI Markandya Taro,69966138,JL. Pura Gunung Raung,TARO,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,SWASTA,Madyama W P,Kementerian Agama,YAYASAN LEMBU PUTIH TARO,AN6217,134 TAHUN 2016,15-08-2016,134 TAHUN 2016,15-08-2016,Lihat SK Operasional,2017-08-31 11,C,"1,500",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,0361973559,sindumadyamataro@gmail.com,http,-8.385200000000,115.280300000000,15,8,6,2,SMP 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,3,1,1,2,1,0,7,9,15,0,0,0,5,10,0,6,9,3,4,2,2,2,1,1,10,5,0,3,0,0,0,1,0,0,,,,,,,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A01EE714-31F5-E011-A81C-3D29D4C66725,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102178,SD NEGERI 1 KEDISAN,50102178,Br. Kedisan Kaja,KEDISAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/2500/DISDIK,21-12-2021,420/2500/DISDIK,21-12-2021,Lihat SK Operasional,2022-04-14 09,B,"1,224",1. -,2. Telkom Speedy,PLN,0,0,sdn1kedisan1@gmail.com,,-8.420200000000,115.292400000000,7,77,69,6,SD 2013,Sehari Penuh/6 hari,,2022/2023-2,Tidak Ada,"1,300",5,0,0,2,3,0,0,4,5,0,2,0,6,1,0,6,1,1,2,0,1,0,2,1,1,6,3,0,2,0,0,0,0,1,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B026E814-31F5-E011-BECE-F93790BF4195,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102179,SD NEGERI 1 KELIKI,50102179,Br. Pacung,KELIKI,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/2435/DISDIK,14-12-2021,420/2435/DISDIK,14-12-2021,Lihat SK Operasional,2022-04-19 14,B,"2,109",1. -,2. Telkom Speedy,PLN,,,sdn1keliki@ymail.com,,-8.447900000000,115.263600000000,8,30,42,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,0,0,1,0,6,0,0,2,4,0,2,2,8,0,0,8,0,1,3,0,0,0,2,2,2,6,0,0,0,6,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80F3E614-31F5-E011-A292-29A33915473A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102182,SD NEGERI 1 KENDERAN,50102182,Kenderan,KENDRAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/2306/DISDIK,09-12-2021,420/2306/DISDIK,07-04-1945,Lihat SK Operasional,2022-02-24 22,B,"2,680",1. -,2. Telkom Speedy,PLN,0,03619081039,sdn1kenderan@gmail.com,,-8.449000000000,115.290100000000,7,80,89,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,6,0,1,5,3,0,0,4,5,0,2,0,4,3,0,6,1,2,2,2,0,0,1,0,5,2,0,6,0,0,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E049E714-31F5-E011-BAFF-9990AFCECB85,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102113,SD NEGERI 1 PUPUAN,50102113,Br. Timbul,PUPUAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/2432/DISDIK,14-12-2021,420/2432/DISDIK,14-12-2021,Lihat SK Operasional,2022-04-26 10,A,"2,160",1. Telkomsel Flash,2. Lainnya,PLN,,,sdnegeri1pupuan@yahoo.com,,-8.380600000000,115.309900000000,8,78,60,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,1,2,3,0,0,5,6,1,0,1,6,2,0,8,0,3,2,1,0,0,0,2,3,5,1,5,0,0,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6084E714-31F5-E011-8A3C-57EFFEC489C7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102117,SD NEGERI 1 SEBATU,50102117,Br. Jasan,SEBATU,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,56/SB/I/81,01-10-1981,06/SB/I/81,01-10-1981,Silakan Upload SK,,B,700,1. Smartfren,2. Telkom Speedy,PLN,0,03618044020,sdnegerisatusebatu@gmail.com,,-8.380500000000,115.301900000000,13,116,83,9,SD 2013,Pagi/6 hari,,2022/2023-2,Smartfren,"1,200",9,0,1,2,3,0,0,10,12,0,1,0,4,9,0,12,1,1,8,3,1,0,0,0,5,8,0,9,0,0,0,1,0,0,1,1,2,1,2,2,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00CFE714-31F5-E011-A0B7-5B782C64DB0A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102105,SD NEGERI 1 TARO,50102105,Taro Kaja,TARO,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/2422/DISDIK,14-12-2021,420/2422/DISDIK,14-12-2021,Lihat SK Operasional,2022-04-18 11,A,"1,620",1. Telkom Speedy,2. Telkom Speedy,PLN,0,03618988841,sdn1taro@gmail.com,http,-8.383600000000,115.278700000000,14,120,104,11,SD 2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"1,200",10,0,1,4,6,0,0,8,10,1,3,0,5,9,0,14,0,0,5,2,2,2,3,0,10,4,0,6,4,0,0,1,0,0,1,2,2,2,2,2,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A09CE614-31F5-E011-9567-F32F446440CE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102118,SD NEGERI 1 TEGALLALANG,50102118,"Jln. I Wayan Lunga, Br. Penusuan, Ds. Tegallalang, Kec. Tegallalang",TEGALLALANG,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/25251/DISDIK,27-12-2021,420/25251/DISDIK,27-12-2021,Lihat SK Operasional,2023-05-04 10,B,"1,356",1. -,2. Telkom Speedy,PLN,0,03619080407,sdnsatutegallalang@yahoo.com,,-8.459600000000,115.276200000000,9,84,81,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,6,0,1,2,6,0,0,3,5,0,2,2,7,2,0,8,1,0,4,2,0,0,1,2,1,8,0,6,0,0,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/002DE714-31F5-E011-9B30-C340FA93CB87,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102130,SD NEGERI 2 KEDISAN,50102130,Br. Bayad,KEDISAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,No.73/68,17-01-1968,No. 73/68,17-01-1968,Lihat SK Operasional,2018-07-09 15,B,0,1. Axis,2. Telkomsel Flash,PLN,,,sdn2kedisan@gmail.com,,-8.420100000000,115.297900000000,8,91,87,6,SD 2013,Pagi/6 hari,,2022/2023-2,Axis,900,5,0,0,3,4,0,0,4,5,0,2,1,5,3,0,8,0,2,2,2,1,0,0,1,1,7,3,2,0,0,0,0,0,0,1,1,1,1,1,1,,,
