prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DDB3B7BB-191B-4D11-9E14-0CB0AEDA47A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70023628,ADI WIDYA PASRAMAN SUAR DWIPA GIRI MEKAR,70023628,banjar Dinas Teges. Desa/Kel. Pempatan. Kecamatan. Rendang. Kabupaten. Karangase,PEMPATAN,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,SWASTA,Adi W P,Kementerian Agama,YAYASAN SUAR DWIPA GIRI MEKAR,AX1274,01/SK/YYS-SDGM/XII/2021,01-12-2021,Nomor 49 Tahun 2021,24-03-2021,Lihat SK Operasional,2021-12-27 16,,0,1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,,,,,.000000000000,.000000000000,11,14,15,4,SD 2013,Siang/6 hari,,2022/2023-2,Telkom Speedy,450,4,0,0,0,0,0,10,2,11,0,0,0,0,11,0,5,6,6,4,1,0,0,0,0,6,5,0,4,0,0,0,0,0,0,,,,,,,,,
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40A80815-31F5-E011-AC4D-5527B30DD94B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103746,SD NEGERI 1 BESAKIH,50103746,Banjar Kedungdung,BESAKIH,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,Tahun 1944,11-09-1944,Perbup 64 Tahun 2020,30-12-2020,Silakan Upload SK,,B,"2,000",1. Smartfren,2. Telkomsel Flash,PLN,,03665503952,sdn1besakih@gmail.com,,-8.384083600000,115.440267200000,6,42,37,6,SD 2013,Pagi/6 hari,,2022/2023-2,Smartfren,900,3,0,1,0,5,1,0,0,1,0,4,1,4,2,0,6,0,0,0,3,0,0,1,2,2,4,3,0,0,3,1,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/908E0815-31F5-E011-B054-D7898CC71DB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103794,SD NEGERI 1 MENANGA,50103794,Br. Menanga Kangin,MENANGA,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,01-08-1940,Perbup 64 Tahun 2020,30-12-2020,Silakan Upload SK,,B,"1,800",1. -,2. Telkom Speedy,PLN,,,sdn1menanga788@gmail.com,,-8.410000000000,115.423000000000,6,91,96,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,7,0,0,2,4,1,0,1,2,0,4,0,3,3,0,6,0,1,2,2,0,0,1,0,2,4,3,0,4,0,0,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/709B0815-31F5-E011-B5B0-032905BE1FD0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103757,SD NEGERI 1 NONGAN,50103757,Br. Tengah,NONGAN,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-08-1943,Perbup 64 Tahun 2020,30-12-2020,Silakan Upload SK,,A,"2,000",1. XL (GSM),2. XL (GSM),PLN,,,,,-8.454000000000,115.409000000000,5,40,24,6,SD 2013,Pagi/6 hari,,2022/2023-2,XL (GSM),450,6,0,1,2,3,2,0,0,3,0,1,1,4,1,0,3,2,1,2,0,0,0,1,1,1,4,3,2,1,0,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80B50815-31F5-E011-B938-11A30A2AC552,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103799,SD NEGERI 1 PEMPATAN,50103799,Dusun Putung,PEMPATAN,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,31-08-1985,Perbup 64 Tahun 2020,30-12-2020,Silakan Upload SK,,A,0,1. Smartfren,2. Telkomsel Flash,PLN,,,sdn1pempatan@gmail.com,,-8.393000000000,115.412000000000,6,27,36,6,SD 2013,Pagi/6 hari,,2022/2023-2,Smartfren,900,6,0,1,2,4,1,0,1,2,1,2,1,4,2,0,3,3,0,1,1,1,0,1,2,3,3,0,6,0,0,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0E00915-31F5-E011-A4BC-FF14511E71FD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103762,SD NEGERI 1 PESABAN,50103762,Pesaban,PESABAN,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,404/61,01-08-1965,,20-10-2011,Lihat SK Operasional,2023-02-10 10,B,"1,500",1. Lainnya,2. Lainnya (Wavelan),PLN,0,,sdnpesabansatu@gmail.com,,-8.468475000000,115.403217300000,7,64,54,6,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya,"1,300",6,0,1,2,6,0,0,1,2,0,2,3,6,1,0,4,3,1,1,0,0,0,0,5,5,2,0,6,0,0,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40210A15-31F5-E011-8556-63287FC533A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103772,SD NEGERI 1 RENDANG,50103772,Dusun Peringalot,RENDANG,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-05-1924,Perbup 64 Tahun 2020,30-12-2020,Silakan Upload SK,,A,0,1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,,sdnegeri1rendang@gmail.com,,-8.427480100000,115.419622500000,8,96,96,6,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya (Serat Optik),900,6,0,1,4,8,0,0,0,0,0,5,3,6,2,0,4,4,0,0,2,1,0,1,4,2,6,0,2,4,0,0,0,1,0,1,1,1,1,1,1,,,
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0370915-31F5-E011-BB5F-CF03C3E9A8BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103747,SD NEGERI 2 BESAKIH,50103747,Dusun Kunyit,BESAKIH,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1978,Perbup 64 Tahun 2020,30-12-2020,Silakan Upload SK,,B,"2,201",1. Telkomsel Flash,2. Lainnya,PLN,0,,sdnduabesakih78@gmail.com,,-8.373671300000,115.437721100000,9,139,110,7,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,9,0,1,1,6,1,0,2,3,1,2,3,6,3,1,7,1,1,1,2,1,0,0,4,5,4,9,0,0,0,1,0,0,0,1,1,1,1,2,1,,,
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0800815-31F5-E011-8CFA-79586E97690C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103795,SD NEGERI 2 MENANGA,50103795,Banjar Tegenan,MENANGA,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,421.2/41/SDN2M/VII/2021,01-08-1965,421.2/40/SDN2M/VII/2021,31-12-1963,Lihat SK Operasional,2021-08-14 16,B,"3,744",1. -,2. Telkom Speedy,PLN,0,,sdnegeriduamenanga@gmail.com,,-8.406672500000,115.431482800000,6,50,55,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,297",6,0,0,2,4,0,1,1,2,1,3,0,4,2,0,3,3,0,2,0,2,0,1,1,4,2,6,0,0,0,0,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Karang Asem,Rendang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40DD0815-31F5-E011-951B-83F2603A616F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103763,SD NEGERI 2 NONGAN,50103763,Nongan,NONGAN,KEC. RENDANG,KAB. KARANG ASEM,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Beslit Gub Bali No,01-08-1963,Perbup 64 Tahun 2020,30-12-2020,Silakan Upload SK,,A,"3,375",1. Lainnya,2. Telkom Speedy,PLN,,,sdnegeri2nongan@gmail.com,,-8.439900000000,115.414400000000,7,71,44,6,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya,900,6,0,1,2,7,0,0,0,0,0,5,2,5,2,0,4,3,0,0,3,0,0,1,3,3,4,3,3,0,0,1,0,0,0,1,1,1,1,1,1,,,
