prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0150AE3-2637-4121-94A0-264EEC41A134,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69966108,Madyama Widya Pasraman Dwi Jendra,69966108,Desa Lalundu,LALUNDU,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,SWASTA,Madyama W P,Kementerian Agama,YAYASAN PAKAVA WIDYA KANTI,AW8124,178 TAHUN 2016,01-11-2016,178 TAHUN 2016,01-11-2016,Lihat SK Operasional,2017-08-31 07,B,"10,492",1. -,2. -,PLN,,,pakavawidyakanti@gmail.com,,-1.273500000000,119.545600000000,11,39,41,3,SMP 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",4,0,1,2,3,1,6,3,8,0,3,0,2,9,0,7,4,1,5,1,1,0,1,2,9,2,0,4,0,0,1,0,0,0,,,,,,,,,
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DED48EBD-EA61-4CB5-BD34-7EA90B84BE21,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723426,MIS AN - NUR,60723426,DESA PANCA MUKTI,PANCA MUKTI,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-1.268800000000,119.538300000000,0,15,22,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DEAE4B05-B07B-4473-9DB5-753455773F55,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40210161,MTSS ANNUR PANCAMUKTI LALUNDU,40210161,JLN. POROS TENGAH LRG.4 BLOK F9,PANCA MUKTI,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,SWASTA,MTs,Kementerian Agama,,,AHU.0004326.AH.01.04.TAHUN 2017,03-03-2017,Kd.22.02/PP.00.5/332/2012,28-02-2012,Lihat SK Operasional,2022-12-08 01,B,0,,2.,,,,,,-1.268400000000,119.537700000000,0,58,80,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F15FAB33-649E-4FE9-9740-0A92D9570848,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40210162,MTSS MANBAUL HIKMAH,40210162,Jl.KH.Hasyim Asyari No.03,BUKIT INDAH,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,SWASTA,MTs,Kementerian Agama,,,,01-06-2010,,13-06-2011,Silakan Upload SK (link file tidak valid) => [803419-610534--],2023-03-20 09,B,0,,2.,,,,,,-1.328200000000,119.541600000000,0,63,74,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/71B2AC9C-85A6-4ECA-8DE8-AF128AA37EF2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69988557,SD NEGERI 26 RIO PAKAVA,69988557,"Jl. Desa Ngovi Dusun Katasa, Kec. Rio Pakava",NGOVI,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,45,19-05-2016,915/874.3/DISDIK/DGL/2016,19-05-2016,Lihat SK Operasional,2019-07-09 10,C,"16,300",1. -,2. -,Tenaga Surya,,,sdn26riopakava26@gmail.com,,-1.211239000000,119.552781000000,3,35,40,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,100,3,0,0,0,0,1,0,2,3,0,0,0,1,2,0,3,0,0,0,0,0,1,1,1,1,2,0,3,0,0,0,0,0,0,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/909AC077-EAFE-E111-A144-C3EC58C4220F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40204377,SD PT Lestari Tani Teladan,40204377,Jln Afdeling Bravo PT Lestari Tani Teladan,TOWIORA,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Astra Agro Lestari,AX6945,180 / 421.1 / PDP / DGL /2008,24-03-2008,180 / 421.1 / PDP / DGL /2008,24-03-2008,Lihat SK Operasional,2021-08-21 16,A,"3,000",1. -,2. Telkomsel Flash,PLN,,,sdptltt@gmail.com,,-1.315705000000,119.572285000000,11,131,122,12,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"5,500",12,1,1,2,0,0,8,4,11,0,0,0,0,11,0,10,1,0,4,4,2,0,1,0,6,5,12,0,0,0,1,0,0,0,2,2,2,2,2,2,,,
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/91536B40-CD78-4A40-8512-A184FAC877BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70037142,SDK SOLAFIDE SETIA BONENGGAYA,70037142,"DUSUN BONENGGAYA, KEC. RIO PAKAVA, KAB. DONGGALA, PROVINSI SULAWESI TENGAH",PAKAVA,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN SETIA ARASTAMAR BAGI BAPA SORGAWI (YASABAS),AX7747,U.59/SK/PND/BP-YASABAS/IX/2022,21-09-2022,030/742/874.3/DISDIKBUD/DGL/2023,02-01-2023,Lihat SK Operasional,2023-02-03 13,,"5,082",1. -,2. Indosat IM3,Tenaga Surya,,,,,.000000000000,.000000000000,3,21,19,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,250,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70105D57-013C-E111-B723-271942C5155B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40200746,SDN 1 RIO PAKAVA,40200746,Desa Towiora,TOWIORA,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1962,,01-01-1910,Silakan Upload SK,,C,"2,500",1. -,2. -,PLN,,,sdn1riopakava1@gmail.com,,-1.385200000000,119.475300000000,7,79,67,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,1,2,2,0,0,5,6,1,0,0,1,6,1,3,3,2,2,1,0,2,0,0,0,7,0,6,0,0,0,1,0,0,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A082889B-4CB8-E211-A99B-43C17861031B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40200808,SDN 10 RIO PAKAVA,40200808,Desa Polando Jaya,POLANDO JAYA,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1995,01-01-1995,1432/874.3/DISDIK/DGL/2017,18-12-2017,Lihat SK Operasional,2021-04-20 10,B,"5,000",1. Telkomsel Flash,2. -,PLN,,,sdn10riva@gmail.com,http,-1.319573000000,119.497498000000,8,35,35,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,7,0,1,0,3,2,0,3,5,2,1,0,1,7,2,2,4,3,0,2,1,0,1,1,3,5,7,0,0,0,1,0,0,0,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Donggala,Rio Pakava,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00518A57-013C-E111-8FE3-FBC8B57FBE32,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40200806,SDN 11 RIO PAKAVA,40200806,Desa Rio Mukti,RIO MUKTI,KEC. RIO PAKAVA,KAB. DONGGALA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"11,900",1. -,2. -,PLN,,,sdn11riopakava11@gmail.com,,-1.374898000000,119.515205000000,7,118,95,7,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,10,0,1,7,3,0,0,4,5,0,2,0,1,6,1,5,1,1,0,5,0,0,0,1,1,6,4,4,2,0,1,0,0,0,1,1,2,1,1,1,,,
