prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F7DEC7E8-0A77-4C18-B41B-C080CFC1C29E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70030028,SD NEGERI AKRU KAY 3,70030028,KAMPUNG KAY 3,KAYI / KAY SETA,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,241.4 /SDN.AKRU/K.III/MR/2022,01-06-2018,4224.1/DINAS/IJIN/OP/MR/2022,01-06-2022,Lihat SK Operasional,2022-06-27 08,,"5,000",,2.,,,,,,.000000000000,.000000000000,1,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,,,,
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A08BB740-31F5-E011-8B58-151C09715CA9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60304765,SD NEGERI HAYA,60304765,Kampung Haya,KAYI / KAY SETA,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,41.2/SK/1982,20-12-1982,41.2/SK/1982,23-05-1982,Silakan Upload SK,,,"1,000",1. -,2. -,Diesel,,,sdnhayaroufaer@yahoo.com,,-2.629100000000,138.467700000000,0,31,28,6,SD 2013,Pagi/6 hari,,2022/2023-2,"2,500",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Tidak Ada,,,
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20D4B740-31F5-E011-BFA2-79621331E0AA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60304768,SD NEGERI INPRES BARERI,60304768,Kampung Bareri,BARERI,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,,"250,000",,2.,,,,dapodiksdninpbareri@gmail.com,,-2.739100000000,138.517000000000,2,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,2,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,1,0,1,0,2,0,,,,,,,0,0,0,0,0,0,0,0,,,,
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60E2B740-31F5-E011-A7F1-C1593AD89F4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60304771,SD NEGERI INPRES KAY,60304771,Kampung Kay,KAYI / KAY SETA,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,241/KPTSN/BUP/JPR/1997,05-06-1997,421.2/DINAS/I/IJIN/OPR/MR/2022,05-07-2022,Lihat SK Operasional,2023-02-21 08,,"5,000",1. -,2. -,Diesel,,,sdn_inpreskayI@gmail.com,,-2.703400000000,138.580400000000,2,66,37,6,SD 2013,Pagi/6 hari,,2022/2023-2,"2,500",0,0,0,0,1,0,0,1,1,0,1,0,0,2,0,1,1,0,0,1,0,0,1,0,2,0,1,1,1,1,1,1,0,0,0,6,0,0,0,0,Tidak Ada,,,
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/809AB740-31F5-E011-BC24-6BA29DC30392,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60304774,SD NEGERI INPRES SIKARI,60304774,Kampung Sikari,SIKARI,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,30-12-1983,,01-01-1910,Silakan Upload SK,,,"1,250",1. -,2. -,Diesel,,,,,-2.759500000000,138.396100000000,5,36,25,6,SD 2013,Pagi/6 hari,,2022/2023-2,"2,500",1,0,0,0,2,0,0,3,3,2,0,0,0,5,3,0,2,0,0,4,0,1,0,0,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Tidak Ada,,,
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70447DDD-7D9A-E111-985A-BB480716E2E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60304776,SD NEGERI INPRES TAYAI,60304776,Kampung Tayai,TAIYAI,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,,"2,500",1. -,2. -,Diesel,,,,,-2.684500000000,138.427700000000,0,34,18,6,SD 2013,Pagi/6 hari,,2022/2023-2,"2,400",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,0,0,0,0,0,0,0,Tidak Ada,,,
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50FC8A86-829A-E111-8227-D19448344A2E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60304841,SD NEGERI KAY I,60304841,Kampung Kay I,TAIYAI,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,24/KPTSN/BUP/MR/2010,05-07-2010,4221.2/DINAS P & K/IJIN/OP/MR/2022,05-07-2022,Lihat SK Operasional,2023-02-21 08,,"5,000",1. -,2. -,Diesel,,,daposdnkay2roufaer@gmail.com,,-2.672500000000,138.568500000000,1,34,23,6,SD 2013,Pagi/6 hari,,2022/2023-2,"2,500",0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,Tidak Ada,,,
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/506A989D-829A-E111-BE8B-95B421EA924A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60304842,SD NEGERI PERSIAPAN FUI,60304842,Kampung Fui,KAYI / KAY SETA,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,,"62,500",,2.,,,,sdn_fuirufaer@gmail.com,,-2.836500000000,138.719200000000,3,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,1,0,0,2,2,1,0,0,0,3,2,0,1,0,0,0,2,1,0,0,3,0,,,,,,,0,0,0,0,0,0,0,0,,,,
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/109CF4CA-7F9A-E111-81F9-43A4DB140F20,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60304793,SD NEGERI PERSIAPAN IRI,60304793,Kampung Iri,SIKARI,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,,100,,2.,,,,sdn_iri@gmail.com,,-2.725600000000,138.667300000000,0,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,
Papua,Kab. Memberamo Raya,Rufaer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0BD02C2-809A-E111-941D-DF0D8F74BE48,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60304806,SD NEGERI PERSIAPAN SWAKI,60304806,Kampung Swaki,KAYI / KAY SETA,KEC. RUFAER,KAB. MEMBERAMO RAYA,PROV. PAPUA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,,450,1. -,2. -,Diesel,,,,,-2.782500000000,138.357500000000,0,53,61,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,0,0,0,0,0,0,0,Tidak Ada,,,
