prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E02705FB-30F5-E011-A95B-4738F4A9E238,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60100783,SD INPRES MADWAT,60100783,Dusun Matwat,MADWAT,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,03/75/95,01-04-1979,,01-01-1910,Silakan Upload SK,,B,"6,500,000",,2.,,,,kasugiraubun@gmail.com,,-5.774100000000,132.672400000000,8,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,6,0,0,2,3,4,1,0,0,8,0,3,5,0,0,1,2,1,1,3,3,5,,,,,,,0,0,0,0,0,0,0,0,,,,
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00937BFB-30F5-E011-9731-ED5B80A9D433,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60100900,SD KRISTEN DIAN DARAT,60100900,Desa Dian,DIAN DARAT,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,08.BS.1915,08-01-1915,207/420/KP/09/2014,01-01-1910,Lihat SK Operasional,2020-08-26 19,C,"1,458",1. -,2. Telkom Speedy,PLN,,,dianmeturan@gmail.com,,-5.748700000000,132.693500000000,9,56,63,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,7,0,0,2,7,0,2,0,2,4,3,0,3,6,0,6,3,0,0,3,3,0,1,2,1,8,1,1,1,1,1,1,0,7,0,0,0,0,0,1,Tidak Ada,,,
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/806B7BFB-30F5-E011-BEC0-778BDE83266A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60100903,SD KRISTEN WATNGIL,60100903,WATNGIL,WATNGIL,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,206/420/KP/09/2014,15-01-1912,420/S16/2022,17-11-2022,Lihat SK Operasional,2022-11-22 09,C,"2,450",1. -,2. -,PLN,,,sdkristenwatgil01@gmail.com,,-5.806500000000,132.690800000000,4,30,37,6,SD 2013,Pagi/6 hari,,2022/2023-2,450,6,0,0,2,4,0,0,0,0,2,2,0,0,4,0,3,1,0,0,0,1,0,0,3,0,4,1,1,1,1,1,1,0,1,5,0,0,0,0,1,Tidak Ada,,,
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/103C7CFB-30F5-E011-AEC6-813080FA4054,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60103279,SD NASKAT EVU,60103279,EVU,EVU,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN KATOLIK KEUSKUPAN AMBOINA (YPKKA),AM4775,03/SK/YPKKA/I/2012,30-01-2012,503/01/DPMPTSP/VIII/2020,28-08-2020,Lihat SK Operasional,2020-08-30 09,B,"2,516",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,-5.788800000000,132.703300000000,11,55,56,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,7,0,3,1,5,3,3,0,3,8,0,7,4,1,2,0,2,0,5,1,5,6,1,1,1,1,1,1,5,1,0,0,1,0,0,0,Telkomsel Flash,,,
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50437BFB-30F5-E011-99F0-E7ECD2709DB1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60100907,SD NASKAT LETVUAN,60100907,LETVUAN,LETVUAN,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN KATOLIK KEUSKUPAN AMBOINA (YPKKA),AM4775,AHU-4052.AH.01.04 TAHUN 2,01-07-1910,,01-01-1910,Silakan Upload SK,,B,"2,320",1. -,2. Telkom Speedy,PLN,,,genletelton07@gmail.com,,-5.764300000000,132.701100000000,7,88,84,6,SD 2013,Sehari Penuh/6 hari,,2022/2023-2,0,6,0,1,1,6,0,1,1,1,4,2,0,3,4,0,3,4,0,0,2,0,2,2,1,2,5,1,1,1,1,1,1,0,3,3,0,0,1,0,0,Tidak Ada,,,
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/703604FB-30F5-E011-B7C1-D3CF66DDD19B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60100759,SD NEGERI NGURSIT,60100759,Ngursit,NGURSIT,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,31-12-1942,,01-01-1910,Silakan Upload SK,,Sertifikat Kedaluwarsa,"5,850",1. Telkomsel Flash,2. Telkom Speedy,PLN,0,,ngursit01@gmail.com,,-5.756700000000,132.676000000000,13,59,39,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,10,0,0,3,5,5,3,0,0,13,1,7,5,1,1,3,3,1,2,2,2,11,1,1,1,1,1,1,0,0,6,0,0,0,1,0,Telkomsel Flash,,,
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90A304FB-30F5-E011-9818-1744B5EAF898,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60100757,SD NEGERI OHOIBADAR,60100757,OHOIBADAR,OHOIBADAR,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"4,900",1. -,2. Telkom Astinet,PLN,,,sdnohoibadar@gmail.com,,-5.777600000000,132.671700000000,3,30,24,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,6,0,1,1,3,0,0,0,0,3,0,0,2,1,1,2,0,0,0,2,0,1,0,0,0,3,1,1,1,1,1,1,3,3,0,0,1,0,0,0,Tidak Ada,,,
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C05E04FB-30F5-E011-A4EC-CB049A8F8BD6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60100770,SD NEGERI WAB,60100770,Desa Wab,WAB,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1948,,01-01-1910,Silakan Upload SK,,A,"37,400",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdnegeriwab1@yahoo.com,,-5.799300000000,132.681500000000,17,81,72,8,SD 2013,Pagi/6 hari,,2022/2023-2,900,9,0,1,2,9,0,0,8,9,5,3,0,1,16,1,11,5,1,4,3,1,1,6,1,5,12,1,2,1,1,1,2,9,0,0,0,0,0,1,0,Telkomsel Flash,,,
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/901C04FB-30F5-E011-83B9-21BF5853D01C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60102727,SD NEGERI WARWUT,60102727,Warwut,WARWUT,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,10-01-1961,,01-01-1910,Silakan Upload SK,,B,"1,797",1. -,2. -,PLN,0,0,,,-5.846900000000,132.727800000000,10,38,31,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,6,0,0,4,5,3,2,0,1,9,1,4,5,1,2,1,4,0,2,0,3,7,1,1,1,1,1,1,4,0,2,0,1,0,0,0,Tidak Ada,,,
Maluku,Kab. Maluku Tenggara,Hoat Sorbay,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/604BDCFB-30F5-E011-9F5D-551A1C3FAA44,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60103661,SMP KRISTEN DIAN,60103661,Dian Darat,DIAN DARAT,KEC. HOAT SORBAY,KAB. MALUKU TENGGARA,PROV. MALUKU,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,24/420/SKEP/2009,09-07-2009,175 Tahun 2009,09-07-2009,Lihat SK Operasional,2020-08-26 18,C,"5,832",1. Lainnya,2. Lainnya,PLN,,,smpkdian@gmail.com,,-5.749100000000,132.697700000000,8,38,43,3,SMP 2013,Sehari Penuh/5 hari,,2022/2023-2,0,3,0,1,4,4,0,2,3,4,0,4,0,0,8,0,3,5,1,2,1,1,2,0,1,3,5,,,,,,,0,3,0,0,0,1,0,0,Lainnya,1,1,1
