prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69568752-5628-493D-BEDD-7325CA44DB44,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60705830,MIS AL ISLAMIYAH PURWA NEGARA,60705830,Jalan Poros,PURWA NEGARA,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,MI,Kementerian Agama,,,KW.08.2/HK.00.8/014/2017,16-02-2017,KW.08.2/HK.00.8/014/2017,16-02-2017,Lihat SK Operasional,2018-03-15 21,C,0,,2.,,,,,,-4.417227000000,104.832207000000,0,74,43,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4880529B-1E5A-4190-BFA0-FC47C15E88FB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727038,MIS HIDAYATUL MUSLIHIN,60727038,Jalan BGD,BUMI JAYA,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,MI,Kementerian Agama,,,Mh.IV/5/PP.004/2244/1993,20-09-1993,Mh.IV/5/PP.004/2244/1993,20-09-1993,Silakan Upload SK,,B,0,,2.,,,,,,-4.318900000000,104.862600000000,0,76,65,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/150E663D-ACDE-49E1-B9D3-70DDF6945A68,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69956120,MIS MAKKAH,69956120,Jalan Saidina Akasa,KARTA JAYA,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,MI,Kementerian Agama,Lainnya,,Mh.IV/6/PP.005/2255/1999,28-12-1999,Mh.IV/6/PP.005/2255/1999,28-12-1999,Lihat SK Operasional,2018-03-16 14,C,100,,2.,,,,,,.000000000000,.000000000000,0,15,20,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A647D73C-BBA3-4D50-8FDD-8CCE0600C191,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10816845,MTSS AL ISLAMIYAH PURWA NEGARA,10816845,Jalan Merdeka RT/RW 02/03,PURWA NEGARA,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,MTs,Kementerian Agama,,,014 Tahun 2017,16-02-2017,KW.08.2/HK.00.8/014/2017,16-02-2017,Lihat SK Operasional,2018-03-16 09,B,"1,500",,2.,,,,,,-4.417227000000,104.854847000000,0,58,55,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D2CE7543-EEB4-4643-A41E-633E1690861A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10816844,MTSS HIDAYATUL MUSLIHIN,10816844,Bumi Jaya,BUMI JAYA,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,MTs,Kementerian Agama,,,wh/6/PP.00.5/373/1997,15-10-1997,wh/6/PP.00.5/373/1997,15-10-1997,Lihat SK Operasional,2018-03-26 15,B,"5,000",,2.,,,,,,-4.423695000000,104.869806000000,0,96,95,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C1517ED4-058B-4BD7-AB03-B96AAA2E49E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69725457,MTSS MAKKAH,69725457,"JL.H, Muhammad Soleh Kampung Karta Jaya",NEGARA BATIN,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,MTs,Kementerian Agama,,,14 Tahun 2013,16-02-2013,14 Tahun 2013,16-02-2013,Lihat SK Operasional,2020-01-15 14,C,"2,500",,2.,,,,,,-4.355000000000,104.892500000000,0,89,83,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40254272-8B18-E111-9795-A3D0A0C15145,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10810219,SD S HARTAJAYA,10810219,NEGARA BATIN,GISTING JAYA,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,05/ypi-hm/sdhm/2010,20-07-2005,,20-07-2005,Silakan Upload SK,,C,"10,000",,2.,,0,,sdshartajaya@gmail.com,,-4.381300000000,104.872200000000,8,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,7,8,0,0,0,0,8,0,0,8,0,2,2,3,0,0,1,1,7,0,0,0,0,0,0,0,0,SD 2013,,,,,,,,,,
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E06B2472-8B18-E111-B0C8-FBC518D7655A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10810962,SDS GEDUNG BATIN,10810962,Gedung Batin,SETIA NEGARA,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan HIDAYATUL MUSLKHIN,AM2343,001/VII/SDS.GB/2008,17-07-2008,,17-07-2008,Silakan Upload SK,,C,"20,000",,2.,,0,0,winarti65@yahoo.com,,-4.618200000000,104.661300000000,3,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,3,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,SD 2013,,,,,,,,,,
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5054DF74-4D27-E211-857B-79438830B8A8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10810220,SDS Mulya Batin,10810220,Mulya Batin,NEGARA BATIN,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,C/MH.IV/MI/026/1993,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"12,000",1. -,2. Telkomsel Flash,Tidak Ada,0,,sds.mulyabatin@yahoo.com,,-4.344100000000,104.869900000000,5,62,59,6,Double Shift/6 hari,,2022/2023-2,0,3,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,5,0,2,2,0,1,0,0,0,5,3,0,0,0,0,0,0,0,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Lampung,Kab. Way Kanan,Negara Batin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00104272-8B18-E111-962E-45FA8E67A974,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10810218,SDS NEGARA BATIN,10810218,Negara Batin,NEGARA BATIN,KEC. NEGARA BATIN,KAB. WAY KANAN,PROV. LAMPUNG,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Al-Hikmah,AM2346,400/003/YPAH-NB/I/2006,06-01-2006,420/1251.2/III.01/2010,21-12-2010,Silakan Upload SK (link file tidak valid) => [811995-97101--],2023-04-06 04,C,"3,500",1. -,2. Telkomsel Flash,Lainnya,,,sdsnegarabatin@yahoo.com,,-4.399000000000,104.880600000000,6,29,36,6,Pagi/6 hari,,2022/2023-2,0,6,0,0,1,0,0,1,6,6,0,0,0,1,5,0,0,6,1,1,1,2,0,1,0,1,5,3,0,3,0,0,0,0,0,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
