prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A8F379F3-3566-413D-B860-C7384389BA6E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70026151,MI MA'ARIF NU CARINGIN,70026151,Kp. Cijaambe RT. 002 RW. 009,CARINGIN,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,715 TAHUN 2021,31-05-2021,Silakan Upload SK (link file tidak valid) => [196405-842481-https,2022-02-21 13,,0,,2.,,,,,,.000000000000,.000000000000,0,10,9,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/477A38E8-AFCE-4FAA-AC79-3C0FC70E7617,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60707903,MIS AL HIDAYAH CIGADOG,60707903,Kp. Cigadog RT 01 RW 06,SUKARAME,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,kd.10.05.4/02/PP.00.4/188/2008,10-03-2008,kd.10.05.4/02/PP.00.4/188/2008,10-03-2008,Lihat SK Operasional,2021-01-06 08,C,0,,2.,,,,,,-7.399500000000,107.578200000000,0,37,41,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/979E8A66-990E-4CFC-91FC-79196ECAF67B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69854167,MIS AL ISTIANAH,69854167,Kp. Cibungur,SUKARAME,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,Lainnya,,Kd.10.05/4.PP.00.4/19/201,16-09-2013,,,Silakan Upload SK,,Tidak Terakreditasi,400,,2.,,,,,,-7.427556000000,107.544812000000,0,1,5,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/773B5CEE-F261-4BDE-BBD1-14EB554C0A00,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60707904,MIS CIMAHI,60707904,Kp. Pasirkaliki,SUKARAME,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.449042000000,107.532299000000,0,50,42,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2D099EF2-0D38-43EA-B6A0-578050FDF125,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60707906,MIS DARUL MU MIN,60707906,Kp. Cihideung Rt01/Rw07,CIMAHI,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.479734000000,107.493723000000,0,35,55,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DDD09717-D050-436C-8AA4-32118BCA92C9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60707905,MIS DARUL MUBTADIIN,60707905,Kp. Caringin,CARINGIN,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.492800000000,107.467100000000,0,56,57,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8B295632-22A4-42B3-84DF-7083BFB7F546,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60707907,MIS MIFTAHUSSALAM,60707907,Kp. Gugunungan RT 08/2,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,INDONESIA,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.452139000000,107.504422000000,0,43,37,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/837CE9E1-72DD-4B46-B1C4-1535660BE7AD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60707908,MIS NURUL HUDA,60707908,KP.PASIRSALAM RT.001 RW.003,SUKARAME,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.457800000000,107.519700000000,0,12,18,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7F1CE654-4BDB-43E6-BD6F-A30CCDE10C96,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60707909,MIS NURUL ICHSAN II,60707909,Kp. Babakan Cikalapa RT 02 RW 03,PURBAYANI,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-7.216000000000,107.982000000000,0,39,35,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Garut,Caringin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/861102D4-533D-4042-B915-EC35FD57CB7F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60707910,MIS NURUL ZIHADIYAH,60707910,Kp Awi Hideung,SUKARAME,KEC. CARINGIN,KAB. GARUT,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,YAYASAN MUTIARA BANYU CISEWU,AL2679,Kd.10.05.2/4/PP.00.4/245/2011,22-08-2011,Kd.10.05.2/4/PP.00.4/245/2011,22-08-2011,Lihat SK Operasional,2019-11-28 15,C,0,,2.,,,,,,-7.431584000000,107.522162000000,0,60,58,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
