prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BAC8269E-AD2D-4792-BF44-0BB573C72324,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69968372,SATAP SMP NEGERI 8 BATU ENGAU,69968372,Jl. Provinsi KM. 9 RT. 002,KERANG DAYO,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,060/29/II-Disdikbud/2017,21-02-2017,503/015/BID-3.1/X/2017,10-10-2017,Lihat SK Operasional,2017-10-17 09,C,"11,700",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,,,smp8batuengau@gmail.com,,-2.284900000000,116.045700000000,10,39,45,3,SMP 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",3,1,1,0,2,4,0,4,10,0,0,0,3,7,0,7,3,4,2,2,0,2,0,0,5,5,1,1,1,3,0,0,0,1,0,0,0,,,,,,
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2007077E-30F5-E011-ABF1-257F61C6956F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405269,SD NEGERI 001 BATU ENGAU,30405269,Batu Engau,KERANG,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/KEP-160/1975,01-05-1975,420/KEP-160/2014,17-03-2014,Lihat SK Operasional,2018-10-21 20,A,981,1. Telkomsel Flash,2. Telkom Speedy,PLN,,05435225280,sdn01batuengau@gmail.com,,-2.233200000000,116.074500000000,17,174,178,13,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"6,600",5,0,0,7,10,3,0,4,7,2,6,2,7,10,0,9,8,0,3,4,2,1,3,4,5,12,,,,5,0,0,6,0,0,0,1,3,2,2,2,2,2
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9014077E-30F5-E011-AC42-DB31D85D5939,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405376,SD NEGERI 002 BATU ENGAU,30405376,Jl. Benturung Rt. 01,SEGENDANG,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,10-10-1978,,01-01-1910,Silakan Upload SK,,C,"4,050",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn002_batuengau@yahoo.com,,-2.312400000000,116.388600000000,7,31,45,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,0,1,1,1,0,5,6,0,0,1,2,5,0,5,2,0,2,3,1,0,1,0,3,4,,,,6,0,0,0,0,0,0,0,1,1,1,1,1,1
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A021077E-30F5-E011-B4A8-F7FA930E550F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405518,SD NEGERI 003 BATU ENGAU,30405518,DESA LOMU,LOMU,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,420/KEP-242/2016,09-07-1979,420/KEP-242/2016,01-01-1910,Lihat SK Operasional,2021-08-25 19,C,"5,000",1. -,2. -,PLN,,,sdn.003.be@gmail.com,,-2.292300000000,116.257600000000,8,39,39,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,3,0,0,1,4,1,0,3,5,0,3,0,3,5,0,6,2,1,2,1,3,0,1,0,3,5,,,,3,0,0,0,0,0,0,0,1,1,1,1,1,1
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/002F077E-30F5-E011-9D84-5568BDA040E3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405519,SD NEGERI 004 BATU ENGAU,30405519,Jln.Keang,SEGENDANG,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,12-12-1979,,01-01-1910,Silakan Upload SK,,B,"2,892",1. Telkomsel Flash,2. -,PLN,,,nainzull006@gmail.com,,-2.248300000000,116.314200000000,11,80,116,11,SD 2013,Sehari Penuh/6 hari,,2022/2023-2,Telkomsel Flash,0,9,0,1,4,3,3,0,5,9,1,1,0,4,7,0,11,0,1,2,4,2,0,1,1,6,5,,,,9,0,0,0,1,0,0,0,2,2,1,2,2,2
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/203C077E-30F5-E011-AE3E-0798C145ED32,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405529,SD NEGERI 005 BATU ENGAU,30405529,Bai Jaya,BAI JAYA,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,01,02-07-2002,Nomor 420/KEP-601/2014,15-09-2014,Silakan Upload SK (link file tidak valid) => [426052-91799218-1274232199.PDF],2018-03-02 19,B,"23,000",1. Indosat IM3,2. Telkomsel Flash,PLN,,,005besdn@gmail.com,http,-2.155300000000,116.123200000000,8,87,84,6,SD 2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,"1,200",6,0,2,2,4,0,0,4,5,1,2,0,3,5,0,8,0,0,3,3,0,1,1,0,2,6,,,,0,6,0,0,2,0,0,0,1,1,1,1,1,1
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0049077E-30F5-E011-83FA-FB8221030231,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405361,SD NEGERI 006 BATU ENGAU,30405361,Batu Engau,PETANGIS,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,A,"6,840",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn.006.batuengau@gmail.com,,-2.098300000000,116.111800000000,16,145,142,12,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,154",8,0,0,4,2,5,0,9,14,0,2,0,3,13,0,15,1,3,3,6,3,0,0,1,5,11,,,,0,0,8,0,0,0,0,0,2,2,2,2,2,2
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6056077E-30F5-E011-BB70-4B868CED7902,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405373,SD NEGERI 007 BATU ENGAU,30405373,Jalan Desa Pengguren Jaya Ke.Batu Engau Kab.Paser Provinsi KalTim,PENGGUREN JAYA,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"7,876",1. -,2. -,PLN,,,sdn007batuengau02@gmail.com,,-2.333300000000,116.339800000000,8,40,32,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,200",6,0,0,2,3,2,0,3,5,1,2,0,2,6,0,7,1,2,1,3,1,1,0,0,3,5,,,,0,6,0,0,0,0,0,0,1,1,1,1,1,1
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5063077E-30F5-E011-91E8-C1A7B747567F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405372,SD NEGERI 008 BATU ENGAU,30405372,Jl. Propinsi KM.9 RT.02,KERANG DAYO,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,07-01-1984,,01-01-1910,Silakan Upload SK,,A,"35,100",1. -,2. Telkomsel Flash,PLN,,,sdn8batuengau@gmail.com,,-2.285300000000,116.045200000000,16,145,107,11,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",3,0,1,4,5,8,0,3,11,1,3,1,4,12,3,11,2,6,4,0,2,1,2,1,6,10,,,,2,1,0,3,1,0,0,0,2,1,2,2,2,2
Kalimantan Timur,Kab. Paser,Batu Engau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7070077E-30F5-E011-BEBF-A5680E7E6B66,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405371,SD NEGERI 009 BATU ENGAU,30405371,JL.pembangunan,TEMPAKAN,KEC. BATU ENGAU,KAB. PASER,PROV. KALIMANTAN TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1980,01-01-1980,,01-01-1910,Silakan Upload SK,,B,"11,880",1. -,2. Telkomsel Flash,PLN,,,sdnegeri009be@gmail.com,,-2.263300000000,116.123500000000,8,66,41,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,0,0,4,1,0,3,4,1,2,1,4,4,0,8,0,0,1,2,1,1,2,1,2,6,,,,6,0,0,0,0,0,0,1,1,1,1,1,1,1
