prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B060293A-033C-E111-8CAB-2BB205E8FF92,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304647,SD GMIT MBUEAIN,50304647,"Dusun Mbata, Desa Mbueain",MBUEAIN,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan YAPENKRIS,AG0044,Nomor,07-03-2023,NOMOR,28-12-2020,Lihat SK Operasional,2023-05-30 19,B,"4,371",1. -,2. Lainnya (Satelit),PLN,,,sd_mbueain20@yahoo.com,,-10.807300000000,122.829600000000,11,94,82,8,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",9,0,1,0,4,0,0,7,7,2,2,0,3,8,0,6,5,2,4,1,1,0,0,3,7,4,2,1,1,1,2,1,8,1,0,0,0,1,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E074293A-033C-E111-B6BA-116A0D35E1E1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304652,SD GMIT OELOLOT,50304652,Oelolot,OELOLOT,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan YUPENKRIS KABUPATEN ROTE NDAO,AG0064,015/SK/YAPENKRIS-SAND/III/2023,01-11-1964,503/IOS-06/DPMPTSP5,01-11-1964,Lihat SK Operasional,2023-05-31 08,C,"4,800",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,SDGMITOELOLOT@gmail.com,,-10.830300000000,122.826700000000,7,76,79,7,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,200",7,0,1,0,5,0,0,2,2,2,3,0,4,3,1,4,2,0,0,3,1,0,1,2,3,4,1,1,1,1,1,2,7,0,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/303B7939-033C-E111-849F-65EDEF3F0A34,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69727208,SD INPRES ANDA IKO,69727208,ANDA IKO NEMBERALA,NEMBERALA,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,30-10-1977,,30-06-1978,Silakan Upload SK (link file tidak valid) => [523286-106496--],2021-09-27 21,C,"5,293",1. Telkomsel Flash,2. Biznet (Serat Optik),PLN,,,sdiandaikonemberala@yahoo.com,,-10.888000000000,122.826300000000,9,89,58,7,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"2,200",16,0,6,12,7,0,0,2,3,0,6,0,5,4,0,8,1,0,2,2,0,2,2,1,5,4,1,1,1,1,1,2,16,0,0,0,6,0,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E04E7939-033C-E111-8CB0-CD3383B462B5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304628,SD INPRES BO A,50304628,Desa Boa,BOA,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,180/KEP/HK/2009,22-07-1980,503/140/DPMPTSP 1. 1,20-02-2023,Lihat SK Operasional,2023-02-21 12,C,"9,600",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sdinpresboa80@gmail.com,http,-10.931000000000,122.842200000000,9,69,87,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,289",7,1,1,1,3,2,0,4,6,1,2,0,3,6,0,4,5,0,3,3,2,1,0,0,2,7,1,1,1,1,1,1,7,0,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50267939-033C-E111-A5A9-49B6918C51D3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304664,SD INPRES RINALOLON,50304664,Rinalolon,OENITAS,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Tahun 1982,01-07-1982,503/148/DPMPTSP 1.1,22-02-2023,Lihat SK Operasional,2023-03-09 05,C,"4,211",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdrinalolon@gmail.com,,-10.879202000000,122.903177000000,7,55,56,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"5,500",7,0,1,3,3,0,0,4,4,1,2,0,3,4,0,5,2,0,3,2,2,0,0,0,2,5,1,1,1,1,1,1,5,0,2,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00657939-033C-E111-A6CA-536D062060E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304667,SD INPRES SEDEOEN,50304667,Sedeoen,SEDEOEN,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,05-12-1984,503/IOS-04/DPMTSP 5,09-05-2022,Lihat SK Operasional,2022-10-28 12,C,"5,529",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sdisedeoen05@gmail.com,,-10.881263000000,122.831460000000,12,90,73,9,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"3,500",10,0,1,6,4,2,0,6,8,0,4,0,6,6,0,11,1,4,2,1,3,1,1,0,6,6,1,2,1,1,2,2,10,0,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5A3136CB-70ED-4E42-B99E-009E11B59F7C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70010075,SD NEGERI OEFOE,70010075,Oefoe,SEDEOEN,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,DPMPST.03/Kab.RN/2019,16-07-2019,DPMPST.03/Kab.RN/2019,16-07-2019,Lihat SK Operasional,2021-05-07 13,,"7,587",1. Telkomsel Flash,2. Lainnya (Wavelan),Menumpang,,,sdnoefoe20@gmail.com,,.000000000000,.000000000000,5,33,28,4,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,4,0,0,2,0,0,0,5,5,0,0,0,1,4,0,2,3,3,1,1,0,0,0,0,3,2,1,1,1,1,0,0,4,0,0,0,0,0,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60C87939-033C-E111-819B-99B395DFEFB0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305340,SD NEGERI OENGGAUT,50305340,OENGGAUT,OENGGAUT,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,164/KEP/HK 2006,17-10-2006,503/IOS-03/DPMPTSP 5,09-05-2022,Lihat SK Operasional,2022-11-01 05,C,"10,080",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdnoenggaut@gmail.com,,-10.910100000000,122.826400000000,8,79,72,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",6,0,1,6,4,0,0,4,4,2,2,0,4,4,0,8,0,2,1,4,0,0,1,0,2,6,1,1,1,1,1,1,6,0,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C00E7939-033C-E111-929C-27F5B7A13CCD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304658,SD NEGERI OENITAS,50304658,Oenitas,OENITAS,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,543/IPS-10/KABKPG.4,01-01-1975,503/121/DPMPTSP 1.1,10-02-2023,Lihat SK Operasional,2023-03-16 10,B,"5,984",1. Telkomsel Flash,2. Lainnya,PLN,0,,oenitassdi@gmail.com,,-10.846489000000,122.862621000000,8,39,49,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",6,0,1,4,2,0,0,6,6,1,1,0,1,7,0,6,2,2,2,0,2,2,0,0,4,4,1,1,1,1,1,1,6,0,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6040A8FC-54FD-E111-832A-5F0A2AE14563,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50306075,SDN Manggis,50306075,MANGGIS,OENITAS,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,180.KEP/HK/2009,09-07-2009,503/41/DPMPTSP 1.1,07-02-2023,Lihat SK Operasional,2023-03-16 10,B,"3,620",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,sdnmanggis09@gmail.com,-10.856806000000,122.858216000000,9,57,43,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",6,0,1,4,4,0,0,5,5,2,1,1,4,5,0,7,2,3,2,2,1,0,0,1,5,4,1,1,1,1,1,1,6,0,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Rote-Ndao,Rote Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A097843A-033C-E111-99D0-BDAD77C19B03,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304583,SMP NEGERI 1 ROTE BARAT,50304583,Oenitas,OENITAS,KEC. ROTE BARAT,KAB. ROTE-NDAO,PROV. NUSA TENGGARA TIMUR,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0216/0/1992,05-05-1992,0216/0/1992,05-05-1992,Silakan Upload SK (link file tidak valid) => [491134-279938--],2021-08-13 16,B,"72,000",1. -,2. Telkomsel Flash,PLN,,,smp1rotebarat@yahoo.com,,-10.846504000000,122.864357000000,22,116,127,9,SMP 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,400",12,1,1,2,9,1,0,12,15,0,4,3,8,14,1,16,5,2,8,4,2,2,1,3,12,10,,,,,,,12,0,0,0,1,0,0,0,3,3,3
