prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/74496E80-65B6-4397-8246-F70E90B94B1A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60703623,MIS ISLAMIYAH TERUSAN ULU,60703623,DESA TERUSAN ULU,PADANG SARI,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,2.831578000000,99.547067000000,0,67,55,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E20BDFD5-8216-44D2-A275-66B66DE09EED,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264089,MTSS AL-AMIN,10264089,BUKIT SARI,PIASA ULU,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,2.814682000000,99.533359000000,0,3,1,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/78A13B34-1007-44FA-AC14-02CB85809CD1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264087,MTSS AMALIYAH PIASA ULU,10264087,JL.BESAR SEI KAMPAK DESA PIASA ULU,PIASA ULU,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,2.803206000000,99.545792000000,0,101,56,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A995A4A2-B46B-4CAE-AAB8-074B9067A2E4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264088,MTSS YAPI TINGGI RAJA,10264088,JL. BESAR TINGGI RAJA,TINGGI RAJA,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,2.899800000000,99.568400000000,0,134,116,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/203353DA-2EF5-E011-8389-BD18725976AB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204048,SMP SWSATA DARMA PUTRA,10204048,Jalan Besar Desa Piasa Ulu,PIASA ULU,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,40,04-05-1985,800/3061-DD/2012,08-11-2012,Silakan Upload SK,,C,"1,200",,2.,,,,smpdarmaputra@yahoo.com,,2.909100000000,99.454000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0ACE9DC-2EF5-E011-8890-7BCE234A214C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204803,UPTD SDN 010103 TINGGI RAJA,10204803,Tinggi Raja,TINGGI RAJA,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,01-01-1960,,01-01-1910,Lihat SK Operasional,2022-01-05 16,B,"3,551",1. Telkomsel Flash,2. Lainnya (Satelit),PLN,,,sdn010103tinggiraja@gmail.com,,2.904200000000,99.565100000000,8,83,85,6,Pagi/6 hari,,2022/2023-2,360,7,0,1,2,5,0,0,3,3,0,3,2,6,2,0,6,2,0,3,0,1,1,1,2,0,8,2,5,0,0,0,0,1,0,,,,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0B9E9DC-2EF5-E011-A759-F7F3A4189F93,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204802,UPTD SDN 010104 SUMBER HARAPAN,10204802,Sumber Harapan,SUMBER HARAPAN,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1979,,01-01-1910,Lihat SK Operasional,2022-01-05 16,C,"4,366",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,suryadk63@gmail.com,,2.797400000000,99.463300000000,9,39,38,6,Pagi/6 hari,,2022/2023-2,450,8,0,0,0,4,1,0,4,7,0,2,0,2,7,0,7,2,1,2,3,2,0,0,1,2,7,8,0,0,0,0,0,0,0,,,,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A08371DB-2EF5-E011-853A-CFD45C811681,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204798,UPTD SDN 010109 PIASA ULU,10204798,Jln. Besar Sei Kampak,PIASA ULU,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Lihat SK Operasional,2022-01-05 16,B,"6,480",1. Telkomsel Flash,2. Lainnya (Kabel),PLN,,,sdnpiasaulu09@yahoo.com,,2.924200000000,99.533800000000,14,147,126,11,Siang/6 hari,,2022/2023-2,0,12,0,0,2,5,3,0,6,12,2,0,0,4,10,2,8,4,3,1,6,1,1,1,1,2,12,7,5,0,0,0,0,0,1,,,,SD 2013,Telkomsel Flash,2,2,2,1,2,2
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E07E506B-83FE-E111-813E-9DFF69903B29,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204796,UPTD SDN 010111 TINGGI RAJA,10204796,Tinggi Raja,TINGGI RAJA,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1974,,01-01-1910,Lihat SK Operasional,2022-01-05 16,B,"4,918",1.,2.,PLN,,,,,2.818200000000,99.535000000000,10,113,91,8,Pagi/6 hari,,2022/2023-2,450,8,0,1,2,5,1,0,4,7,0,2,1,4,6,0,8,2,3,2,2,1,0,0,2,1,9,8,0,0,0,0,0,1,0,,,,SD 2013,Telkomsel Flash,1,1,1,2,1,2
Sumatera Utara,Kab. Asahan,Tinggi Raja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40D4E9DC-2EF5-E011-84A9-D1BD7DF278A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204292,UPTD SDN 013843 TERUSAN TENGAH,10204292,Terusan Tengah,TERUSAN TENGAH,KEC. TINGGI RAJA,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,07-01-1980,,01-01-1910,Lihat SK Operasional,2022-01-05 16,B,"4,800",1. -,2. Telkomsel Flash,PLN,,,sdn013843@yahoo.com,,2.877300000000,99.458000000000,12,122,116,9,Pagi/6 hari,,2022/2023-2,450,6,0,1,0,5,1,0,6,9,2,1,0,3,9,0,9,3,2,1,6,1,0,2,0,1,11,3,3,0,3,1,0,0,0,,,,SD 2013,Tidak Ada,2,1,1,2,1,2
