prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30219E39-033C-E111-B2E6-FBBA5F094E81,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69726303,SD INPRES BITING KEC. POCO RANAKA,69726303,Welu,RENDE NAO,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,293/INPRES/SKPGUB022/204,07-01-1982,,01-01-1910,Silakan Upload SK,,,"2,200",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdibiting@yahoo.com,,-8.593381700000,120.625393300000,12,70,81,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,0,2,5,0,0,7,7,2,3,0,1,11,3,5,4,1,2,4,0,0,2,3,7,5,1,1,1,1,1,1,4,0,2,3,0,0,0,0,,,
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/605F9E39-033C-E111-9D14-5FCC35F941F6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308736,SD INPRES DANGKA PARA,50308736,Dangka Para,RENGKAM,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,25/1984,27-05-1983,25/1984,01-01-1910,Silakan Upload SK (link file tidak valid) => [399842-426629--],2020-11-23 07,,"6,750",1. -,2. Telkomsel Flash,PLN,,,sdidangkaparaporatim@gmail.com,,-8.551700000000,120.623700000000,10,91,102,8,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",7,0,0,0,4,1,0,5,6,2,1,1,2,8,0,9,1,0,2,5,1,0,1,1,6,4,2,1,1,1,1,2,5,2,0,4,0,0,0,0,,,
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/600C9E39-033C-E111-9FAD-D52A0BDD74A7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308689,SD INPRES GOLO NDERU,50308689,Golo Nderu,COMPANG RACI,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,III/4/1183/82,26-07-1982,420/407/PPO/III/2023,01-03-2023,Lihat SK Operasional,2023-05-30 11,B,"16,650",1. Telkomsel Flash,2. Telkomsel Flash,Diesel,,,,,-8.538500000000,120.619700000000,9,62,55,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,000",4,0,1,0,5,1,0,3,4,1,4,0,1,8,0,3,6,1,1,2,0,0,2,3,7,2,1,1,1,1,1,1,0,3,1,3,0,1,0,0,,,
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90F79D39-033C-E111-BAF4-C3080C2173CF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69726515,SD Inpres Kengko,69726515,Kengko,TANGO MOLAS,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,08-071980,26-10-1981,GUBERNUR-KBH-TKT-1-NTTT-G,26-10-1981,Silakan Upload SK,,C,"28,000",1. -,2. Telkomsel Flash,PLN,,,sdikengko@gmail.com,,-8.413300000000,120.532900000000,8,35,31,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,1,0,3,0,0,5,5,2,0,1,1,7,1,3,4,1,3,1,0,0,0,3,7,1,1,1,1,1,1,1,0,6,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C07E9739-033C-E111-9E1A-87619C22B0B0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308748,SD INPRES LAWIR,50308748,Golo Waso,GOLO LERO,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"10,780",1. Telkomsel Flash,2. Lainnya,PLN,,,sdilawir21@gmail.com,,-8.553770000000,120.618351700000,10,74,50,7,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,299",9,0,1,0,5,2,0,3,5,1,4,0,6,4,1,7,2,0,4,3,1,0,0,2,7,3,2,1,1,1,1,1,9,0,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00D69E39-033C-E111-9520-6BFD20AF00FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308765,SD INPRES RACANG KEC. POCO RANAKA,50308765,Racang,ULU WAE,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,HK/190/1996,08-11-1959,,01-01-1910,Silakan Upload SK,,,"9,000",1. Telkomsel Flash,2. -,PLN,,,sdiracang1959@gmail.com,,-8.582848300000,120.642886700000,9,56,45,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,1,0,4,1,0,4,5,1,3,0,0,9,0,5,4,0,3,2,0,1,0,3,4,5,1,1,1,1,1,1,2,4,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60C29E39-033C-E111-8E53-17CE31C43825,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308768,SD INPRES REWUNG,50308768,Rewung,TANGO MOLAS,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,569,02-02-1982,,17-07-1988,Silakan Upload SK,,C,"2,817",1. -,2. Telkomsel Flash,PLN,,,attoksugi@gmail.com,,-8.569911700000,120.607455000000,9,44,63,6,SD 2013,Double Shift/6 hari,,2022/2023-2,Tidak Ada,"1,300",2,0,1,0,3,1,0,5,6,1,2,0,1,8,0,6,3,3,2,1,0,1,2,0,3,6,1,1,1,1,1,1,0,1,1,2,0,1,0,0,,,
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80739E39-033C-E111-BC5B-D9E7FD190429,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308773,SD INPRES WAE DARA,50308773,Ledu,COMPANG WUNIS,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,SKP GUB No 72,17-07-1984,SD INPRES SKP GUB NOMOR72,27-05-1985,Silakan Upload SK,,C,"11,820",1. -,2. -,Tenaga Surya,,,sdi.waedara@gmail.com,,-8.503800000000,120.636900000000,6,52,45,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,250,0,0,1,0,2,1,0,3,4,2,0,0,0,6,1,3,2,0,1,2,0,1,1,1,2,4,1,1,1,1,1,1,0,0,0,6,0,0,1,0,,,
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0109F39-033C-E111-8BA2-ADEE1745AB9B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308878,SD Inpres Wae Nunung,50308878,Colol,COLOL,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,No. 011.4/II/KSD/K/P/79,25-09-1979,,01-01-1910,Silakan Upload SK,,B,"20,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdiwaenunung21@gmail.com,,-8.594400000000,120.644200000000,13,126,118,8,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",8,0,1,2,8,0,0,5,5,2,6,0,4,9,0,8,5,1,4,5,1,0,1,1,9,4,2,2,1,1,1,1,8,0,0,0,1,0,0,0,,,
Nusa Tenggara Timur,Kab. Manggarai Timur,Poco Ranaka Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4058413A-033C-E111-BFB9-C78CE6E6CB49,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69726536,SD Katolik Arus,69726536,Arus,BANGKA ARUS,KEC. POCO RANAKA TIMUR,KAB. MANGGARAI TIMUR,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN SUKMA MANGGARAI TIMUR,AX3036,158/NSD/SKP/54B/22/04/51,01-08-1951,,01-01-1910,Silakan Upload SK (link file tidak valid) => [433846-693808--],2021-03-30 22,C,"5,000",1. -,2. -,PLN,,,sdkarus1951@gmail.com,,-8.531400000000,120.602500000000,7,73,57,6,SD 2013,Siang/6 hari,,2022/2023-2,Tidak Ada,899,7,0,0,0,1,0,6,0,6,0,1,0,3,4,0,7,0,0,3,2,1,0,1,0,4,3,1,1,1,1,1,1,3,4,0,4,0,0,0,1,,,
