prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A03027EA-FCFA-E111-9463-6FA654C8F99A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69725693,SMP NEGERI 3 GIDO,69725693,DESA OLINDRAWA SISARAHILI,OLINDRAWA SISARAHILI,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,42512015-8P/2010,18-08-2010,421.5/1671-POP/2011,21-06-2011,Silakan Upload SK,,C,"10,089",1. -,2. Telkomsel Flash,PLN,,,smpnegerigido@gmail.com,,1.095000000000,97.780200000000,18,66,59,6,SMP 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,3,0,1,1,4,4,0,10,16,1,0,1,3,15,0,14,4,6,5,2,4,0,0,1,7,11,2,2,2,0,0,3,3,0,0,1,0,,,,,,
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9000F4D8-2EF5-E011-AE14-47DE107AB66E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258071,SD NEGERI 071057 HILIWETO,10258071,Jln. Merdeka No. 40 Hiliweto Gido,HILIWETO GIDO,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421/120/VI/1948,01-01-1910,422.2/5461-Dikdas/2017,01-01-1910,Lihat SK Operasional,2018-05-11 08,A,"64,260",1. -,2. Telkomsel Flash,PLN,,,sdnegeri57hiliweto@gmail.com,,1.119100000000,97.723100000000,21,163,157,15,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",17,0,1,0,16,1,0,4,5,2,13,1,12,9,1,19,1,1,1,5,5,5,3,1,5,16,,,,7,10,0,0,0,1,0,0,3,3,2,2,2,3
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F02BF4D8-2EF5-E011-826E-13D760D5B5B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258092,SD NEGERI 071060 LASARA IDANOI,10258092,Lasara Idanoi,LASARA IDANOI,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,017/2005,14-11-2005,422.2/5785-Dikdas/2017,02-11-2017,Lihat SK Operasional,2020-09-15 09,A,"2,346",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0,0,sdn071060_lasaraidanoi@yahoo.com,,1.150500000000,97.705500000000,21,188,155,14,SD 2013,Double Shift/6 hari,,2022/2023-2,Telkomsel Flash,"1,200",12,0,1,0,13,1,0,7,8,2,11,0,9,12,0,15,6,2,1,6,4,2,2,4,4,17,,,,0,12,0,0,0,1,0,0,2,2,2,3,2,3
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/403AF4D8-2EF5-E011-BE1C-836988B492E9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258301,SD NEGERI 071068 DEKHA LAHEMO,10258301,Jln. Ho  Lahemo,LAHEMO,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK (link file tidak valid) => [690093-887108--],2022-08-29 05,B,"2,202",1. -,2. -,PLN,,,sdn_071068@yahoo.com,,1.097500000000,97.696900000000,15,96,95,11,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,5,0,4,2,6,1,0,8,10,0,5,0,5,10,0,11,4,3,3,3,3,0,2,1,8,7,,,,0,0,5,6,0,0,4,0,2,2,2,2,1,2
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0D1F9D8-2EF5-E011-B8C2-AF8AD4950352,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258894,SD NEGERI 071078 HILIWETO GIDO,10258894,Jln. Andeas No. 04,HILIWETO GIDO,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,392",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0,0,sdn.78hggido@yahoo.com,,1.117600000000,97.723600000000,19,196,184,13,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"2,500",15,0,1,2,11,1,0,7,9,1,7,2,12,7,0,6,13,2,3,1,6,3,1,3,5,14,,,,0,0,15,0,0,0,1,0,2,2,2,2,3,2
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60FAF9D8-2EF5-E011-A9DF-673E7231AEC3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258895,SD NEGERI 074053 DURIA HILISEBUA,10258895,Duria Hilisebua,HILISEBUA,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"1,460",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn.duriahilisebua53@gmail.com,,1.085800000000,97.750700000000,17,105,105,10,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,20,0,3,2,8,3,0,6,13,0,3,1,7,10,0,10,7,3,2,3,2,3,2,2,4,13,,,,4,8,8,0,2,1,0,0,2,2,1,1,2,2
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/702EFAD8-2EF5-E011-8F70-736E18F4AAB6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258510,SD NEGERI 075044 SAEWE,10258510,Jln. Arah Idanogawo KM 21.8,SAEWE,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,400",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,saewe.war@yahoo.com,,1.079700000000,97.696200000000,24,204,164,15,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,200",18,0,0,2,13,1,0,10,11,1,10,2,12,12,0,21,3,2,5,3,6,4,2,2,3,21,,,,0,18,0,0,0,0,0,1,2,3,2,2,3,3
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/803BFAD8-2EF5-E011-93EC-9F25998E9663,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258419,SD NEGERI 075045 SOMI,10258419,Somi,TULOMBAHO SALOO,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,24-04-1977,,23-04-1987,Silakan Upload SK (link file tidak valid) => [691257-286344--],2022-08-30 00,A,"2,915",1. -,2. Telkomsel Flash,PLN,,,sdnegerisomi@gmail.com,,1.127300000000,97.758100000000,24,206,176,14,SD 2013,Double Shift/6 hari,,2022/2023-2,Tidak Ada,450,11,0,2,3,12,0,0,12,13,1,9,1,11,13,2,17,5,5,0,8,6,3,0,2,6,18,,,,0,0,11,0,0,0,2,0,2,3,3,2,2,2
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60B1FAD8-2EF5-E011-B7C3-678F02BCFB91,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258096,SD NEGERI 075054 HUNO,10258096,Desa Lahemo,LAHEMO,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,318",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn075054huno@gmail.com,,1.106300000000,97.707100000000,10,58,43,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,0,0,0,0,5,1,0,4,5,2,3,0,5,5,0,9,1,3,1,2,1,1,1,1,5,5,,,,0,0,0,7,0,0,0,1,1,1,1,1,1,1
Sumatera Utara,Kab. Nias,Gido,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30BEFAD8-2EF5-E011-9241-F3691E78DBC7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10258292,SD NEGERI 075055 SISOBAHILI LADEA,10258292,Jalan Produksi Desa Ladea,LADEA,KEC. GIDO,KAB. NIAS,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1977,01-07-1977,,01-07-1977,Silakan Upload SK (link file tidak valid) => [716797-269018--],2022-09-28 05,C,"3,408",1. -,2. -,PLN,,,sdn075055s.ladea@gmail.com,,1.136700000000,97.681300000000,6,26,23,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,4,0,0,0,3,0,0,3,4,1,1,0,4,2,0,3,3,3,0,1,0,1,1,0,3,3,,,,0,0,4,8,0,0,0,1,1,1,1,1,1,1
