prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2480E85-AD57-482A-80DF-959DBC7B6CD2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69854350,MIS AlBasir Tanggakang,69854350,Tanggakang Lama,TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,Lainnya,,515 tahun 2013,12-04-2012,515 tahun 2013,07-10-2013,Lihat SK Operasional,2019-08-23 17,C,2.062 m2,1.,2.,,,,,,-5.600737000000,119.839856000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/47639DCC-1D6B-4DDF-8758-96E481EB0D41,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727122,MIS TAQWA UJUNG,60727122,JL. POROS BONTO UJUNG NO. 69,BONTO UJUNG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,D21/5/PP.00.4/81/07,26-04-2007,Kd.21.13/4/PP.03.2/81/2007,26-04-2007,Silakan Upload SK,,C,0 m2,1.,2.,,,,,,-5.593000000000,119.891500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EAE6EDC5-619D-47E0-9052-0E007BAE5E92,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60728908,MTS TAQWA UJUNG,60728908,JL. POROS BONTO UJUNG NO. 69,BONTO UJUNG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,124 TAHUN 2008,06-12-2008,124 TAHUN 2008,06-12-2008,Lihat SK Operasional,2019-08-28 19,B,0 m2,1.,2.,,,,,,-5.593100000000,119.891400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3C26D805-2E64-4E77-B640-512156DA9477,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888382,MTsS Al-Basir Tanggakang,69888382,Jln. Tanggakang Lama Desa Tarowang,TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,Lainnya,,Kd.21.13/PP.00.04/609/2014,25-04-2013,Kd.21.13/PP.00.04/609/2014,13-10-2014,Lihat SK Operasional,2019-08-23 13,C,2.062 m2,1.,2.,,,,,,-5.608674000000,119.856497000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6CCF9443-953F-4107-92A4-903AD24E831E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69788474,MTsS AL-FIQHRI TURATEA BALTAR,69788474,"BALANG LOE, DESA BALANG LOE TAROWANG",BALANG LOE TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,Lainnya,,513 Tahun 203,01-08-2011,513 Tahun 203,02-10-2013,Lihat SK Operasional,2019-08-27 13,C,2.500 m2,1.,2.,,,,,,-5.580247000000,119.848209000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E7A4980-7492-417D-B3CF-3111A452A1B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727678,MTSS DDI PARANGSIALLA,60727678,JL. POROS TINO CAMPAGALOE KM 3,TINO,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,74.B Tahun 2008,03-04-2008,74.B Tahun 2008,03-04-2008,Lihat SK Operasional,2019-08-27 22,C,1.507 m2,1.,2.,,,,,,-5.561900000000,119.884700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C9AF0C0D-CF37-492A-9184-4CE8397C559E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729721,MTSS NURUL IMAN TAROWANG,60729721,JL. MASJID RAYA TAROWANG,TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,015/Ya/Pd/VII/1990,11-06-1990,258 Tahun 2016,28-03-2016,Lihat SK Operasional,2019-08-28 10,B,1.507 m2,1.,2.,,,,,,-5.603200000000,119.859200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20893BBC-0D26-E111-BFF1-375B62B23EE1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301795,UPT SD NEGERI 1 TAROWANG,40301795,Bontorappo,BONTORAPPO,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,22070827003,31-12-1927,101190505029,15-05-1928,Lihat SK Operasional,2021-09-02 11,B,6.750 m2,1. -,2. Telkomsel Flash,PLN,,,adolfjaya59@gmail.com,,-5.600900000000,119.774100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0173BBC-0D26-E111-956A-797FBE486626,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301826,UPT SD NEGERI 10 TAROWANG,40301826,Tarowang,TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-10-1975,Nomor,01-01-1910,Lihat SK Operasional,2021-08-26 12,B,2.925 m2,1. -,2. Telkomsel Flash,PLN,,,hasmahjie1@yahoo.gmail,,-5.602400000000,119.860900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/402239BC-0D26-E111-828B-99FBFA0A9362,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301940,UPT SD NEGERI 11 TAROWANG,40301940,Ujung Timur,BONTO UJUNG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,01/07/1979,01-10-1979,01/07/1970,01-01-1910,Lihat SK Operasional,2021-08-30 13,A,3.975 m2,1. Telkomsel Flash,2. -,PLN,,,sdinpres160ujung@gmail.com,,-5.588300000000,119.897500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
