prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5A5A3C52-F590-4495-B260-CE757DD1E652,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723796,MIS DDI TAKKALASI,60723796,JL. H. M. TAHIR DANI NO. 21 TAKKALASI,TAKKALASI,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,Yayasan Darud Da'wah wal Irsyad (DDI),AC5275,No. PB/K.106/129/V/2001,24-05-2001,Kd.21.15/4/PP.00./612/2011,21-04-2011,Lihat SK Operasional,2016-07-18 08,A,0,,2.,,,,,,-4.321800000000,119.639700000000,0,128,78,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D5A145FA-37F6-4B8E-AD18-05FE8119CDD4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723795,MIS MUHAMMADIYAH PUDEE,60723795,JL.H.A.PALLOGE NO.6 PUDEE,TAKKALASI,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,23/IV.Ibt/79,01-11-1979,Kd.21.15/4/PP.00/1836/2011,09-08-2011,Lihat SK Operasional,2015-11-05 07,C,0,,2.,,,,,,-4.315700000000,119.636700000000,0,17,10,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C50D656F-D362-478A-BD95-543F5A4AF359,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320124,MTSS DDI TAKKALASI,40320124,JL. H. M. TAHIR DANI NO. 21 TAKKALASI,TAKKALASI,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,Yayasan Darud Da'wah wal Irsyad (DDI),AC5275,PB/K.105/128/V/2001,24-05-2001,Kd.21.15/4/PP.00/550/2012,29-02-2012,Lihat SK Operasional,2016-06-28 09,A,0,,2.,,,,,,-4.321700000000,119.639500000000,0,319,255,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A1FB8FC4-83AC-40DB-AF78-1CF64EC788D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320125,MTSS GUPPI MADELLO,40320125,LATIMPA DESA MADELLO,TAKKALASI,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,6/4-75N-79,01-11-1976,Kd.21.15/4/PP.00/826/2013,01-11-1976,Lihat SK Operasional,2015-11-16 13,B,0,,2.,,,,,,-4.331500000000,119.636400000000,0,154,68,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F98E8E74-D432-475E-87FB-74746319E014,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40318966,SMP ISLAM KREATIF PRATIWI,40318966,MADELLO BELAKANG DOLOG,BALUSU,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN CJLI INDONESIA,AC5273,,10-02-2014,,10-02-2014,Silakan Upload SK,,Tidak Terakreditasi,"1,750",,2.,,,,smpi.pratiwi@gmail.com,,-4.329863100000,119.638749100000,8,0,0,0,,,2022/2023-2,,0,0,0,0,2,0,8,0,6,0,2,0,1,7,0,3,5,1,0,1,1,3,1,1,4,4,0,0,0,0,0,0,0,0,SMP 2013,,,,,,,,,,
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/609EACC0-0D26-E111-ACAE-0BECAAC90727,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302142,SMP MUHAMMADIYAH TAKKALASI,40302142,Takkalasi,TAKKALASI,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Barru,AO5680,928 II-031/SW.S-62/1978,22-02-1978,F.0446/SUB/SET/68,21-08-1968,Silakan Upload SK,,C,738,1. -,2. Telkomsel Flash,PLN,,,barru.blsu.smpmuhammadiyah@gmail.com,http,-4.315931600000,119.636831600000,12,20,4,3,Pagi/6 hari,,2022/2023-2,900,3,2,1,2,5,0,8,0,7,0,4,1,7,5,0,8,4,4,2,0,1,0,1,4,0,12,0,3,0,0,1,0,0,0,SMP 2013,1,1,1,Tidak Ada,,,,,,
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70E257BC-0D26-E111-9F4D-15100FC083EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302179,UPTD SD NEGERI 176 BARRU,40302179,Takkalasi,TAKKALASI,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,429/17/DP-TU/2016,12-12-1958,420/21/DP-TU/2016,06-04-2016,Lihat SK Operasional,2021-03-01 07,A,"4,747",1. Telkomsel Flash,2. Telkom Speedy,PLN,,04272323633,sdn_takkalasi@yahoo.com,http,-4.317078300000,119.637916700000,13,95,88,10,Pagi/6 hari,,2022/2023-2,"2,300",15,0,1,4,8,0,0,5,6,0,4,3,9,4,0,12,1,1,4,2,0,0,2,4,5,8,6,3,6,3,0,1,0,0,SD 2013,,,,Telkomsel Flash,2,1,2,1,2,2
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40DA5ABC-0D26-E111-8079-DD7A701CE932,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302125,UPTD SD NEGERI 177 BARRU,40302125,Temmireng,TAKKALASI,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-01-1981,,01-01-1910,Lihat SK Operasional,2021-03-01 07,B,"1,727",1. 3 (Tri),2. -,PLN,0,0,sdi_temmireng@yahoo.co.id,,-4.305006700000,119.637076700000,7,23,19,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,3,2,0,2,4,1,0,2,4,3,0,6,1,0,0,3,1,1,1,1,3,4,0,6,0,0,0,1,0,0,SD 2013,,,,3 (Tri),1,1,1,1,1,1
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00BE57BC-0D26-E111-ADE9-A154EB9C1058,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302072,UPTD SD NEGERI 178 BARRU,40302072,Balusu,BALUSU,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,173",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,barru.blsu.sdnbalusu@gmail.com,http,-4.307150000000,119.657508300000,9,42,41,6,Pagi/6 hari,,2022/2023-2,"1,300",7,0,1,1,4,2,0,3,7,2,0,0,3,6,0,8,1,1,5,3,0,0,0,0,1,8,0,7,0,0,0,1,0,0,SD 2013,,,,Telkomsel Flash,1,1,1,1,1,1
Sulawesi Selatan,Kab. Barru,Balusu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90055BBC-0D26-E111-88B3-A9D6B7A1E873,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302358,UPTD SD NEGERI 179 BARRU,40302358,Jolenge,TAKKALASI,KEC. BALUSU,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Inpres Nomor 5 Tahun 1981,01-01-1981,420/21/DP-TU/2016,01-01-1910,Lihat SK Operasional,2022-08-11 10,B,"2,137",1. -,2. Telkom Speedy,PLN,,,barru.blsu.sdijolenge@gmail.com,http,-4.321185000000,119.644313300000,9,26,24,6,Pagi/6 hari,,2022/2023-2,"2,200",5,0,1,1,4,4,0,1,7,0,1,1,3,6,0,5,4,4,1,3,0,0,0,1,1,8,1,4,0,1,0,1,0,0,SD 2013,,,,Tidak Ada,1,1,1,1,1,1
