prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8B1983D8-17E1-4D5C-AF54-218131DB5A44,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708923,MIS AL HIKMAMUSSALAFIYAH,60708923,Jl. PU Bangong Temiyang Sari Rt 01 Rw 01,TEMIYANGSARI,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,MI.24/PP.00.4/4.13/1998,24-12-1998,MI.24/PP.00.4/4.13/1998,24-12-1998,Lihat SK Operasional,2021-06-18 00,B,0,,2.,,,,,,-6.492100000000,108.025700000000,0,100,66,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5EE3382E-671C-444B-A0FD-4111D015DDA8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708924,MIS DARUSSALAM,60708924,Jl. PU Suren RT.010 RW.003,SUKASLAMET,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,MI-24/PP.004/413/1998,24-12-1998,kd.10.12/PP.00.4/033/2010,17-06-2010,Lihat SK Operasional,2020-02-29 10,B,0,,2.,,,,,,-6.529100000000,108.027000000000,0,30,33,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C062F96A-F77C-4FE4-BF91-4883D89236C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69956169,MIS MIFTAHUL BAROKAH,69956169,Blok Kedungkilayu Rt.09 Rw.03,TEMIYANGSARI,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,Lainnya,,0146/IPM/2016,20-06-2016,0146/IPM/2016,20-06-2016,Lihat SK Operasional,2021-08-13 17,B,0,,2.,,,,,,6.475700000000,108.032200000000,0,92,91,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/21951C7F-E406-4DFF-B31D-447430C6EA67,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708925,MIS MIFTAHUL ULUM BOGOR,60708925,Blok Bogor,TEMIYANG,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,Kd.10.12/PP.00.4/012/2010,17-06-2009,32-12/MI/0125/2010,21-06-2010,Lihat SK Operasional,2016-08-29 14,C,0,,2.,,,,,,-6.465500000000,108.053100000000,0,152,144,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D60B9375-BA7A-4C64-B815-B020FE677650,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69956170,MIS Nahdlotur Rijal Kroya,69956170,"Jl. Raya Kroya,",KROYA,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,Lainnya,,NOMOR 0147/IPM/2016,20-06-2016,NOMOR 403 TAHUN 2016,20-06-2016,Lihat SK Operasional,2022-07-19 12,B,0,,2.,,,,,,.000000000000,.000000000000,0,102,69,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/025CE381-F2C8-4A5F-BB1B-B7FD7CB164AB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20279056,MTSS HIDAYATUL MA ARIF TEMIYANG,20279056,"Jl. Babakan Dampayang Gantar, Blok Cilegeh RT/RW 020/008",TEMIYANG,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MTs,Kementerian Agama,,,D/Kw.10/MTs/1380/2008,21-02-2008,D/Kw.10/MTs/1380/2008,21-02-2008,Lihat SK Operasional,2019-11-21 15,B,0,,2.,,,,,,-6.471000000000,108.031700000000,0,112,85,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A96BEDAC-977B-4DFE-8E1C-2597EE1F1565,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69927600,MTsS KH. AHMAD RIFA`I,69927600,Jl. Pu Bangong Desa Temiyangsari Kec.kroya Kab.indramayu,TEMIYANGSARI,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MTs,Kementerian Agama,Lainnya,,0116/0023/IO.MTs.0013/2015,28-01-2015,0116/0023/IO.MTs.0013/2015,28-01-2015,Lihat SK Operasional,2021-06-18 00,C,0,,2.,,,,,,-6.491700000000,108.025900000000,0,41,39,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/461D1064-15E7-4606-953F-5CCCACE71A1B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20279057,MTSS MA ARIF SUKASLAMET,20279057,Jl.pu. Suren Desa Sukaslamet,SUKASLAMET,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MTs,Kementerian Agama,,,Kd.10.12/PP.00.5/034/2010,17-06-2010,Kw.10.4/4/PP.00.5/570/2007,13-02-2007,Lihat SK Operasional,2021-06-17 15,A,0,,2.,,,,,,-6.571100000000,108.017300000000,0,44,39,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C081A414-2CF5-E011-A1D5-FFD889C87873,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20255114,SMP AL-LATIEFIYYAH,20255114,Jl. Pu Sumbon Samping Pintu KA Kedokan Gabus,SUMBON,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AL-LATIEFIYYAH,AA3687,012/YA.PONPES/KEP/XII/IV,19-05-2008,421.2/KEP.127-DIKMEN/2009,30-09-2009,Lihat SK Operasional,2021-01-19 07,B,"1,050",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smp.allatiefiyyah@gmail.com,http,-6.468900000000,108.105000000000,15,103,71,6,Siang/6 hari,,2022/2023-2,"2,200",6,0,0,2,0,0,15,2,15,0,0,0,2,13,0,12,3,3,5,1,2,3,1,0,8,7,0,0,6,0,0,0,0,0,SMP 2013,Telkomsel Flash,2,2,2,,,,,,
Jawa Barat,Kab. Indramayu,Kroya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/74ACA866-1E5B-4284-8C37-626656CFFC87,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69892481,SMP ISLAM KROYA,69892481,Jl. PU Tanjungkerta,TANJUNGKERTA,KEC. KROYA,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN MIFTAHUL HUDA,AA3691,420.20.SIP.023/Kep.26-Sekret,24-02-2016,421.20/KEP.33-DISDIK/2015,23-02-2015,Lihat SK Operasional,2016-07-25 14,B,"1,400",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smp_islamkroya@yahoo.com,,-6.492200000000,108.025800000000,9,48,28,3,Pagi/6 hari,,2022/2023-2,900,3,1,1,0,0,0,10,0,9,0,0,0,2,7,0,4,5,2,4,1,2,0,0,0,6,3,0,3,0,0,0,0,1,0,SMP 2013,Telkomsel Flash,1,1,1,,,,,,
