prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0707856-2DF5-E011-812B-853EBAD1F8D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20309170,SD NEGERI 1 BENGLE,20309170,"Bengle RT 05 RW 03 Wonosamodro, Boyolali 57382",BENGLE,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,S.R/KEP/PDK/6/1/7,01-01-1962,Perbup Boyolali No 6 Tahun 2019,01-04-1985,Silakan Upload SK (link file tidak valid) => [535667-776716--],2021-10-29 11,B,"1,000",1. Lainnya (Wavelan),2. Telkomsel Flash,PLN,,,sdn1benglewonosamodro@gmail.com,,-7.242400000000,110.666500000000,8,51,42,6,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya (Wavelan),899,4,0,0,2,5,0,0,3,7,0,1,0,4,4,1,5,2,2,4,2,0,0,0,0,3,5,1,1,1,1,1,1,4,0,0,2,0,0,0,0
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0D87856-2DF5-E011-9DFF-3FF17C79B685,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20308982,SD NEGERI 1 GILIREJO,20308982,"Buluk, Gilirejo",GILIREJO,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,4212/013/XVII/34/1985,01-04-1985,4212/013/XVII/34/1985,01-04-1985,Lihat SK Operasional,2023-02-08 09,B,"1,350",1. -,2. -,PLN,,,sdn1gilirejo@gmail.com,,-7.291800000000,110.632900000000,8,68,72,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,898,6,0,1,1,5,0,0,3,8,0,0,0,6,2,0,8,0,2,4,2,0,0,0,0,2,6,1,1,1,1,1,1,6,0,0,0,1,0,0,0
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60FF7856-2DF5-E011-9372-23D3E3E22548,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20308941,SD NEGERI 1 GUNUNGSARI,20308941,Bendungan,GUNUNGSARI,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.2/013/XVII/34/1985,01-04-1985,Perbup Boyolali No 6 Tahun 2019,01-04-1985,Lihat SK Operasional,2019-07-10 22,B,0,1. Telkomsel Flash,2. Lainnya (Wavelan),PLN,,,sdngunungsari2013@gmail.com,http,-7.321400000000,110.650000000000,11,38,41,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,876,6,0,1,0,7,2,0,2,9,0,2,0,6,5,0,10,1,0,5,5,1,0,0,0,3,8,1,1,1,1,1,1,0,3,3,0,0,1,0,0
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/600C7956-2DF5-E011-90D0-AF88F85B7DA8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20308961,SD NEGERI 1 JATILAWANG,20308961,Kuniran,JATILAWANG,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,4212/013/XVIII/34/1985,01-01-1910,4212/013/XVIII/34/1985,01-01-1910,Lihat SK Operasional,2022-11-18 10,B,"3,584",1. Telkomsel Flash,2. Lainnya (Satelit),PLN & Diesel,,,sdnegeri1jatilawang@gmail.com,,-7.228700000000,110.637000000000,9,64,62,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,1,1,7,1,0,1,6,0,3,0,6,3,0,8,1,1,3,1,1,2,0,1,4,5,1,1,1,1,1,1,0,2,4,0,1,0,0,0
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/508B7856-2DF5-E011-BF69-B76B54E33B0D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20309005,SD NEGERI 1 KALINANAS,20309005,Tempuran 05/ 02,KALINANAS,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.2/013/XVII/34/1985,01-04-1985,Perbub No. 06 Tahun 2019,18-02-2019,Lihat SK Operasional,2019-06-17 14,B,805,1. Telkom Speedy,2. Telkomsel Flash,PLN,,,sd1kalinanas.byl@gmail.com,,-7.315800000000,110.610500000000,8,52,52,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,900,0,0,1,2,4,2,0,2,7,1,0,0,5,3,0,7,1,3,1,3,1,0,0,0,4,4,1,1,1,1,1,1,0,0,0,6,0,1,0,0
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0E57856-2DF5-E011-AA68-BD188597230A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20308324,SD NEGERI 1 KEDUNGPILANG,20308324,Kunciombo,KEDUNGPILANG,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1340/01/1969,04-10-1969,421.2/013/XVII/3/1985,01-04-1985,Lihat SK Operasional,2019-07-26 11,B,"1,339",1. Lainnya (Serat Optik),2. Telkomsel Flash,PLN,,,sdnkedungpilang20@gmail.com,,-7.307900000000,110.634300000000,8,87,72,6,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya (Serat Optik),900,5,0,1,1,7,0,0,1,3,1,2,2,7,1,0,5,3,0,3,3,0,0,0,2,3,5,1,1,1,1,1,1,0,5,0,1,0,1,0,0
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40B27856-2DF5-E011-86B7-D10A2B044CE9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20308364,SD NEGERI 1 NGABLAK,20308364,Gajihan,NGABLAK,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.2/013/XVII/34/1985,01-04-1985,Perbub No. 06 Tahun 2019,18-02-2019,Lihat SK Operasional,2019-06-17 14,B,"2,102",1. Indosat IM3,2. Lainnya,PLN,,,sdn1ngablak1@gmail.com,,-7.324300000000,110.618300000000,6,62,57,6,SD 2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,900,6,0,1,0,5,0,0,1,5,0,1,0,3,3,0,6,0,1,3,1,0,1,0,0,1,5,1,1,1,1,1,1,6,0,0,0,0,1,0,0
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10577856-2DF5-E011-ACBE-E9E89DB62630,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20308278,SD NEGERI 1 REPAKING,20308278,Traban,REPAKING,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.2/013/XVII/34/1985,01-04-1985,Perbup Boyolali No 6 Tahun 2019,01-09-2012,Lihat SK Operasional,2019-07-10 22,B,"2,397",1. Lainnya,2. Lainnya,PLN,,,sdn1repaking@gmail.com,,-7.228900000000,110.637200000000,8,70,63,6,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya,900,6,0,1,2,7,1,0,0,4,1,1,2,7,1,1,5,2,1,1,3,1,0,0,2,5,3,1,1,1,1,1,1,0,6,0,0,0,0,1,0
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10FEA90E-40BC-E111-9F2F-5D141702D497,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20309169,SD NEGERI 2 BENGLE,20309169,"Pendem, Bengle, Wonosamodro",BENGLE,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,503/569/14/2004,25-04-2004,Perbup Boyolali No 6 Tahun 2019,04-04-2005,Lihat SK Operasional,2019-07-10 22,B,"2,025",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn2bengle@gmail.com,,-7.322400000000,110.619100000000,7,39,31,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,2,0,0,0,3,4,0,0,7,0,0,0,3,4,0,5,2,0,3,3,1,0,0,0,3,4,1,1,1,1,1,1,0,2,0,4,0,0,0,0
Jawa Tengah,Kab. Boyolali,Wonosamodro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20407956-2DF5-E011-A391-67DD1DDE7AFB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20308940,SD NEGERI 2 GUNUNGSARI,20308940,GUNUNGSARI,GUNUNGSARI,KEC. WONOSAMODRO,KAB. BOYOLALI,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.2/013/XVII/34/1985,01-04-1985,Perbup Boyolali No 6 Tahun 2019,01-04-1985,Lihat SK Operasional,2019-07-10 22,B,"3,488",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,,sdngunungsari22019@gmail.com,,-7.302100000000,110.654400000000,9,103,87,7,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya (Serat Optik),900,7,0,1,0,6,2,0,1,7,0,2,0,8,1,0,9,0,0,4,1,2,1,0,1,2,7,2,1,1,1,1,1,0,0,7,0,0,0,1,0
