prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1C1BDC8B-6579-46E4-8424-76FF384266B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69764473,KB HARAPAN BANGSA,69764473,MUARA BATANG TORU,PARDAMEAN,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,80/2005//SK/2009,,Silakan Upload SK,,,375,,2.,,,,paudharapanbangsa55@gmail.com,,.000000000000,.000000000000,0,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/49646C8B-ECCF-42C8-8E64-92F65E2B6BFE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69872482,KB HOLONG NI ROHA,69872482,MUARA HUTA RAJA,MUARA HUTA RAJA,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,425131,,Silakan Upload SK,,,400,,2.,,,,paudholongniroha@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9ADE32C8-76D3-4139-AE93-E81A6C56DCD7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69938467,PAUD WIDYA UTAMA,69938467,Muara Ampolu,MUARA AMPOLU,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421/08.PLS-,20-02-2015,421/08.PLS-,20-02-2015,Lihat SK Operasional,2016-03-09 23,,740,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,paudwidyautamambt@gmail.com,,1.417615000000,98.909730000000,7,0,0,0,2013,Pagi/6 hari,,2022/2023-2,150,7,0,0,0,0,0,2,5,7,0,0,0,0,7,0,1,6,2,2,2,1,0,0,0,1,6,7,0,0,0,0,0,0,0,Telkomsel Flash
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/453E23B1-072C-4895-AC27-901D9C9B3F04,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69984325,PAUD/TK FAZA AZKIA,69984325,Kelurahan Hutaraja,HUTA RAJA,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN FAZA AZKIA,AB7118,179,28-03-2012,503/035/DPMPPTSP/XII/2018,04-12-2018,Lihat SK Operasional,2019-01-07 12,,"2,100",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,fazaazkia1@gamail.com,,.000000000000,.000000000000,11,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,11,0,0,2,0,0,9,3,11,0,0,0,1,10,0,0,11,9,0,0,1,0,0,1,0,11,8,3,0,0,0,0,0,0,Telkomsel Flash
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/09849F30-55DB-47AD-AE3B-3FDF22808CF5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70011155,PAUD/TK IKHWANUL HABIB,70011155,Desa Muara Ampolu,MUARA AMPOLU,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Darul Ikhwanul Habib,AX0786,25,27-07-2020,1276000450869,06-04-2021,Lihat SK Operasional,2021-07-06 08,,220,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,450,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Telkomsel Flash
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1807F9D6-02EC-4526-A79D-23AE2F72E912,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69872436,TK AL-FAUZAN,69872436,MUARA HUTA RAJA,MUARA HUTA RAJA,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,38,05-06-2013,421/165.PLS,08-06-2016,Lihat SK Operasional,2019-05-11 13,C,200,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,paudalfauzanmbt@gmail.com,,.000000000000,.000000000000,7,0,0,0,PAUD Merdeka,Pagi/6 hari,,2022/2023-2,"1,200",6,0,0,0,0,0,1,6,7,0,0,0,0,7,0,0,7,4,2,1,0,0,0,0,0,7,2,4,0,0,0,0,0,0,Telkomsel Flash
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/444622EC-5DF0-4E88-8947-BAE78151451B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69977384,TK AN NISA,69977384,Desa Muara Huta Raja,MUARA HUTA RAJA,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,66/PAUD.TK.AN-NISA/IV/2018,25-04-2018,503/023/DPMPPTSP/V/2018,21-05-2018,Lihat SK Operasional,2018-10-14 17,,150,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,paudannisambt@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,150,2,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Telkomsel Flash
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3C0A2800-5FD6-4249-B1B2-E45759CD2D36,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69872481,TK ANUGERAH,69872481,TERAPUNG RAYA,TERAPUNG RAYA,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,78,17-02-2012,421/95.PLS,31-03-2016,Lihat SK Operasional,2020-03-30 13,,"2,000",,2.,,,,paudanugerahmbt@gmail.com,,-5.443757000000,114.421127000000,0,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/481C83B3-B97E-4295-919F-1FE03D2F6075,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69977383,TK BAHARI,69977383,Desa Muara Upu,MUARA UPU,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,002/PAUD.TK.BHR/VI/2018,18-04-2018,503/022/DPMPPTSP/V/2018,21-05-2018,Lihat SK Operasional,2018-05-25 23,,0,1. -,2. -,Tenaga Surya,,,Paudbahari18@yahoo.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,450,3,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,Tidak Ada
Sumatera Utara,Kab. Tapanuli Selatan,Muara Batangtoru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E873C7A-EAB2-4A77-B280-F26196863143,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69973241,TK HARAPAN JAYA,69973241,Kelurahan Muara Manompas,MUARA AMPOLU,KEC. MUARA BATANGTORU,KAB. TAPANULI SELATAN,PROV. SUMATERA UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AX5554,18/PAUD-HJ/XII/2017,28-12-2017,503/009/DPMPPTSP/II/2018,15-02-2018,Lihat SK Operasional,2018-02-21 14,,100,1. Telkom Speedy,2. Telkom Speedy,PLN,,,lusianatarihoran@yahoo.co.id,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,3,0,0,6,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,Telkom Speedy
