prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A6019E5F-8118-40B1-9A23-70AC5A1FA814,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69791741,AL FAWAID,69791741,Dusun Gunung Kenek,SEDDUR,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AL8455,,,4113013432,,Silakan Upload SK,,Belum Terakreditasi,750,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,paudalfawaid@gmail.com,,-7.033844000000,113.559668000000,7,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,4,0,0,2,0,0,7,1,7,0,0,0,0,7,2,0,5,1,1,5,0,0,0,0,0,7,4,0,0,0,0,0,0,0
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/835BB2FF-7809-4EFE-9EDE-2FE9B7ED5BFD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69791739,AL MUKHLISIN,69791739,PANDIYAN,SEDDUR,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,Kd.13.28/05.00/PP.00.4/279/2010,20-07-2006,Kd.13.28/05.00/PP.00.4/279/2010,01-07-2010,Lihat SK Operasional,2016-01-27 06,,70,,2.,,,,paud.almukhlisin93@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF099DE2-5516-4949-A0B0-657EC588FF7D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69791745,BINA IQRO,69791745,DUSUN TENGGINAH,KLOMPANG TIMUR,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AL-HASANI,AL8482,,,411.33/071/432.412/2012,,Silakan Upload SK,,,"1,625",1. -,2. -,PLN,,,paudbinaiqro@gmail.com,,-7.052632000000,113.577360000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A6A71D05-DA26-430F-A06B-280020097199,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69791610,HAUDLATUL ULUM,69791610,SUMBER CANGKRENG,CENLECEN,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AL8472,Kd.13.28/05.00/PP.00.4/171/2010,01-07-2010,Kd.13.28/05.00/PP.00.4/171/2010,01-07-2010,Lihat SK Operasional,2016-01-13 09,Belum Terakreditasi,429,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,riskiyahcaem@gmail.com,,-7.053161000000,113.591806000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,1,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A606E66B-1C5B-43BD-89DA-001FE3D3C97D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69810071,KB AL-HASANAH,69810071,BATES BARAT,BICORONG,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,841/3440/441.302/2008,,Silakan Upload SK,,B,"2,600",,2.,,,,paudhasanah5@gmail.com,,-7.526230000000,113.539000000000,3,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/73B42F43-1BAA-49DB-9A36-01A718DB7719,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69810082,KB AL-HASANIYAH,69810082,PAO BAWANG,KLOMPANG BARAT,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AL-KHOLILY,AL8478,,,841/3440/441.302/2008,,Silakan Upload SK,,Belum Terakreditasi,200,1. Axis,2. Telkomsel Flash,PLN,,,al_hasaniyah44@yahoo.com,,-5.443757000000,114.421127000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Axis,450,2,0,0,1,0,0,2,1,2,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1BF6C4E8-024B-4BDB-9680-D80D66658C10,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69810109,KB AL-KHOLILI,69810109,SUMBER BUNGUR,PAKONG,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,AL8483,,,841/3440/441.302/2008,,Silakan Upload SK,,,0,,2.,,,,paudalkholili30@gmail.com,,-7.039458000000,113.554194000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B835471F-E92D-4D55-8DA3-EF3E414EBF96,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69810139,KB AL-MIFTAH,69810139,DUSUN TENGGINAH,KLOMPANG TIMUR,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ISTIANAH,AL8447,,,841/6993/441.302/2007,,Silakan Upload SK,,,"1,056",1. -,2. Lainnya (Serat Optik),PLN,,,pmiftah23@gmail.com,,-5.443757000000,114.421127000000,6,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,2,0,0,0,0,0,6,0,6,0,0,0,0,6,0,0,6,3,0,0,1,1,0,1,0,6,0,2,0,0,0,0,0,0
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CC91BEEA-78EC-4BD1-BBBF-FBF5602E4E9D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69810159,KB AL-MUKHLISIN,69810159,PANDIYAN,SEDDUR,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Al-Mukhlisin,AL8471,,,841/6993/441.302/2007,,Silakan Upload SK,,B,84,1. XL (GSM),2. Telkom Speedy,PLN,,,paud.almukhlisin159@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,XL (GSM),449,1,0,0,1,0,0,3,0,2,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
Jawa Timur,Kab. Pamekasan,Pakong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A4122D4E-8439-4005-9CEE-E782DCCCC6DE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69810167,KB AL-MUMTAZAH,69810167,DUSUN SUMBER BATAS,KLOMPANG BARAT,KEC. PAKONG,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AL-KHAIRAT,AI6757,,,841/6993/441.302/2007,,Silakan Upload SK,,,"1,280",1. Telkomsel Flash,2. Telkomsel Flash,PLN & Diesel,,,,,.000000000000,.000000000000,2,0,0,0,2013,Sehari Penuh/6 hari,,2022/2023-2,Telkomsel Flash,900,2,0,0,0,0,0,4,0,2,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
