prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40696946-0CB4-468F-85F2-C6D115234C91,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69897522,Al Mubarokah,69897522,Jl. Jemu Mudo KM. 79 Kelurahan Kandis Kota Kecamtan Kandis,KANDIS KOTA,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,RA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.815647900000,102.022280000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0CF36656-D672-4AB2-95FF-AF968E312D9D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69803998,KB ANGGREK,69803998,JL KAMBOJA KM 80,KANDIS KOTA,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,33/TAHUN 2008,04-07-2008,660/DPMPTSP/IPSPN/40,08-11-2018,Silakan Upload SK (link file tidak valid) => [423586-878628--],2021-02-24 10,,299,1. -,2. -,PLN,,,paudanggrek621@gmail.com,,.953600000000,101.244300000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,0,1,2,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2013,Tidak Ada
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FD987B60-B09F-4C10-860E-2134FDE6EEE5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69980844,KB DELIMA,69980844,Kampung Kandis,KANDIS,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan KB Delima,AH3580,,02-01-2013,421.1/PDK-PAUD-DIKMAS/2017/2736,28-11-2017,Lihat SK Operasional,2018-10-02 11,C,1.520 m2,1. -,2. Telkomsel Flash,PLN,,,kbdelimakandis@gmail.com,,101.269500000000,1.003600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3CCCBA80-A2C6-4B81-A201-7BEFB4AA2D33,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69990988,KB HARAPAN BUNDA,69990988,Jl. Raya Pekanbaru-Duri Km.72,KANDIS,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,281/KPTS/2019,10-09-2019,281/KPTS/2019,10-09-2019,Lihat SK Operasional,2019-09-30 09,,600,,2.,,,,,,.878904600000,101.315421000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/441E17C6-D7DA-4675-AB7A-B91769B80CA4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69926612,KB JUWITA,69926612,Jl. Raja Ali Haji Kelurahan Teaga SAm Sam,TELAGA SAM SAM,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AH3583,KPTS TAHUN 2008,04-07-2008,421.1/PDK-PAUD-DIKMAS/2017/1675,31-10-2017,Lihat SK Operasional,2017-11-02 14,C,660,1. Smartfren,2. Smartfren,PLN & Diesel,,,paudjuwita@gmail.co.id,,.886300100000,101.243661600000,1,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,900,1,0,0,2,0,0,3,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2013,Smartfren
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/95BCEEB8-BE87-4D34-9726-BEE2561FD02D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69940271,KB KASIH MAKMUR,69940271,Jl.T.S.Makmur,JAMBAI MAKMUR,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,32/KPTS/JM/2012,01-07-2012,421.1/PDK/PAUD-PLS/2016/2,03-03-2016,Lihat SK Operasional,2016-03-29 10,,420,1. Telkomsel Flash,2. -,PLN,,,,,1.004822700000,101.272430100000,1,0,0,0,Pagi/6 hari,,2022/2023-2,"1,200",2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2013,Telkomsel Flash
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4B3254F7-8DBF-4F15-97E0-C41421F3E6BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969470,KB SMART KIDS,69969470,Jl. Perkebunan Palapa,BEKALAR,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,12-04-2010,421.1/PDK/PAUD-PLS/2015/1018,01-10-2015,Lihat SK Operasional,2021-06-07 08,C,475,1. -,2. -,PLN,,,paudsmartk@gmail.com,,.000000000000,.000000000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,"1,300",2,0,0,1,0,0,3,0,2,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2013,Tidak Ada
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A535647A-B03D-4712-BAA8-3CB3533095B9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69921964,KB ZALEHA MAJID,69921964,Jl.Raya Pekanbaru,TELAGA SAM SAM,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,800/SK-YYS.PAUD.ZM-KDS/20,12-07-2013,421.1/PDK/PAUD-PLS/2013/1,24-09-2013,Lihat SK Operasional,2015-12-01 06,,"4,800",1. -,2. -,Menumpang,,,paudzalehamajid@gmail.com,,.000000000000,.000000000000,1,0,0,0,Pagi/6 hari,,2022/2023-2,"1,300",1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2013,Tidak Ada
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E871EA19-E617-49AA-B419-7293425116F7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69920836,KELOMPOK BERMAIN BERLIAN,69920836,Jl.Sultan Syarif Qasim Kelurahan Simpang Belutu,SIMPANG BELUTU,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AH3586,320 TAHUN 2007,01-12-2007,421.1/PDK/PAUD-PLS/1498,04-12-2014,Lihat SK Operasional,2015-11-24 21,,"16,000",1. -,2. -,Menumpang,,,paudberlian@gmail.com,,.895124200000,101.241520200000,2,0,0,0,Pagi/6 hari,,2022/2023-2,"1,300",1,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2013,Tidak Ada
Riau,Kab. Siak,Kandis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0FBD78C-72DC-4C6E-BD7D-7F7DCC1E4587,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69920860,PAUD TERPADU TUNAS HARAPAN GARUT,69920860,Jl.Pasar Garut,BELUTU,KEC. KANDIS,KAB. SIAK,PROV. RIAU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan BERNAS ALHASYIR,AH3592,20 Tahun 2013,16-06-2013,421.1/PDK/PAUD-PLS/2014/5,07-05-2014,Lihat SK Operasional,2021-07-25 22,C,400,1. -,2. -,PLN & Diesel,,,,,.921114200000,101.379183600000,3,0,0,0,Pagi/6 hari,,2022/2023-2,"1,300",3,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,2,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,2013,Tidak Ada
