prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7AC33B74-8124-4AB5-8BFD-B110B82D4C05,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69913398,DHARMA WANITA II,69913398,JL LINTAS MAJE KAUR,BENTENG HARAPAN,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan TK DHARMA WANITA II,AH8447,05/94/BHN/2009,15-04-2009,140 TAHUN 2015,12-10-2015,Lihat SK Operasional,2015-10-27 12,C,200,1. -,2. -,PLN,,,pauddwpmaje@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,2,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A19C4895-CF04-4DD5-8CFB-3C9371803244,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69938679,PAUD ABABIL,69938679,DESA AIR LONG,AIR LONG,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ABABIL,AH8448,5 /KEP-17.3/1/2012,02-01-2012,006 TAHUN 2016,20-01-2016,Lihat SK Operasional,2016-03-12 12,C,48,1. Telkom Speedy,2. Telkomsel Flash,PLN,,0085383892545,ababil_paud@yahoo.co.id,,.000000000000,.000000000000,4,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,900,2,0,0,0,0,0,2,3,4,0,0,0,0,4,0,0,4,1,1,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51774E06-9FC8-4CE6-B10A-0EFEEF01E95E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69917467,PAUD AMELIA,69917467,JL. LINTAS BARAT BINTUHAN,MUARA JAYA,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AMELIA,AH8442,NO 612 TAHUN 2011,15-02-2011,PPLPAUD/17/KK/2015,03-01-2015,Lihat SK Operasional,2015-11-06 10,C,48,1. -,2. Telkomsel Flash,PLN,,,awan64084@gmail.com,,.000000000000,.000000000000,4,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,2,0,0,0,0,0,1,3,4,0,0,0,0,4,0,0,4,1,3,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E35313A2-1B8C-4A0C-94A0-7A755C2C6DB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69904485,PAUD ARGA MULYA,69904485,JL. MAJE AIR BACANG,ARGA MULIA,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ARGA MULYA,AH8444,AHU.1100.AH02.02,28-06-2011,PPLPAUD/17/KK/2015,03-01-2015,Lihat SK Operasional,2015-09-28 12,C,140,1. -,2. -,PLN,,,paudargamulyamaje@gmail.com,,-4.596873000000,103.444948000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,2,0,0,0,0,0,1,2,3,0,0,0,0,3,0,2,1,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EC0B4B8B-4FA7-4113-BD08-E789803D57C9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69949776,PAUD AZAQI,69949776,Jalan Lintas Sumatera Parda Suka Kec. Maje,PARDA SUKA,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perwakilan YPLP PGRI Kabupaten Kaur,AH8494,Nomor,04-05-2016,Nomor,04-05-2016,Lihat SK Operasional,2016-09-22 09,C,120,1. -,2. -,PLN,,,paudazaqimaje@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/47400D89-5AEC-482D-B463-65386103C493,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69909934,PAUD BERINGIN MANDIRI,69909934,JL RAYA MAJE KAUR,TANJUNG BERINGIN,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,NO 53 2013,20-01-2013,PPLPAUD/17/KK/2015,03-01-2015,Lihat SK Operasional,2015-10-16 08,C,140,1. -,2. -,PLN,,,paudberinginmandirimaje@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,2,0,0,0,0,0,3,0,2,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E010F634-4959-4D50-A801-585FDE94E466,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69957351,PAUD BINTANG,69957351,Desa Sinar Mulya Kecamatan Maje Kabupaten Kaur,SINAR MULYA,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,Nomor,28-11-2016,Nomor,28-11-2016,Silakan Upload SK (link file tidak valid) => [697234-202948--],2022-09-01 02,C,0,1. -,2. -,PLN,,,paudbintang.tk@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2E9B9C79-0EB5-425B-B4F4-FCFB68CFB01C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69904482,PAUD CERIA,69904482,"JL. Lintas Barat, Pasar Merpas",TANJUNG BARU,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AH8494,AHU.1100.AH02.02,27-01-2007,420/423/DISPEND/2011,12-07-2011,Lihat SK Operasional,2015-09-28 12,,120,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,,,-4.862127000000,103.473959000000,4,0,0,0,2013,Siang/6 hari,,2022/2023-2,Telkomsel Flash,900,1,0,0,2,0,0,3,1,4,0,0,0,0,4,0,0,4,1,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/28CBC924-62D3-479B-8960-8ABDD74F8111,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69906890,PAUD DINIYAH PUTRI,69906890,JL. AROGATUL AIR BACANG MAJE,SINAR MULYA,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,AHU.1231.AH02.02,15-07-2011,PPLPAUD/17/KK/2015,03-01-2015,Lihat SK Operasional,2015-10-06 15,C,150,1. -,2. -,PLN,,,pauddiniyahputri@gmail.com,,-4.763086000000,103.450506000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Bengkulu,Kab. Kaur,Maje,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/02F14F2E-929F-401A-AADE-A73757143E0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69914539,PAUD KASIH BUNDA,69914539,JL RAYA AIR BACANG MAJE KAUR,TANJUNG AUR,KEC. MAJE,KAB. KAUR,PROV. BENGKULU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perwakilan YPLP PGRI Kabupaten Kaur,AH8494,NO 04 TAHUN 2012,05-01-2012,PPLPAUD/17/KK/2015,03-01-2015,Lihat SK Operasional,2015-10-29 06,C,150,1. -,2. Telkomsel Flash,PLN,,,kasihbundapaud56@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,2,0,0,0,0,0,2,2,3,0,0,0,0,3,0,0,3,2,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
