prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/52648C9D-1D39-4ED4-B42D-C9C6496EC6DD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856458,KB AL HIDAYAH,69856458,DK. KALISUSU,KARANG ANYAR,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan KB Al Hidayah,AK0193,,,420/1198.d/2012,,Silakan Upload SK,,,0,1. XL (Serat Optik),2. XL (Serat Optik),PLN,,,alhidayahkalisusu@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,XL (Serat Optik),450,1,0,0,0,0,0,3,0,2,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9BADF890-A4E9-4C3E-9095-13369C7D842E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856463,KB AL ITTIHAD,69856463,JL. SENTANA NO.09 RT.25 RW.12,KEDUNG BANTENG,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/01731/2013,01-03-2013,420/01731/2013,01-03-2013,Lihat SK Operasional,2021-09-11 22,,220,1. Lainnya (Wavelan),2. Telkomsel Flash,PLN,,,marsusiittihad@gmail.com,,-5.443757000000,114.421127000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Lainnya (Wavelan),900,3,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA3AA403-6DCF-4EA0-B7EB-2453232A6839,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69890870,KB AL KAROMAH,69890870,Desa Penujah RT 03 RW 1 Kec. Kedungbantang,PENUJAH,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AK0195,426/1196.C/2012,05-03-2012,426/1198.C/2012,05-03-2012,Lihat SK Operasional,2018-07-03 10,,96,1. Smartfren,2. Indosat IM3,PLN,,,kbalkaromah2020@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Smartfren,900,5,0,0,1,0,0,3,0,2,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,2,3,2,0,0,0,0,0,0
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5B0309FA-B5C8-422B-A34C-5373374AD7C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69977020,KB AMALIYAH,69977020,"RT 014 RW 007 Karanganyar, Kedungbanteng",KARANG ANYAR,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AK0192,420/17/008/III/2018,20-03-2018,420/04/07441,02-05-2018,Lihat SK Operasional,2023-02-09 15,C,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,kbamaliyah4@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,900,6,0,0,0,0,0,3,1,2,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E3C0CA64-0387-45AD-89A1-663A74887DBC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69890872,KB AN-NUR,69890872,DUKUHJATI WETAN,PENUJAH,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AN-NUR,AK0186,420/05/07363,31-12-2013,420/05/07363,31-12-2013,Lihat SK Operasional,2019-02-20 12,,0,1. Telkomsel Flash,2. Indosat IM3,PLN,,,akbannur1507@gmail.com,,-6.968740000000,109.179404000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,2,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,3,1,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8A80A9D6-6687-4FFE-B082-D30D676B60C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856465,KB BINA ILMU,69856465,JL. KRESNA,KEBANDINGAN,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AK0202,420/01730/2013,01-03-2013,420/01730/2013,01-03-2013,Lihat SK Operasional,2023-02-23 08,,"2,208",1. Telkomsel Flash,2. Indosat IM3,PLN,,,purkhatun18@gmail.com,,-6.938483000000,109.218446000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,0,2,0,0,0,0,0,4,0,3,0,0,0,0,3,0,1,2,0,1,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A6D71376-A5BA-46B7-AB21-E0FFF88A1FB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856462,KB DARUSSALAM,69856462,TONGGARA RT 16 RW 06,TONGGARA,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AK0198,,01-01-1900,420/02314/2011/ 2011,06-06-2011,Silakan Upload SK (link file tidak valid) => [552210-625755--],2021-12-07 14,,105,1. XL (GSM),2. XL (GSM),PLN,,,kbdarussalamdarussalam@gmail.com,http,.000000000000,.000000000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,XL (GSM),450,2,0,0,1,0,0,4,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1F07D5F0-A40A-4C60-9102-C7644EAFC8A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69949584,KB EMBUN PAGI,69949584,JL. DESA SUMINGKIR RT. 14 RW. 07,SUMINGKIR,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,420/05/05163,30-06-2016,420/05/05163,30-06-2016,Lihat SK Operasional,2016-09-20 12,,100,1. -,2. -,PLN,,,nihlawahid@gmail.com,,-5.443757000000,114.421127000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,2,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,3,2,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5E9077BB-9040-4A7E-9AB7-87E8B23DDF20,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856464,KB ISTIQOMAH,69856464,Jl. Marbasah Rt 06 rw 03,MARGAMULYA,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,426/09963/11/2006,22-10-2007,426/09963/11/2006,22-10-2007,Silakan Upload SK (link file tidak valid) => [814697-185256--],2023-04-13 03,,450,1. Lainnya,2. XL (GSM),PLN,,,kbistiqomah09@gmail.com,,.000000000000,.000000000000,4,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Lainnya,900,1,0,0,0,0,0,5,0,4,0,0,0,0,4,0,2,2,1,0,1,2,0,0,0,0,4,0,1,0,1,0,0,0,0
Jawa Tengah,Kab. Tegal,Kedungbanteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0636BC8-31BB-4ACD-B1C6-FC0244630A80,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856467,KB KARTINI,69856467,JL. GARUDA NO. 1,KARANGMALANG,KEC. KEDUNGBANTENG,KAB. TEGAL,PROV. JAWA TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,094/01095/2009,,Silakan Upload SK,,,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sofh.one@gmail.com,,-6.952149000000,109.228802000000,2,0,0,0,2013,Siang/6 hari,,2022/2023-2,Telkomsel Flash,450,5,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,2,0,5,0,0,0,0,0,0
