prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B63F035E-773F-40F1-AA0E-10F306BEBAEE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69891344,KB AISYIYAH KOLIKAPA,69891344,KOLIKAPA,OLAIA,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,421/PPO-NGK/556/09/2013,11-09-2013,Silakan Upload SK,,,168,,2.,,,,koberaisyiyah03@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5E06FDA2-D287-45FF-B8A2-715E35A63129,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69989372,KOBER Kasih PKK,69989372,Danga Au,DANGA,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,05/SKEP/PKK.NGK/I/2015,05-01-2015,421.1/PK-NGK/352/05/2019,15-05-2019,Lihat SK Operasional,2019-08-05 13,B,0,1. -,2. Telkomsel Flash,PLN,,,koberksh@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,1,3,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,Tidak Ada
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/854B545D-EE11-4557-B9F0-7A8FF8E00DB5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69885828,RA AL IKHLAS,69885828,Danga - Maropokot,MBAY I,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,SWASTA,RA,Kementerian Agama,Lainnya,,KW.20.2/3/PP.00.11/5978/2012,12-12-2012,KW.20.2/3/PP.00.11/5978/2012,12-12-2012,Silakan Upload SK,,B,168,,2.,,,,,,-8.611822600000,121.456331000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/24CF2931-32D5-40A6-9052-39F400D97FF3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69885830,RA AL MUHAJIRIN,69885830,Nangadhero,NANGADHERO,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,SWASTA,RA,Kementerian Agama,Lainnya,,KW.20.2/3/PP.00.11/5978/2012,12-12-2012,KW.20.2/3/PP.00.11/5978/2012,12-12-2012,Silakan Upload SK,,C,450,,2.,,,,,,-8.611822600000,121.373933000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A22B7B8E-FE78-45F9-B4EC-C85D2EDF6A4F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69885831,RA DARUT TAUHID,69885831,Danga - Maropokot,MARAPOKOT,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,SWASTA,RA,Kementerian Agama,Lainnya,,KW.20.2/3/PP.00.11/5978/2012,12-12-2012,KW.20.2/3/PP.00.11/5978/2012,12-12-2012,Silakan Upload SK,,B,500,,2.,,,,,,-8.600959900000,121.443971000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C32B9B72-93BC-48FC-B9ED-5E9C7319024C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69885827,RA NURUSSAADAH,69885827,Masjid Baiturrahman Alorongga,MBAY I,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,SWASTA,RA,Kementerian Agama,Lainnya,,KW.20.2/3/PP.00.11/5978/2012,12-12-2012,KW.20.2/3/PP.00.11/5978/2012,12-12-2012,Silakan Upload SK,,B,0,,2.,,,,,,-8.495033100000,121.003145000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7BBCDAB1-AD5C-492E-AE88-0749B355FBFD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69975393,TK DHAWE,69975393,Boabe,DHAWE,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,08/KEP/KDHW/06/2014,26-06-2014,421.1/PK-NGK/140/3/2017,03-03-2017,Lihat SK Operasional,2022-10-20 07,B,0,1. Telkomsel Flash,2. Telkomsel Flash,Menumpang,,,tkdhawe@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,"1,300",1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Telkomsel Flash
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1CCFEB88-4C55-43C8-BA06-9EC83786F218,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69840528,TK HARAPAN BERSAMA BOANIO SATAP NATAIA,69840528,Boanio,OLAIA,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PERSEKOLAHAN UMAT KATOLIK NAGEKEO,AC8540,420/PEM-OL/214/08/2010,06-08-2010,421.1/PPO-NGK/593/09/2013,18-09-2013,Lihat SK Operasional,2017-11-15 12,Belum Terakreditasi,33,1. -,2. -,PLN,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,"1,300",2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,Tidak Ada
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F7F0E60-A1C4-4A7E-92C5-634BEEBCC332,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308228,TK K NGGOLONIO,50308228,NGGOLONIO,NGGOLONIO,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,--,01-07-2009,41.1/PK-NGK.PAUD/460.a/09/2022,21-09-2022,Lihat SK Operasional,2023-01-11 13,B,"1,200",1. -,2. -,PLN,,,tknggolonio@gmail.com,http,-8.469300000000,121.223700000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,2,0,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,Tidak Ada
Nusa Tenggara Timur,Kab. Nagakeo,Aesesa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AB8EB8CF-1982-432F-A90E-3268DAA656D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308232,TK K PEMBINA MBAY,50308232,Jln. Mgr. Sugya Pranata,DANGA,KEC. AESESA,KAB. NAGAKEO,PROV. NUSA TENGGARA TIMUR,NEGERI,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,,,,Silakan Upload SK,,A,"6,040",1. Lainnya (Serat Optik),2. Telkomsel Flash,PLN,,03842225565,tkpembinaas@gmail.com,,.000000000000,.000000000000,7,0,0,0,2013,Pagi/6 hari,,2022/2023-2,"1,300",10,0,0,3,3,2,0,2,4,2,1,0,0,7,1,6,0,2,1,0,1,1,1,1,0,7,1,9,0,0,0,0,0,0,Lainnya (Serat Optik)
