prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/11E2CC14-2BFA-46AC-A477-005065D316DC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69732887,AL MARDIYAH,69732887,H. Marzuki Rt 010/05 No.76,KEDOYA SELATAN,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,RA,Kementerian Agama,,,Kd09.04/4/PP00.4/0344/2010,11-01-2010,876 Tahun 2016,05-04-2016,Lihat SK Operasional,2016-04-07 11,B,0,,2.,,,,,,-6.195422200000,106.773267000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BB6446EA-AF4C-4022-968F-4C706CC604DD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69732898,RA NUR SHOLIHAH,69732898,Jl. Panjang Rt 08 Rw 03,SUKABUMI SELATAN,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,RA,Kementerian Agama,,,Kd.09.04/4/PP.00.4/0332/2010,11-01-2010,875 Tahun 2016,05-04-2016,Lihat SK Operasional,2016-04-07 13,,0,,2.,,,,,,-6.219400000000,106.771900000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/57E47BEA-8ABC-42DE-8B85-5E96768935DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/90101140,KB Bina Bangsa School,90101140,JL. Budi Kav 87 RT.04/012,KEBON JERUK,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,3054-5/1.851.332,14-12-2012,300/MPK.B1/DU/2014,28-11-2014,Silakan Upload SK,,A,"5,000",1. Lainnya,2. Lainnya (Serat Optik),PLN & Diesel,,,,,.000000000000,.000000000000,2,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,"360,000",3,0,0,2,0,0,1,2,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2013,Lainnya
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CBEC515B-EB28-4B68-AC20-E678F5FADBE3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69864592,KB NEGERI 30 DURI KEPA,69864592,JL DURI KENCANA TIMUR NO.171 RT.07 RW.04,DURI KEPA,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,NEGERI,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,944/2013,06-03-2013,647 Tahun 2021,25-05-2021,Lihat SK Operasional,2021-06-05 09,C,500,1. Telkom Speedy,2. -,PLN,,02122562440,kbn30durikepa@gmail.com,,-5.443757000000,114.421127000000,2,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,"32,000",1,0,0,2,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,2013,Telkom Speedy
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/49877386-D656-485C-80D0-1E1D7783D0EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856746,KB NEGERI 38 KEBON JERUK,69856746,Jl. Raya Kebon Jeruk No.39,KEBON JERUK,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,NEGERI,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,544/2010,07-04-2010,647 Tahun 2021,25-05-2021,Lihat SK Operasional,2021-06-05 09,B,288,1. -,2. -,PLN,,021538892,paud.pkbm.n.38.kb@gmail.com,,-6.198155000000,106.767883000000,1,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,219,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,2013,Tidak Ada
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/516D321F-9567-41DD-A2C6-8E5FD8BC29A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69974962,KB PAUD HARAPAN AYAH BUNDA,69974962,Jl. Angsana Raya I No.6 RT.006/07,DURI KEPA,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,26,16-01-2018,1/A.6/31.73.05.1005/1.851.192/2018,13-03-2018,Lihat SK Operasional,2018-04-06 14,,0,1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,,globalhab.21@gmail.com,http,.000000000000,.000000000000,3,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,"2,300",3,0,0,0,0,0,4,1,3,0,0,0,0,3,0,0,3,1,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,2013,Lainnya (Serat Optik)
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/07CB670A-7990-4996-8490-009C4E2CBBFA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856701,KB PERMATA BUNDA PLUS,69856701,Jl.H.Tohir Rt 02/013 No.5 Kebon Jeruk Jakarta Barat,KEBON JERUK,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pusaka Jaya,AA0400,001/A.6/31.73.05.1001/-1.851.192/2018,20-04-2018,001/A.6/31.73.05.1001/-1.851.192/2018,20-04-2018,Lihat SK Operasional,2022-01-24 01,,200,1. -,2. Smartfren,PLN,,,permatabundaplus@gmail.com,,-6.199900000000,106.770100000000,3,0,0,0,Pagi/6 hari,,2022/2023-2,"1,300",2,0,0,1,0,0,2,2,3,0,0,0,0,3,0,2,1,0,0,0,0,2,1,0,0,3,0,2,0,0,0,0,0,0,2013,Tidak Ada
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5E2468C4-5A8F-4193-B9C2-2BD0FFD4AFFF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/90101111,Kinderland KB,90101111,Jl. Surya Timur Blok A No.5 Sunrise Garden Jakarta Barat,SUKABUMI UTARA,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Bumi Raya Putera,AG3755,,,,,Silakan Upload SK,,A,0,1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,0215801647,0215802323,kinderlandjk_@cbn.id.com,http,.000000000000,.000000000000,4,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,"12,000",3,0,0,2,0,0,5,0,4,0,0,0,0,4,0,3,1,0,0,0,3,1,0,0,0,4,3,0,0,0,0,0,0,0,2013,Lainnya (Serat Optik)
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4BEEC21D-1BA2-4689-B6C5-669BD628586C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69863844,PAUD AL GHIFARI,69863844,Jl. Anggrek No. 51 RT.02/RW.08,KELAPA DUA,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN KOMUNITAS AD DAKWAH MUHSININ,AA0403,,,3218/2014,,Silakan Upload SK,,,350,1. Indosat IM3,2. Telkomsel Flash,PLN,,,paud.al.ghifari13@gmail.com,,-6.203317000000,106.770329000000,3,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,0,2,0,0,1,0,0,2,1,3,0,0,0,0,3,0,0,3,2,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2013,Indosat IM3
D.K.I. Jakarta,Kota Jakarta Barat,Kebon Jeruk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C8693347-6484-4302-96E6-88C84BA02BCE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69945456,PAUD AL IRSYAD,69945456,Jl. H. Salihun Kampung Rawa RT.007/003,KEBON JERUK,KEC. KEBON JERUK,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan IRSYADUL HASYIM,AD1896,08.-,22-12-2015,001/1.20.0/31.73.05/-1.85,16-03-2016,Lihat SK Operasional,2020-10-07 13,B,90,1. 3 (Tri),2. Lainnya (Serat Optik),PLN,,,paud.alirsyadkj@gmail.com,,-6.195371000000,106.775758000000,5,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,"1,300",6,0,1,1,0,0,3,3,5,0,0,0,0,5,0,3,2,2,0,3,0,0,0,0,1,4,6,0,0,0,1,0,0,0,2013,3 (Tri)
